Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Neversink Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Neversink Reservoir","Increase in Storage for Neversink Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
10/18/2007, ,-27357.1,238319,-31215.5,-179747
10/19/2007, ,-195783,2595872,-34102.9,-2365990
10/20/2007, ,-111570,1097179,330810,-1316420
10/21/2007, ,-111570,834537,-27106.4,-695860
10/22/2007, ,-111570,652119,-30482.7,-510066
10/23/2007, ,-111570,870305,-34307,-724428
10/24/2007, ,-111570,1397838,29836.6,-1316100
10/25/2007, ,-111570,1123685,89513.7,-1101630
10/26/2007, ,-111570,1614398,1123.52,-1503950
10/27/2007, ,-111570,5131640,93743,-5113810
10/28/2007, ,-111570,2239433,346829,-2474690
10/29/2007, ,-111570,1338858,-19200.9,-1208090
10/30/2007, ,-111570,910876,-16520.4,-782785
10/31/2007, ,-111570,649979,-20469.7,-517939
11/1/2007, ,-111570,477807,-22518.4,-343718
11/2/2007, ,-111570,380834,-19776,-249488
11/3/2007, ,-111570,309739,-16722.4,-181446
11/4/2007, ,-111570,238499,-18361.2,-108567
11/5/2007, ,-111570,202950,-18275.8,-73104
11/6/2007, ,-111570,181932,-17839.1,-52522.8
11/7/2007, ,-111570,168159,-16281.2,-40307.8
11/8/2007,604692, ,158304,-14495,-748500
11/9/2007,335021, ,224968,-13492.1,-546497
11/10/2007,348243, ,170996,34758.4,-553997
11/11/2007,397524, ,161793,-9190.91,-550126
11/12/2007,384935, ,174309,-9117.97,-550126
11/13/2007, ,-440730,442430,-1699.95,0
11/14/2007, ,-598710,507045,91665,0
11/15/2007, ,-602794,550842,51952.2,0
11/16/2007, ,-581381,599692,-18311.1,0
11/17/2007, ,-521492,504544,16947.5,0
11/18/2007, ,-552580,635006,-9545.12,-72880.4
11/19/2007, ,-111570,539293,32275.1,-459998
11/20/2007, ,-111570,821550,5540.1,-715520
11/21/2007, ,-111570,464248,49471.5,-402149
11/22/2007, ,-111570,443653,-13724.2,-318359
11/23/2007, ,-111570,362262,-406.784,-250285
11/24/2007, ,-111570,283914,-8414.22,-163930
11/25/2007, ,-111570,263371,-7770.9,-144029
11/26/2007, ,-111570,242669,-4349.94,-126749
11/27/2007,626743, ,236712,-9961.05,-853494
11/28/2007,743585, ,257420,-5262.57,-995743
11/29/2007, ,-341702,548843,32359.8,-239501
11/30/2007, ,-386100,278291,107809,0
12/1/2007, ,-215534,224553,-9018.68,0
12/2/2007, ,-207127,214196,-7068.7,0
12/3/2007, ,-198913,205958,-7045.12,0
12/4/2007, ,-186163,194803,-8640.04,0
12/5/2007, ,-178982,185725,-6743.57,0
12/6/2007, ,-161749,176318,-7068.7,-7499.52
12/7/2007,581364, ,162117,-6108.51,-737372
12/8/2007,586974, ,149854,-6955.74,-729873
12/9/2007,517308, ,139346,-9034.51,-647620
12/10/2007,585288, ,130613,-8526.85,-707374
12/11/2007,877226, ,132218,-10072.7,-999372
12/12/2007,876786, ,129989,-7403.02,-999372
12/13/2007,1123550, ,125918,-6725.54,-1242740
12/14/2007,1193906, ,109512,-7660.53,-1295760
12/15/2007,1198897, ,105354,-8538.01,-1295710
12/16/2007,1113027, ,101685,-5595.83,-1209120
12/17/2007,1028242, ,98336.9,-7457.39,-1119120
12/18/2007,865135, ,95298.9,-6059.33,-954374
12/19/2007,1119926, ,92371.4,-7052.23,-1205250
12/20/2007,1214861, ,89547.9,-8657.82,-1295750
12/21/2007,1210136, ,93795,-8212.91,-1295720
12/22/2007,1218481, ,85243.5,-8006.57,-1295720
12/23/2007,1148291, ,156537,-9110.19,-1295720
12/24/2007,1196023, ,92852.3,6882.72,-1295760
12/25/2007,1219949, ,83318.4,-7622.81,-1295640
12/26/2007,1212835, ,92546.7,-9664.07,-1295720
12/27/2007,501170, ,792407,-6078.38,-1287500
12/28/2007, ,-186958,139962,148119,-101123
12/29/2007, ,-120036,153235,-10158.3,-23041.4
12/30/2007, ,-152642,163742,-11099.9,0
12/31/2007,718042, ,167772,-9821.16,-875992
1/1/2008,823678, ,184226,-8531.92,-999372
1/2/2008,832424, ,169643,-2695.09,-999372
1/3/2008, ,-76342.6,168051,-5584.56,-86123.5
1/4/2008,812481, ,149282,-3517.52,-958245
1/5/2008,830045, ,133614,-5413.92,-958245
1/6/2008,847040, ,120254,-9048.18,-958245
1/7/2008,856589, ,113470,-11814.6,-958245
1/8/2008,1016500, ,102712,-15089.1,-1104120
1/9/2008,1037683, ,277614,-19444.6,-1295850
1/10/2008,127760, ,306896,7090.5,-441746
1/11/2008, ,-771533,1365123,-2095.86,-591494
1/12/2008, ,-720356,803043,156814,-239501
1/13/2008, ,-1083320,1040805,42516.3,0
1/14/2008,299585, ,771200,55836,-1126620
1/15/2008,676747, ,566556,52551.6,-1295850
1/16/2008,822369, ,483284,-10012.3,-1295640
1/17/2008,885675, ,417361,-7395.12,-1295640
1/18/2008, ,-152157,354308,-7405.24,-194746
1/19/2008, ,-269496,278268,-8772.08,0
1/20/2008, ,-216654,223966,-7312.2,0
1/21/2008, ,-177078,182778,-5699.99,0
1/22/2008, ,-148570,153759,-5189.06,0
1/23/2008, ,-126337,133328,-6991.4,0
1/24/2008, ,-111549,118980,-7431.21,0
1/25/2008, ,-102612,108650,-6037.7,0
1/26/2008, ,-94773.3,100898,-6124.52,0
1/27/2008, ,-88077.5,94726.9,-6649.39,0
1/28/2008, ,-81701.2,89596.6,-7895.37,0
1/29/2008, ,-126692,134864,-8172.13,0
1/30/2008, ,-97098.1,90343,6755.15,0
1/31/2008, ,-73753.7,82730.6,-8976.86,0
2/1/2008,527812, ,216381,-6821.08,-737372
2/2/2008,584412, ,126177,37911.2,-748500
2/3/2008,639638, ,94758.8,10474.7,-744872
2/4/2008,135235, ,121997,-10232.2,-247000
2/5/2008, ,-929276,938936,-9660.12,0
2/6/2008, ,-4550860,4425100,125758,0
2/7/2008, ,-2822120,2460853,361262,0
2/8/2008, ,-1467250,1362555,104693,0
2/9/2008, ,-1616510,1629112,-12603.5,0
2/10/2008, ,-1045510,1008859,36648.1,0
2/11/2008, ,-791063,798464,-7401.25,0
2/12/2008, ,-628217,633422,-5205.33,0
2/13/2008, ,-1097290,1103633,-6338.43,0
2/14/2008, ,-613606,517087,96519.1,0
2/15/2008, ,-335200,343701,-8500.8,0
2/16/2008, ,-248814,258238,-9423.94,0
2/17/2008, ,-200231,207336,-7104.31,0
2/18/2008, ,-1041560,1052203,-10639.8,0
2/19/2008, ,-473451,369522,103929,0
2/20/2008, ,-289403,300285,-10881.9,0
2/21/2008, ,-264910,272619,-7709.6,0
2/22/2008, ,-244122,251562,-7439.47,0
2/23/2008, ,-224878,233597,-8719.08,0
2/24/2008, ,-208489,217621,-9131.61,0
2/25/2008, ,-194167,203082,-8914.85,0
2/26/2008, ,-328396,338366,-9970.39,0
2/27/2008, ,-263298,220434,42863.5,0
2/28/2008, ,-149281,158635,-9353.9,0
3/1/2008, ,-139847,145768,-5921.24,0
3/2/2008, ,-123834,134912,-11078.8,0
3/3/2008, ,-663578,673667,-10089.2,0
3/4/2008, ,-5431270,5335220,96048.7,0
3/5/2008, ,-8658160,8208040,450124,0
3/6/2008, ,-3691850,6125180,470635,-2903960
3/7/2008, ,-111570,8730910,237914,-8857250
3/8/2008, ,-111570,13043100,390289,-13321800
3/9/2008, ,-111570,3658260,577621,-4124310
3/10/2008, ,-111570,1746653,-13633,-1621450
3/11/2008, ,-111570,1648319,-10753.8,-1526000
3/12/2008, ,-111570,1204049,125335,-1217810
3/13/2008, ,-111570,1435503,78292.2,-1402220
3/14/2008, ,-111570,2861470,204922,-2954820
3/15/2008, ,-111570,3983290,318724,-4190440
3/16/2008, ,-111570,4062600,300170,-4251200
3/17/2008, ,-111570,1505751,179595,-1573780
3/18/2008, ,-111570,3293330,-3977.86,-3177780
3/19/2008, ,-111570,9968030,232676,-10089100
3/20/2008, ,-111570,6070509,557813,-6516750
3/21/2008, ,-111570,2456133,-20056.4,-2324510
3/22/2008, ,-111570,1336731,-12599.3,-1212560
3/23/2008, ,-88818,854348,-13158.8,-752371
3/24/2008,152802, ,612517,-12948,-752371
3/25/2008,286010, ,494805,-13444.9,-767370
3/26/2008, ,-485724,1270708,-13984.9,-770999
3/27/2008, ,-422122,2514264,-8122.3,-2084020
3/28/2008, ,-111570,3371297,453.749,-3260180
3/29/2008, ,-111570,1304463,26710.1,-1219600
3/30/2008, ,-105160,1058037,-13260.2,-939617
3/31/2008, ,-117981,3854529,-14166.6,-3722380
4/1/2008, ,-111570,5062009,165348,-5115790
4/2/2008, ,-111570,3726784,56023.3,-3671240
4/3/2008, ,-111570,3006540,-23155.7,-2871810
4/4/2008, ,-111570,4008681,-6844.75,-3890270
4/5/2008, ,-111570,2511425,133855,-2533710
4/6/2008, ,-111570,1480079,-1471.62,-1367040
4/7/2008, ,-111570,1076173,-29423.8,-935179
4/8/2008,265204, ,702358,-27944.6,-939617
4/9/2008,466848, ,521973,-30575.4,-958245
4/10/2008,558276, ,433093,-33123.7,-958245
4/11/2008,42301.4, ,951607,-35663.3,-958245
4/12/2008,690721, ,533674,71469.5,-1295860
4/13/2008,904547, ,414319,-23108.8,-1295760
4/14/2008,946383, ,372918,-23543.5,-1295760
4/15/2008,968160, ,346684,-18976.1,-1295870
4/16/2008,995796, ,324115,-24042.9,-1295870
4/17/2008,1026984, ,303622,-34738.1,-1295870
4/18/2008,1051424, ,284710,-40383,-1295750
4/19/2008,1080347, ,262047,-46676.2,-1295720
4/20/2008,1099479, ,244113,-48594.5,-1295000
4/21/2008,790671, ,229923,-43721.2,-976873
4/22/2008,302507, ,218070,-41575.1,-479002
4/23/2008,222367, ,207874,-44620.4,-385620
4/24/2008,138061, ,199082,-49016.2,-288127
4/25/2008, ,-146060,191388,-45327.4,0
4/26/2008, ,-151350,196584,-45233.9,0
4/27/2008, ,-157552,179860,-22308.6,0
4/28/2008, ,-1056490,1098280,-41789.2,0
4/29/2008, ,-722074,463422,258653,0
4/30/2008, ,-436506,454060,-17554.6,0
5/1/2008, ,-546432,576407,-29975,0
5/2/2008, ,-672281,686258,-13976.9,0
5/3/2008, ,-981364,998288,-16923.7,0
5/4/2008, ,-912498,871540,40957.9,0
5/5/2008, ,-267718,676734,-19767.2,-389249
5/6/2008, ,-25019.5,454017,-39747.9,-389249
5/7/2008,79107.9, ,356309,-46167.9,-389249
5/8/2008, ,-33684,301650,-43463.7,-224502
5/9/2008,297074, ,456162,-34492,-718744
5/10/2008,377096, ,310254,42522.3,-729873
5/11/2008,148652, ,251585,-40985.2,-359251
5/12/2008, ,-173548,216637,-43089,0
5/13/2008, ,-155778,194112,-38334.6,0
5/14/2008, ,-141830,186233,-44403.5,0
5/15/2008, ,-140065,184391,-44325.7,0
5/16/2008, ,-817367,854292,-36925.4,0
5/17/2008, ,-665059,476690,188369,0
5/18/2008, ,-514959,540654,-25694.7,0
5/19/2008, ,-432264,442352,-10088.1,0
5/20/2008, ,-370936,400062,-29125.7,0
5/21/2008, ,-425383,458065,-32681.7,0
5/22/2008, ,-416689,428679,-11990.3,0
5/23/2008, ,-330566,353800,-23233.9,0
5/24/2008, ,-223564,267642,-44077.7,0
5/25/2008, ,-167822,213271,-45448.5,0
5/26/2008, ,-131590,179536,-47945.6,0
5/27/2008, ,-114208,169828,-55620.3,0
5/28/2008, ,-102638,142560,-39922,0
5/29/2008, ,-89689.4,130271,-40581.6,0
5/30/2008,436502, ,120933,-44564.4,-512870
5/31/2008,412444, ,319948,-51145.2,-681247
6/1/2008,510343, ,155764,63766,-729873
6/2/2008,654602, ,145918,-52019.4,-748500
6/3/2008, ,-40537.4,212245,-51957,-119750
6/4/2008, ,-179314,198375,-19060.4,0
6/5/2008, ,-127299,155993,-28694.5,0
6/6/2008, ,-246005,305546,-59540.8,0
6/7/2008, ,-345275,341837,3437.78,0
6/8/2008, ,-408715,447798,-39082.7,0
6/9/2008, ,-280449,267185,13263.6,0
6/10/2008, ,-332513,407807,-75294.4,0
6/11/2008, ,-241133,252458,-11325.6,0
6/12/2008, ,-142294,204486,-62192.5,0
6/13/2008, ,-110952,170122,-59170.2,0
6/14/2008, ,-624918,687230,-62312.3,0
6/15/2008, ,-448050,341041,107009,0
6/16/2008, ,-171640,951328,-64814.2,-714874
6/17/2008,541312, ,512613,87695.6,-1141620
6/18/2008,622740, ,551313,-47431.8,-1126620
6/19/2008,755263, ,379931,-8572.54,-1126620
6/20/2008,830519, ,356987,-49514.3,-1137990
6/21/2008,904930, ,274236,-41174.1,-1137990
6/22/2008,483877, ,708860,-58615.6,-1134120
6/23/2008,464766, ,591150,74576,-1130490
6/24/2008,903924, ,421504,-29573.1,-1295850
6/25/2008,201654, ,286573,-46481.4,-441746
6/26/2008, ,-191748,251024,-59275.5,0
6/27/2008,690226, ,183392,-46494,-827124
6/28/2008,251822, ,182334,-67405.6,-366751
6/29/2008, ,-257223,306190,-48966.3,0
6/30/2008, ,-83836.7,179559,1529.85,-97251.8
7/1/2008,52622.3, ,288628,-64251.9,-276998
7/2/2008,176702, ,285898,-13354.3,-449245
7/3/2008,425092, ,485264,-8236.23,-902120
7/4/2008,464982, ,262328,32561.1,-759871
7/5/2008,107904, ,708747,-60650.6,-756000
7/6/2008,298435, ,391091,66474,-756000
7/7/2008,22948.8, ,295406,-63855.5,-254500
7/8/2008, ,-171014,236273,-65258.4,0
7/9/2008, ,-142272,204554,-62282.1,0
7/10/2008, ,-97903.4,151359,-53455.9,0
7/11/2008, ,-61227.3,120575,-59347.3,0
7/12/2008, ,-42301.2,102321,-60019.9,0
7/13/2008, ,-675930,742574,-66643.5,0
7/14/2008, ,-550693,374447,176246,0
7/15/2008, ,-217035,257996,-40961.6,0
7/16/2008, ,-156884,218304,-61420.3,0
7/17/2008, ,-515931,583048,-67116.7,0
7/18/2008,97308.1, ,372834,46357.1,-516499
7/19/2008,221311, ,284240,-61701.6,-443850
7/20/2008,221311, ,802808,-68726.4,-955393
7/21/2008,221311, ,483242,54658.2,-759212
7/22/2008,221311, ,435602,-53632.9,-603281
7/23/2008,221311, ,5172000,-27820.7,-5365490
7/24/2008,221311, ,4850620,449551,-5521480
7/25/2008,221311, ,1908128,155255,-2284690
7/26/2008,221311, ,1962050,-59699.6,-2123660
7/27/2008,221311, ,2867158,21879.3,-3110350
7/28/2008,221311, ,1425228,98655.2,-1745190
7/29/2008,221311, ,771008,-61984.8,-930335
7/30/2008,221311, ,485448,-63756.5,-643003
7/31/2008,221311, ,288333,-61657.2,-447987
8/1/2008,249445, ,204186,-64381.8,-389249
8/2/2008,193178, ,595251,-61408,-727021
8/3/2008,221311, ,363486,123222,-708020
8/4/2008,221311, ,244625,-35516.5,-430420
8/5/2008,221311, ,199396,-57256.2,-363451
8/6/2008,221311, ,530747,-59529,-692529
8/7/2008,221311, ,282488,68585,-572385
8/8/2008,264078, ,358431,-57383.7,-565125
8/9/2008,178545, ,276738,-17455.3,-437828
8/10/2008,221311, ,444286,-52568,-613030
8/11/2008,221311, ,893344,9220.67,-1123880
8/12/2008,221311, ,584382,72694.5,-878388
8/13/2008,221311, ,452283,-36981,-636614
8/14/2008,221311, ,404774,-52496.7,-573588
8/15/2008,221311, ,1020953,-36844.4,-1205420
8/16/2008,221311, ,674735,77105.3,-973152
8/17/2008,221311, ,489752,-43097.8,-667966
8/18/2008,221311, ,423960,-54704.3,-590567
8/19/2008,221311, ,305612,-40592.5,-486330
8/20/2008,221311, ,232963,-44198.8,-410075
8/21/2008,1064668, ,192084,-44006.6,-1212740
8/22/2008,224183, ,163230,-50418.1,-336995
8/23/2008, ,-81157.9,136813,-55655.4,0
8/24/2008, ,-69238.8,121901,-52661.9,0
8/25/2008,127350, ,322117,-56347.3,-393120
8/26/2008,117081, ,212416,63623,-393120
8/27/2008,238460, ,160574,-2285.21,-396749
8/28/2008,279970, ,148277,-46497,-381750
8/29/2008,216572, ,212728,-51179.7,-378121
8/30/2008,95227, ,152838,-6528.76,-241536
8/31/2008,221311, ,142163,-52792.7,-310681
9/1/2008,221311, ,132624,-49709.5,-304226
9/2/2008,221311, ,116598,-47879,-290031
9/3/2008,221311, ,104867,-53179.5,-272999
9/4/2008,221311, ,96793.6,-54849.7,-263255
9/5/2008,221311, ,91043.8,-55106.7,-257249
9/6/2008,221311, ,3184485,-56817.3,-3348980
9/7/2008,221311, ,795972,458898,-1476180
9/8/2008,221311, ,878686,-46394.8,-1053600
9/9/2008,221311, ,3663260,-44480.7,-3840090
9/10/2008,221311, ,1756457,268329,-2246100
9/11/2008,221311, ,1183633,-38043.3,-1366900
9/12/2008,221311, ,1511680,-40458.3,-1692530
9/13/2008,221311, ,1420592,65405.8,-1707310
9/14/2008,221311, ,968014,20880,-1210210
9/15/2008,221311, ,553789,-9188.8,-765912
9/16/2008,221311, ,376019,-44289.7,-553041
9/17/2008,221311, ,258199,-37864.8,-441646
9/18/2008,221311, ,204285,-37047.7,-388548
9/19/2008,254601, ,175642,-33494.1,-396749
9/20/2008,188022, ,153826,-30994.6,-310854
9/21/2008,221311, ,152054,-33577.7,-339787
9/22/2008,296042, ,131736,-31029.3,-396749
9/23/2008,146581, ,123560,-36332.8,-233808
9/24/2008,221311, ,117444,-34504.7,-304251
9/25/2008,221311, ,151882,-36168.3,-337025
9/26/2008,221311, ,800493,2553.34,-1024360
9/27/2008,221311, ,322540,153377,-697229
9/28/2008,221311, ,1245020,-19476,-1446860
9/29/2008,221311, ,660141,116760,-998213
9/30/2008,221311, ,1295830,-37366.9,-1479770
10/1/2008,221311, ,1135765,52401.3,-1409480
10/2/2008, ,-111570,909993,5261.3,-803684
10/3/2008, ,-111570,728639,-18067.2,-599002
10/4/2008, ,-111570,492679,-21525.6,-359583
10/5/2008, ,-111570,362749,-26054.5,-225124
10/6/2008,536001, ,267289,-28420.5,-774870
10/7/2008,568643, ,215106,-23878.9,-759871
10/8/2008,579281, ,238485,-24268.9,-793498
10/9/2008,602782, ,176730,-1013.31,-778499
10/10/2008,669927, ,153705,-33763,-789869
10/11/2008, ,-108829,138795,-29966.3,0
10/12/2008, ,-95441.4,128319,-29248.9,-3628.8
10/13/2008,685824, ,120230,-31183.5,-774870
10/14/2008,696553, ,113674,-35357,-774870
10/15/2008,696778, ,108389,-34167.8,-770999
10/16/2008,649666, ,143624,-29790.9,-763500
10/17/2008,717119, ,109905,100.447,-827124
10/18/2008, ,-84579.8,106023,-21442.8,0
10/19/2008, ,-82710.6,102626,-19914.9,0
10/20/2008,727950, ,99544.9,-18997.8,-808497
10/21/2008,682377, ,116752,-20630.8,-778499
10/22/2008,677165, ,100153,-6318.77,-770999
10/23/2008, ,-80224.6,98228.9,-18004.3,0
10/24/2008, ,-24425.4,94557,-17635,-52496.6
10/25/2008, ,-7137550,7156950,-19395.3,0
10/26/2008, ,-2460100,1689535,770560,0
10/27/2008, ,-870751,3696367,-21964.1,-2803650
10/28/2008, ,-111570,5871200,103161,-5862790
10/29/2008, ,-111570,2785980,301841,-2976250
10/30/2008, ,-111570,1895753,8820.66,-1793000
10/31/2008, ,-111570,1701676,15241.3,-1605350
11/1/2008, ,-111570,1464171,32875.8,-1385480
11/2/2008, ,-111570,802531,-18397.2,-672564
11/3/2008, ,-111570,501769,-14789.8,-375409
11/4/2008, ,-111570,355319,-17043.7,-226705
11/5/2008, ,-111570,318169,-21783.8,-184815
11/6/2008, ,-111570,281967,-3549.13,-166847
11/7/2008, ,-111570,236877,-14267.9,-111039
11/8/2008, ,-111570,259499,-25492.5,-122436
11/9/2008, ,-111570,212174,-277.611,-100326
11/10/2008, ,-111570,204070,-17432.1,-75068.1
11/11/2008, ,-111570,330659,-12180.8,-206908
11/12/2008, ,-111570,242286,47372.9,-178088
11/13/2008, ,-111570,725334,-2627.36,-611136
11/14/2008, ,-111570,575900,136741,-601071
11/15/2008, ,-111570,1901402,-20503.5,-1769330
11/16/2008, ,-111570,1345960,167709,-1402100
11/17/2008, ,-111570,1071184,4974.1,-964588
11/18/2008, ,-111570,883759,-12139.5,-760049
11/19/2008, ,-111570,707213,-9891.99,-585751
11/20/2008, ,-111570,577370,-7011.88,-458788
11/21/2008, ,-111570,452058,-7810.48,-332677
11/22/2008, ,-111570,368253,-7065.58,-249617
11/23/2008, ,-111570,290129,-6378.65,-172180
11/24/2008, ,-111570,241592,-7072.27,-122950
11/25/2008, ,-111570,294767,-8845.08,-174352
11/26/2008, ,-111570,220016,32283.2,-140729
11/27/2008, ,-111570,202529,-9722.51,-81236.1
11/28/2008, ,-111570,189754,-9184.9,-68998.5
11/29/2008, ,-111570,179724,-9660.21,-58493.8
11/30/2008, ,-111570,239013,-9546.76,-117896
12/1/2008, ,-111570,310458,12498.5,-211386
12/2/2008, ,-111570,272109,12960.8,-173500
12/3/2008,836364, ,183073,8681.13,-1028120
12/4/2008,894977, ,255454,-8811.36,-1141620
12/5/2008,947833, ,179358,6929.81,-1134120
12/6/2008,979671, ,173912,-8091.42,-1145490
12/7/2008,984225, ,168856,-7590.05,-1145490
12/8/2008,984530, ,163284,-6194.37,-1141620
12/9/2008,1010009, ,159090,-4980.33,-1164120
12/10/2008, ,-952499,2101684,-7564.66,-1141620
12/11/2008, ,-1495740,1915464,239024,-658748
12/12/2008, ,-870016,723428,146588,0
12/13/2008, ,-670096,678824,-8727.67,0
12/14/2008, ,-627885,634963,-7077.62,0
12/15/2008, ,-810814,819376,-8561.88,0
12/16/2008, ,-714445,699050,15395.4,0
12/17/2008, ,-531837,526084,5753.43,0
12/18/2008, ,-390942,399896,-8953.58,0
12/19/2008,462737, ,312967,-8333.64,-767370
12/20/2008, ,-242961,250372,-7410.77,0
12/21/2008, ,-207490,213207,-5717.07,0
12/22/2008,720945, ,188226,-7051.79,-902120
12/23/2008,221058, ,169250,-4687.67,-385620
12/24/2008,354433, ,343125,-5183.05,-692375
12/25/2008, ,-210075,165192,48511.3,-3628.8
12/26/2008,629519, ,155901,-10550.5,-774870
12/27/2008, ,-234190,242341,-8151.27,0
12/28/2008, ,-152747,158180,2065.89,-7499.52
12/29/2008,601613, ,149090,-13331.4,-737372
12/30/2008,726914, ,143985,-9905.33,-860993
12/31/2008,610510, ,139514,-8781.33,-741243
1/1/2009,587056, ,133372,-5554.6,-714874
1/2/2009,1172177, ,127913,-4377.18,-1295710
1/3/2009, ,-116377,122827,-6450.13,0
1/4/2009, ,-99168.1,117002,-6705.73,-11128.3
1/5/2009,1191469, ,111793,-7476.84,-1295790
1/6/2009,687142, ,107190,-8333.64,-785998
1/7/2009,697389, ,103058,-6949.13,-793498
1/8/2009, ,-90595.3,99265.9,-8670.63,0
1/9/2009,1207254, ,95887.5,-7404.78,-1295740
1/10/2009, ,-87361.8,92853.1,-5491.33,0
1/11/2009, ,-77043.2,90060,-5517.31,-7499.52
1/12/2009,992144, ,87473.3,-5250.8,-1074370
1/13/2009,998465, ,85029.1,-5498.74,-1078000
1/14/2009,994749, ,82736.3,-6989.27,-1070500
1/15/2009,995162, ,80653.2,-5319.21,-1070500
1/16/2009,1003372, ,78728.5,-4105.47,-1078000
1/17/2009, ,-73344.1,76908.1,-3564.02,0
1/18/2009, ,-63908.5,75142.4,-3734.37,-7499.52
1/19/2009,1055113, ,73400.7,-5521.03,-1122990
1/20/2009,1114155, ,71724.6,-6761.68,-1179120
1/21/2009,1099704, ,70147.4,-5731.96,-1164120
1/22/2009,1089265, ,68623.5,-5139.69,-1152750
1/23/2009,1081035, ,67113,-6527.11,-1141620
1/24/2009, ,-57526.2,65690.5,-8164.34,0
1/25/2009, ,-58218.4,64279.9,-6061.55,0
1/26/2009,1090757, ,62970.4,-4607.23,-1149120
1/27/2009,1070063, ,61698.8,-5140.34,-1126620
1/28/2009,1087222, ,60443.2,-6044.33,-1141620
1/29/2009,1008280, ,59218.6,-8130.55,-1059370
1/30/2009,1244561, ,58040.8,-6748.66,-1295850
1/31/2009,1246383, ,56912.8,-7684.6,-1295610
2/1/2009,1246006, ,55814.3,-5962.67,-1295860
2/2/2009,1178259, ,122311,-9201.1,-1291370
2/3/2009,1035368, ,61129.9,15124.8,-1111620
2/4/2009,323732, ,55773.8,-8884.08,-370621
2/5/2009, ,-30692.6,55131.1,-5459.87,-18978.6
2/6/2009, ,-49615.4,54494.1,-4878.68,0
2/7/2009, ,-91001.7,97357.7,-6356.03,0
2/8/2009, ,-259201,235130,24071.5,0
2/9/2009,817917, ,138529,61553.1,-1018000
2/10/2009,601494, ,495744,3256.48,-1100490
2/11/2009, ,-900436,1138610,128577,-366751
2/12/2009, ,-2252610,2087284,165327,0
2/13/2009, ,-790091,589702,200389,0
2/14/2009, ,-554654,566554,-11900.1,0
2/15/2009, ,-576563,585788,-9225.33,0
2/16/2009, ,-522122,542366,-9116.17,-11128.3
2/17/2009,698534, ,481718,-8633.94,-1171620
2/18/2009,711880, ,472529,-9162,-1175250
2/19/2009,51888.6, ,321320,12411.9,-385620
2/20/2009, ,-225661,235919,-10257.7,0
2/21/2009, ,-174278,181908,-7630.95,0
2/22/2009, ,-136794,146564,-9769.26,0
2/23/2009,1183191, ,123485,-10895.3,-1295780
2/24/2009, ,-100429,108202,-7773,0
2/25/2009, ,-89886.2,97527,-7640.84,0
2/26/2009, ,-568238,584440,-8702.41,-7499.52
2/27/2009, ,-2706220,2618333,87886.8,0
2/28/2009, ,-2408370,2145635,262737,0
3/1/2009, ,-971046,792355,186191,-7499.52
3/2/2009,405705, ,776066,-14023.6,-1167750
3/3/2009, ,-696777,704059,-7281.82,0
3/4/2009, ,-603670,610211,-6541.47,0
3/5/2009, ,-508552,516520,-7968.19,0
3/6/2009, ,-1299410,1309694,-10284.2,0
3/7/2009, ,-2548980,2447732,101248,0
3/8/2009, ,-6174730,6018890,170836,-14999
3/9/2009, ,-6971960,6637130,383458,-48625.9
3/10/2009, ,-6979640,6652890,326748,0
3/11/2009, ,-4950780,6136120,297121,-1482470
3/12/2009, ,-111570,2247697,260715,-2396840
3/13/2009, ,-111570,1315722,-14827.6,-1189320
3/14/2009, ,-111570,1951326,-11638,-1828120
3/15/2009, ,-111570,2658889,59243,-2606560
3/16/2009, ,-111570,3281594,52550.9,-3222570
3/17/2009, ,-111570,3901328,-23306.1,-3766450
3/18/2009, ,-111570,2243495,-25124.6,-2106800
3/19/2009, ,-111570,1357413,-19522.2,-1226320
3/20/2009, ,-111570,807377,1083.32,-696890
3/21/2009, ,-111570,606042,-13791,-480681
3/22/2009, ,-111570,469142,-15881.4,-341690
3/23/2009, ,-111570,373847,-17942.4,-244335
3/24/2009, ,-111570,307643,-15625.8,-180447
3/25/2009, ,-111570,276763,-13363.8,-151829
3/26/2009, ,-111570,353605,-16677.7,-225357
3/27/2009,54266.9, ,313341,18012.2,-385620
3/28/2009, ,-226745,235782,-9037.23,0
3/29/2009, ,-162233,771724,-32804,-576687
3/30/2009, ,-46528.9,359897,83155.5,-396524
3/31/2009, ,-121567,347462,-23649.7,-202245
4/1/2009, ,-166615,580422,-20694.2,-393113
4/2/2009, ,-111570,464330,12523.5,-365283
4/3/2009, ,-111570,2663809,-19788.8,-2532450
4/4/2009, ,-111570,928229,182227,-998886
4/5/2009,202235, ,753915,-20648.4,-935501
4/6/2009,126022, ,1191081,-21481.6,-1295620
4/7/2009,347437, ,756550,52633,-1156620
4/8/2009,559796, ,597113,-22788.5,-1134120
4/9/2009,699401, ,482707,-21860,-1160250
4/10/2009,437098, ,755022,-28000.7,-1164120
4/11/2009,615030, ,504505,37084.3,-1156620
4/12/2009,798651, ,394223,-28755,-1164120
4/13/2009,857474, ,328910,-22265.1,-1164120
4/14/2009,179635, ,272980,-25868.1,-426747
4/15/2009,199194, ,234436,-29381.5,-404248
4/16/2009,223911, ,208894,-32185.8,-400620
