datetime,delMontague_lag2_regression_disagg,delMontague_lag2_perfect_foresight,delMontague_lag2_same_day,delMontague_lag1_regression_disagg,delMontague_lag1_perfect_foresight,delMontague_lag1_same_day,delTrenton_lag4_regression_disagg,delTrenton_lag4_perfect_foresight,delTrenton_lag4_same_day,delTrenton_lag3_regression_disagg,delTrenton_lag3_perfect_foresight,delTrenton_lag3_same_day,delTrenton_lag2_regression_disagg,delTrenton_lag2_perfect_foresight,delTrenton_lag2_same_day,delTrenton_lag1_regression_disagg,delTrenton_lag1_perfect_foresight,delTrenton_lag1_same_day,delMontague_lag1_regression_agg,delMontague_lag2_regression_agg,delTrenton_lag1_regression_agg,delTrenton_lag2_regression_agg,delTrenton_lag3_regression_agg,delTrenton_lag4_regression_agg,delMontague_lag0_moving_average,delMontague_lag1_moving_average,delMontague_lag2_moving_average,delTrenton_lag0_moving_average,delTrenton_lag1_moving_average,delTrenton_lag2_moving_average,delTrenton_lag3_moving_average,delTrenton_lag4_moving_average
10/21/1959,3167.643911,3740.860956,3833.773891,3870.160237,3885.214474,3833.773891,7228.877671,4174.030585,9874.971877,7763.493442,6309.870307,9874.971877,8628.620459,9012.146004,9874.971877,9375.849476,9992.634694,9874.971877,1708.448918,1702.100934,0.001001017,0.001002793,0.001004571,0.001006334,6025.250044,6025.250044,6025.250044,16100.04727,16100.04727,16100.04727,16100.04727,16100.04727
10/22/1959,3001.631768,3608.903578,3641.174642,3724.996077,3740.860956,3641.174642,6726.506994,5420.313798,9177.261844,7281.673224,4174.030585,9177.261844,8034.541205,6309.870307,9177.261844,8644.418565,9012.146004,9177.261844,1646.860972,1640.771916,0.001001017,0.001002793,0.001004571,0.001006334,5296.466328,5296.466328,5296.466328,14100.72728,14100.72728,14100.72728,14100.72728,14100.72728
10/23/1959,2762.683957,3244.749986,3325.451265,3422.934939,3608.903578,3325.451265,6085.128039,8447.027554,8220.960935,6598.828917,5420.313798,8220.960935,7306.650431,4174.030585,8220.960935,7900.047435,6309.870307,8220.960935,1462.573904,1457.252597,0.001001017,0.001002793,0.001004571,0.001006334,4670.026106,4670.026106,4670.026106,12393.37844,12393.37844,12393.37844,12393.37844,12393.37844
10/24/1959,1616.113726,2700.897977,1671.265382,2743.074635,3244.749986,1671.265382,4086.206017,10478.55562,4674.122445,5268.198875,8447.027554,4674.122445,4688.513053,5420.313798,4674.122445,5704.030023,4174.030585,4674.122445,0.000999347,0.001002807,0.001001017,0.001002793,0.001004571,0.001006334,3998.758098,3998.758098,3998.758098,10823.77545,10823.77545,10823.77545,10823.77545,10823.77545
10/25/1959,4559.227534,9251.854642,4943.476313,2425.583391,2700.897977,4943.476313,6752.066364,17563.08276,7495.863736,4666.531918,10478.55562,7495.863736,5795.990675,8447.027554,7495.863736,3304.121781,5420.313798,7495.863736,0.000999347,0.001002807,0.001001017,0.001002793,0.001004571,0.001006334,3652.320578,3652.320578,3652.320578,9622.3309,9622.3309,9622.3309,9622.3309,9622.3309
10/26/1959,9878.381083,13957.24483,12037.18771,9205.819882,9251.854642,12037.18771,12372.8628,21938.50509,16133.69,10843.48322,17563.08276,16133.69,10698.17253,10478.55562,16133.69,7491.737361,8447.027554,16133.69,4425.243881,4406.705109,0.001001017,0.001002793,0.001004571,0.001006334,4078.454206,4078.454206,4078.454206,8739.737546,8739.737546,8739.737546,8739.737546,8739.737546
10/27/1959,10334.78884,10454.41345,13550.95363,14009.70115,13957.24483,13550.95363,12269.54837,18876.84816,17681.86073,14446.86023,21938.50509,17681.86073,15299.7802,17563.08276,17681.86073,11284.98182,10478.55562,17681.86073,7012.082709,6981.100411,0.001001017,0.001002793,0.001004571,0.001006334,5277.999673,5277.999673,5277.999673,8492.916244,8492.916244,8492.916244,8492.916244,8492.916244
10/28/1959,7710.412239,8843.78673,9702.494783,10494.75636,10454.41345,9702.494783,8937.09505,15220.23964,12214.89348,10816.69393,18876.84816,12214.89348,13608.46272,21938.50509,12214.89348,14428.1144,17563.08276,12214.89348,4481.267184,4462.465654,0.001001017,0.001002793,0.001004571,0.001006334,6335.839818,6335.839818,6335.839818,9005.194028,9005.194028,9005.194028,9005.194028,9005.194028
10/29/1959,6423.906922,7245.483736,8126.972368,8873.158606,8843.78673,8126.972368,9567.615861,12743.70892,13343.9404,11307.0506,15220.23964,13343.9404,14028.93027,18876.84816,13343.9404,15986.96479,21938.50509,13343.9404,3973.5878,3957.154073,0.001001017,0.001002793,0.001004571,0.001006334,7170.991878,7170.991878,7170.991878,10211.53791,10211.53791,10211.53791,10211.53791,10211.53791
10/30/1959,5371.015457,6349.941461,6748.663851,7244.491247,7245.483736,6748.663851,11915.16411,11407.57836,16954.53116,13377.17849,12743.70892,16954.53116,15698.7486,15220.23964,16954.53116,18282.0413,18876.84816,16954.53116,3308.199878,3294.819777,0.001001017,0.001002793,0.001004571,0.001006334,7798.305496,7798.305496,7798.305496,11733.83312,11733.83312,11733.83312,11733.83312,11733.83312
