,nhm_id,reachcode,comid,long,lat
248,1484,2.04011E+12,2588375,-75.08399359,40.8279712
249,1477,2.04011E+12,2587861,-75.08338059,40.8287318
250,1475,2.04011E+12,2587857,-75.06705173,40.83096747
251,1472,2.04011E+12,2586809,-74.99903319,40.83313507
252,1467,2.04011E+12,2586349,-74.95162159,40.838897
253,1476,2.04011E+12,2587859,-75.05041099,40.84164387
254,1479,2.04011E+12,2588225,-75.05041099,40.84164387
255,1471,2.04011E+12,2586799,-74.82233459,40.8456154
256,1470,2.04011E+12,2586785,-74.68390013,40.9101844
257,1483,2.04011E+12,2588313,-75.08827233,40.91964107
258,1482,2.04011E+12,2588311,-75.08827233,40.91964107
259,1481,2.04011E+12,2588303,-75.09259353,40.9224118
260,1473,2.04011E+12,2587721,-75.05843579,40.95415707
261,1474,2.04011E+12,2587723,-75.05843579,40.95415707
262,1674,2.0401E+12,4154366,-75.28450833,40.956563
263,2283,2.0402E+12,4779657,-76.03219893,40.6027942
264,1700,2.04011E+12,4187713,-75.59940513,40.62532247
265,2282,2.0402E+12,4779607,-76.12297953,40.628569
266,1699,2.04011E+12,4187699,-75.63418533,40.64951007
267,2281,2.0402E+12,4779499,-76.18596673,40.672594
268,1715,2.04011E+12,4188205,-75.60260373,40.7518728
269,1705,2.04011E+12,4187957,-75.61261719,40.7924236
270,2277,2.0402E+12,4778811,-75.96634839,40.7959546
271,1714,2.04011E+12,4188171,-75.67253499,40.81505887
272,1713,2.04011E+12,4188169,-75.67253499,40.81505887
273,1704,2.04011E+12,4187951,-75.52752933,40.81837707
274,1712,2.04011E+12,4188159,-75.69984919,40.8253724
275,1697,2.04011E+12,4187341,-75.64725839,40.8447494
276,1711,2.04011E+12,4188123,-75.57020293,40.8760148
277,1710,2.04011E+12,4188121,-75.57020293,40.8760148
278,1703,2.04011E+12,4187925,-75.52142299,40.89259707
279,1696,2.04011E+12,4187083,-75.55739939,40.918432
280,1709,2.04011E+12,4188035,-75.71308593,40.98857487
281,1724,2.04011E+12,4188343,-75.71308593,40.98857487
282,1689,2.04011E+12,4186205,-75.57287619,41.0282014
283,1468,2.04011E+12,2586769,-74.80696559,40.96596367
284,1680,2.0401E+12,4154500,-75.13522813,40.97793767
285,1675,2.0401E+12,4154460,-75.19614979,40.98039587
286,1673,2.0401E+12,4154334,-75.19614979,40.98039587
287,1469,2.04011E+12,2586771,-74.95966799,40.98146607
