node1,node2,type,notes
outflow_neversink,link_delMontague,tributary,
catchment_delMontague,link_delMontague,tributary,
catchment_delMontague,catchmentWithdrawal_delMontague,withdrawal,
catchmentWithdrawal_delMontague,catchmentConsumption_delMontague,consumption,
catchmentWithdrawal_delMontague,link_delMontague,returnflow,
link_delMontague,outflow_montague,mainstem,
outflow_montague,link_delTrenton,mainstem,
catchment_beltzvilleCombined,reservoir_beltzvilleCombined,tributary,
catchment_beltzvilleCombined,catchmentWithdrawal_beltzvilleCombined,withdrawal,
catchmentWithdrawal_beltzvilleCombined,catchmentConsumption_beltzvilleCombined,consumption,
catchmentWithdrawal_beltzvilleCombined,reservoir_beltzvilleCombined,returnflow,
reservoir_beltzvilleCombined,outflow_beltzvilleCombined,tributary,includes 2 other GRanD reservoirs upstream
outflow_beltzvilleCombined,link_delTrenton,tributary,
catchment_fewalter,reservoir_fewalter,tributary,
catchment_fewalter,catchmentWithdrawal_fewalter,withdrawal,
catchmentWithdrawal_fewalter,catchmentConsumption_fewalter,consumption,
catchmentWithdrawal_fewalter,reservoir_fewalter,returnflow,
reservoir_fewalter,outflow_fewalter,tributary,
outflow_fewalter,link_delTrenton,tributary,
catchment_merrillCreek,reservoir_merrillCreek,tributary,
catchment_merrillCreek,catchmentWithdrawal_merrillCreek,withdrawal,
catchmentWithdrawal_merrillCreek,catchmentConsumption_merrillCreek,consumption,
catchmentWithdrawal_merrillCreek,reservoir_merrillCreek,returnflow,
reservoir_merrillCreek,outflow_merrillCreek,tributary,
outflow_merrillCreek,link_delTrenton,tributary,
catchment_hopatcong,reservoir_hopatcong,tributary,
catchment_hopatcong,catchmentWithdrawal_hopatcong,withdrawal,
catchmentWithdrawal_hopatcong,catchmentConsumption_hopatcong,consumption,
catchmentWithdrawal_hopatcong,reservoir_hopatcong,returnflow,
reservoir_hopatcong,outflow_hopatcong,tributary,
outflow_hopatcong,link_delTrenton,tributary,
catchment_nockamixon,reservoir_nockamixon,tributary,
catchment_nockamixon,catchmentWithdrawal_nockamixon,withdrawal,
catchmentWithdrawal_nockamixon,catchmentConsumption_nockamixon,consumption,
catchmentWithdrawal_nockamixon,reservoir_nockamixon,returnflow,
reservoir_nockamixon,outflow_nockamixon,tributary,
outflow_nockamixon,link_delTrenton,tributary,
catchment_delTrenton,link_delTrenton,tributary,
catchment_delTrenton,catchmentWithdrawal_delTrenton,withdrawal,
catchmentWithdrawal_delTrenton,catchmentConsumption_delTrenton,consumption,
catchmentWithdrawal_delTrenton,link_delTrenton,returnflow,
link_delTrenton,delivery_nj,diversion,
link_delTrenton,outflow_trenton,mainstem,
outflow_trenton,output_del,mainstem,
catchment_assunpink,reservoir_assunpink,tributary,
catchment_assunpink,catchmentWithdrawal_assunpink,withdrawal,
catchmentWithdrawal_assunpink,catchmentConsumption_assunpink,consumption,
catchmentWithdrawal_assunpink,reservoir_assunpink,returnflow,
reservoir_assunpink,outflow_assunpink,tributary,
outflow_assunpink,link_outletAssunpink,tributary,
catchment_outletAssunpink,link_outletAssunpink,tributary,
catchment_outletAssunpink,catchmentWithdrawal_outletAssunpink,withdrawal,
catchmentWithdrawal_outletAssunpink,catchmentConsumption_outletAssunpink,consumption,
catchmentWithdrawal_outletAssunpink,link_outletAssunpink,returnflow,
link_outletAssunpink,output_del,tributary,
catchment_ontelaunee,reservoir_ontelaunee,tributary,
catchment_ontelaunee,catchmentWithdrawal_ontelaunee,withdrawal,
catchmentWithdrawal_ontelaunee,catchmentConsumption_ontelaunee,consumption,
catchmentWithdrawal_ontelaunee,reservoir_ontelaunee,returnflow,
reservoir_ontelaunee,outflow_ontelaunee,tributary,
outflow_ontelaunee,link_outletSchuylkill,tributary,
catchment_stillCreek,reservoir_stillCreek,tributary,
catchment_stillCreek,catchmentWithdrawal_stillCreek,withdrawal,
catchmentWithdrawal_stillCreek,catchmentConsumption_stillCreek,consumption,
catchmentWithdrawal_stillCreek,reservoir_stillCreek,returnflow,
reservoir_stillCreek,outflow_stillCreek,tributary,
outflow_stillCreek,link_outletSchuylkill,tributary,
catchment_blueMarsh,reservoir_blueMarsh,tributary,
catchment_blueMarsh,catchmentWithdrawal_blueMarsh,withdrawal,
catchmentWithdrawal_blueMarsh,catchmentConsumption_blueMarsh,consumption,
catchmentWithdrawal_blueMarsh,reservoir_blueMarsh,returnflow,
reservoir_blueMarsh,outflow_blueMarsh,tributary,
outflow_blueMarsh,link_outletSchuylkill,tributary,
catchment_greenLane,reservoir_greenLane,tributary,
catchment_greenLane,catchmentWithdrawal_greenLane,withdrawal,
catchmentWithdrawal_greenLane,catchmentConsumption_greenLane,consumption,
catchmentWithdrawal_greenLane,reservoir_greenLane,returnflow,
reservoir_greenLane,outflow_greenLane,tributary,
outflow_greenLane,link_outletSchuylkill,tributary,
catchment_outletSchuylkill,link_outletSchuylkill,tributary,
catchment_outletSchuylkill,catchmentWithdrawal_outletSchuylkill,withdrawal,
catchmentWithdrawal_outletSchuylkill,catchmentConsumption_outletSchuylkill,consumption,
catchmentWithdrawal_outletSchuylkill,link_outletSchuylkill,returnflow,
link_outletSchuylkill,output_del,tributary,
catchment_marshCreek,reservoir_marshCreek,tributary,
catchment_marshCreek,catchmentWithdrawal_marshCreek,withdrawal,
catchmentWithdrawal_marshCreek,catchmentConsumption_marshCreek,consumption,
catchmentWithdrawal_marshCreek,reservoir_marshCreek,returnflow,
reservoir_marshCreek,outflow_marshCreek,tributary,
outflow_marshCreek,link_outletChristina,tributary,
catchment_outletChristina,link_outletChristina,tributary,
catchment_outletChristina,catchmentWithdrawal_outletChristina,withdrawal,
catchmentWithdrawal_outletChristina,catchmentConsumption_outletChristina,consumption,
catchmentWithdrawal_outletChristina,link_outletChristina,returnflow,
link_outletChristina,output_del,mainstem,
