datetime,delMontague_lag2_regression_disagg,delMontague_lag2_perfect_foresight,delMontague_lag2_same_day,delMontague_lag1_regression_disagg,delMontague_lag1_perfect_foresight,delMontague_lag1_same_day,delTrenton_lag4_regression_disagg,delTrenton_lag4_perfect_foresight,delTrenton_lag4_same_day,delTrenton_lag3_regression_disagg,delTrenton_lag3_perfect_foresight,delTrenton_lag3_same_day,delMontague_lag1_regression_agg,delMontague_lag2_regression_agg,delTrenton_lag3_regression_agg,delTrenton_lag4_regression_agg
2009-05-05,1579.3121000953697,1964.2504727622552,1899.7459408707032,1711.193512295332,1879.883032981349,1899.7459408707032,3773.1357600080664,6686.003125556181,4549.157389985081,3982.136232963362,6043.772273244482,4549.157389985081,2378.700639657951,2292.726047809445,4854.939511011419,4728.423284186861
2009-05-06,1538.7813624337216,2208.1772506433863,1849.275708665476,1675.2323493581011,1964.2504727622552,1849.275708665476,3876.31765328089,6727.7066746240325,4671.187337257509,4094.392716720886,6686.003125556181,4671.187337257509,2390.659996303143,2304.253151320637,5037.967294384574,4906.681495353418
2009-05-07,1626.841512247433,1947.0594064798238,1973.3404392257448,1775.6525475742492,2208.1772506433863,1973.3404392257448,5183.281682200308,6356.387249590323,6276.55528470805,5465.603490424142,6727.7066746240325,6276.55528470805,2582.83892255328,2489.4860565075196,6519.586826110149,6349.691089237678
2009-05-08,1760.951138243156,1955.1034563000346,2182.3526178872776,1913.0087837900023,1947.0594064798238,2182.3526178872776,5465.7595832475745,5880.010251904872,6687.467408856759,5773.095972157017,6356.387249590323,6687.467408856759,2723.253102636382,2624.825175180573,6612.699171172455,6440.37699365302
2009-05-09,1614.8930488481303,1934.6225067578137,1956.5392146012678,1741.638990429345,1955.1034563000346,1956.5392146012678,5551.356332533225,5498.478877099418,6717.409149854187,5824.85739187312,5880.010251904872,6717.409149854187,2567.6557970115514,2474.8517024251632,7004.688258727751,6822.151127921789
2009-05-10,1621.1965489454342,1816.3008094025122,1962.3012644724838,1740.1165611482586,1934.6225067578137,1962.3012644724838,5216.133599283106,5005.766563112395,6300.753992500509,5462.246985625579,5498.478877099418,6300.753992500509,2624.958212858201,2530.083007795693,6871.099780113303,6692.043868841219
2009-05-11,1647.8197603423469,1823.222875914461,1982.0785973637542,1726.4038615618406,1816.3008094025122,1982.0785973637542,5198.775616320925,4959.270814151647,6265.002659966266,5399.790630337742,5005.766563112395,6265.002659966266,2486.0662138489897,2396.21105322871,6477.527672182813,6308.727966568044
2009-05-12,1571.2004307559828,1818.1929676935488,1863.300500018653,1669.2960738529287,1823.222875914461,1863.300500018653,4783.322649968091,4663.989529085038,5744.06961327671,4996.5174314516535,4959.270814151647,5744.06961327671,2359.995829385453,2274.6972950458116,6062.76876460562,5904.777377386894
2009-05-13,1544.8497462481255,1974.4814392002204,1827.0927674946288,1653.147330825078,1818.1929676935488,1827.0927674946288,4477.166380128588,4184.560356467771,5372.826254907976,4693.665801265727,4663.989529085038,5372.826254907976,2322.127213369563,2238.197383755331,5705.144226577811,5556.472277236434
2009-05-14,1497.2580025956559,2239.4406499445918,1775.4530103155284,1624.4789956641546,1974.4814392002204,1775.4530103155284,4120.266242676393,4249.064888359331,4949.325097707291,4347.492440395378,4184.560356467771,4949.325097707291,2418.171380204877,2330.770177225948,5400.734772235691,5259.995514019659
2009-05-15,1708.8528814066394,1551.3891403237474,2057.013770688812,1872.5213322955296,2239.4406499445918,2057.013770688812,4321.674183003453,5769.827687700963,5219.618483332408,4588.141734514278,4249.064888359331,5219.618483332408,2736.8254686262826,2637.90698821608,5546.77986617927,5402.234778005919
2009-05-16,1808.4267011007855,2520.4974686624923,2200.389925817444,1871.4454827784562,1551.3891403237474,2200.389925817444,4160.514647447401,5071.250453315377,5050.598353776985,4318.146975977729,5769.827687700963,5050.598353776985,3039.9367832769954,2930.0627958444775,5338.446888481497,5199.330807652452
2009-05-17,1358.2044242432144,2845.1119614067975,1556.932498533179,1791.9199268072625,2520.4974686624923,1556.932498533179,3270.6708677712277,4280.290254328053,3901.8776127862375,3808.1795792266453,5071.250453315377,3901.8776127862375,4094.13003787478,3946.1538053415397,6670.077303654027,6496.259893329458
2009-05-18,2482.284090913404,3285.6995932255513,2879.1422856461563,1924.7284801758597,2845.1119614067975,2879.1422856461563,4192.715281914635,5460.331444618752,4964.83318902734,3723.0775437375532,4280.290254328053,4964.83318902734,3963.4221526537103,3820.170161959022,5931.79442040357,5777.2161302588
2009-05-19,3335.4832662568842,3699.8730756347277,3948.620578408133,3106.662991895896,3285.6995932255513,3948.620578408133,6755.4528255637,6390.864465486396,8077.2719361255795,6651.098528459666,5460.331444618752,8077.2719361255795,4131.836382341728,3982.497310146532,6767.972685498209,6591.604192033184
2009-05-20,2781.225479889045,3504.990279990685,3317.124634189813,3331.8103237709147,3699.8730756347277,3317.124634189813,4848.852526928133,6244.607285422158,5831.831527981726,5492.84844355064,6390.864465486396,5831.831527981726,4376.914393793515,4218.717341886908,6202.895752175369,6041.252756588834
2009-05-21,2588.599973198561,3018.7531408589393,3137.1128715467185,2967.9935546040424,3504.990279990685,3137.1128715467185,3716.466566793855,6992.922610362655,4533.915531992405,4169.65192113771,6244.607285422158,4533.915531992405,4616.6983698671565,4449.8346832730895,5912.791260327982,5758.7081788475125
2009-05-22,2576.008870015785,2623.0163163710135,3192.9838369645727,2931.991897930956,3018.7531408589393,3192.9838369645727,4331.879588147023,6703.650591828387,5340.4789056309955,4774.1161823491075,6992.922610362655,5340.4789056309955,4346.148798748585,4189.063723453438,5987.232406232899,5831.209442107336
