datetime,cannonsville,pepacton,neversink,wallenpaupack,prompton,mongaupeCombined,beltzvilleCombined,blueMarsh,nockamixon,ontelaunee,assunpink
1999-07-16,92047.64681818002,140901.84836637002,33560.41674328,53237.61081365001,16286.617293440002,15110.524000000003,13063.742236760001,14006.029230000002,13847.889142900001,3962.5500000000006,396.25500000000005
1999-07-17,91820.42680442001,140784.55424467003,33501.95275224,53271.52680744001,16310.300398110003,15110.524000000003,13043.921561660001,14006.029230000002,13863.399884450002,3962.5500000000006,396.25500000000005
1999-07-18,91488.99357485001,140281.84586726,33443.48902537001,53304.79558473001,16363.991101420002,15110.524000000003,13023.296488910002,14006.029230000002,13879.102413420002,3962.5500000000006,396.25500000000005
1999-07-19,91186.23573461002,139685.19493947004,33385.02503433001,53421.64484415001,16403.213213830004,15110.524000000003,13004.001512110002,14006.029230000002,13896.754516990002,3962.5500000000006,396.25500000000005
1999-07-20,90739.22284664001,139079.03653338001,33326.561307460004,53528.81729230001,16421.37912805,15110.524000000003,12985.425606050003,14006.029230000002,13920.423092310002,3962.5500000000006,396.25500000000005
1999-07-21,90510.84629662002,138462.64180396002,33268.097316420004,53570.98674940001,16436.245294800003,15110.524000000003,12996.951607320001,14006.029230000002,13935.447761060002,3962.5500000000006,396.25500000000005
1999-07-22,90059.58264918001,137841.15387694002,33209.63358955,53609.072930810005,16451.68708798,15110.524000000003,13024.091376440001,14006.029230000002,13951.457255570002,3962.5500000000006,396.25500000000005
1999-07-23,89391.27032549001,137216.23913668003,33151.16959851001,53642.73452889001,16465.18062741,15110.524000000003,13006.338624100003,14006.029230000002,13966.088046850002,3962.5500000000006,396.25500000000005
1999-07-24,88899.74215082002,136677.62952793002,32958.208735370004,53683.10049740001,16491.832738710003,15110.524000000003,12982.331118670001,14006.029230000002,13980.561656980002,3962.5500000000006,396.25500000000005
1999-07-25,88309.16343465,136159.09314080002,32707.507442820006,53718.11675924001,16523.313877610002,15110.524000000003,12966.775468220001,14006.029230000002,13995.367592970002,3962.5500000000006,396.25500000000005
1999-07-26,87621.16199252,135590.19591321002,32700.747860860007,53749.05819883001,16542.294492110002,15110.524000000003,12953.300949030003,14006.029230000002,14001.010000000002,3962.5500000000006,396.25500000000005
1999-07-27,86960.44561301002,135007.54731627,32702.815519450007,53778.391371460006,16555.06526242,15110.524000000003,12937.567776340002,14006.029230000002,14001.010000000002,3962.5500000000006,396.25500000000005
1999-07-28,86481.30304879001,134746.32254760002,32704.492998950005,53813.50537620001,16566.091189880004,15110.524000000003,12932.943480490001,14006.029230000002,14001.010000000002,3962.5500000000006,396.25500000000005
1999-07-29,86122.85790838001,134336.34972784002,32593.739198110005,53844.99259101001,16575.954241000003,15110.524000000003,12930.843064820003,14006.029230000002,14001.010000000002,3962.5500000000006,396.25500000000005
1999-07-30,85350.83349937001,133914.59439774003,32610.267258330005,53887.65498933001,16593.737372890002,15110.524000000003,12918.201209470002,14006.029230000002,14001.010000000002,3962.5500000000006,396.25500000000005
1999-07-31,84501.02423386001,133526.18577508003,32616.923021480005,53928.31814909001,16628.972103320004,15110.524000000003,12901.029366960001,14006.029230000002,14001.010000000002,3962.5500000000006,396.25500000000005
1999-08-01,83786.37332213,133108.09950211,32619.405162800005,53957.23366895001,16648.416864510004,15110.524000000003,12881.883910380002,14006.029230000002,14001.010000000002,3962.5500000000006,396.25500000000005
1999-08-02,82940.63121794001,132678.85521668,32495.455806290003,53983.17252125001,16659.948677520002,15110.524000000003,12861.344164540002,14006.029230000002,14001.010000000002,3962.5500000000006,396.25500000000005
