datetime,beltzvilleCombined,merrillCreek,hopatcong,nockamixon,assunpink,ontelaunee,blueMarsh,greenLane,marshCreek,delMontague,delTrenton,outletAssunpink,outletSchuylkill,outletChristina,cannonsville,pepacton,neversink,wallenpaupack,prompton,shoholaMarsh,mongaupeCombined,fewalter,stillCreek,delLordville
2010-06-26,43.43814815298,0.82943269808,8.104769433180001,4.91794449832,3.88671070648,54.37678900402,58.10804959666,36.3133597729,4.8108982516,437.34929213079994,1901.4013872169403,23.75609139274,385.37802274355994,90.44444741150001,126.88299081276,69.30574014392,13.66649246578,121.65356041145999,16.33546530854,27.33335347456,131.37339606174,91.0192218257,3.9270135420600005,311.50097663972
2010-06-27,20.707042344799998,0.8494100563200001,8.257853478140001,5.05470777056,4.03948544916,58.112081502719995,64.27836372762,36.69261349964,4.787076567700001,450.81325686838,1959.6362456367199,24.81358762722,358.01247415122,48.63595824948,128.10612400908002,71.41621377366,13.894298181820002,124.48874165168,8.54620188646,29.616216184659997,131.49284370054,80.71695275308,3.9379711812000004,319.20785057406
2010-06-28,21.90911877406,0.9751732670400001,4.11550537286,3.28444693234,3.5415603743800004,57.43105986128,54.28466126384001,36.89040160512,4.9822215695,450.59574021112,1949.4067400738004,45.670224838980005,358.16266911572,48.59684620714,124.63629542938,70.10432015636,12.50363918944,131.80255512032,3.7028552379,33.88502282606,149.5886899283,73.78711857678,4.00403809344,313.69536169146
2010-06-29,21.87889012414,1.05654635198,8.337565016060001,4.7225149995799995,3.89214718354,60.88115785822,61.6122133081,59.285322671260005,5.0802104441200004,590.6545065682801,1787.1863769499598,24.309451267919997,329.44268777895996,48.17533004578,158.3401553643,62.28286328236,11.07965053734,129.77259042776,4.10641317744,29.4531558062,132.91739828864,158.854282776,5.33101449846,227.98221931534005
2010-06-30,24.095479515100003,1.1952382337,4.72051820394,4.94081472514,4.15797362106,68.27867198333999,71.87933084066,36.56834182694,5.2332860685,523.48386240052,2036.6124612444798,27.486564261799998,297.6495367455399,49.821670479560005,126.90128225222,70.31068312786,15.2914619011,133.79456887496,4.3827690368,36.8594859591,135.8835644348,64.75006624912,3.61323610032,343.49089789252
2010-07-01,25.083790895099998,1.2459831818,5.04526460354,3.2215613106600003,2.47478901936,73.17875351052001,76.2911261644,37.80531692784,5.3037060783,510.54102002077985,1178.93590613498,30.463436319680003,258.85153676465995,51.01373276258,131.00479929782,77.13443976644,15.71219875946,136.79165666880002,4.6540835474,39.24158184996,141.57739685166,68.04132892214,3.73309684958,374.36341345074004
2010-07-02,24.981510514100002,1.25646664416,5.065564317100001,3.49232250472,2.34091058306,78.13589528387999,77.4305661892,36.57690366274,5.23595815358,499.1584376802799,1286.6511203106397,30.966623412619995,237.84577146904002,51.57251063062,132.26975297382,79.22304939444001,15.59979184372,136.76748933036,4.24961260248,39.08486801016,149.10973642026,60.685994349400005,3.74634221654,381.77543068994004
2010-07-03,25.91440598866,1.28675197896,5.27261213962,3.68712349502,2.67958895778,72.41119338586,78.17767870388,36.91143874698,5.156540172140001,505.30387506746,1269.12554458214,30.154373786600004,221.79228692166,52.359648398400005,133.79693170340002,82.15798082534,15.78864327208,132.78011170816,10.08629167,35.69655397658,150.51612046926,158.35926852914,3.43810503722,375.7555956096601
2010-07-04,26.83205354998,1.32123461918,5.46555603832,3.8374350925400003,2.5404443729,82.05732536526,79.87334490996,37.872031129380005,5.23305380654,468.84955102006,1286.9860694866,30.73023415896,195.02406723282002,52.77257401640001,135.72185856026002,24.850829456459998,15.61290302908,133.3316463941,8.99729824462,35.83788816328,155.24302368637998,154.14825374312,3.40255143158,441.87830665187994
2010-07-05,28.460543586440004,1.37787287792,5.66718057374,4.0386875478599995,2.6676233136,38.62472322534,36.8900133,38.28628886488,5.3997377043400006,975.7240566301198,819.3339267909602,31.20000416876,262.46356377009994,53.33239562560001,136.54590902442,26.49712110108,15.847273009400002,63.96815674872,3.0295558388200003,38.66835424382,131.45542223226002,157.22928171216,3.7424476868800003,53.35687219786
2010-07-06,28.892993197739997,0.66913360808,5.65993839572,4.17279071552,2.59092011346,39.08848235586,39.7360841073,40.55593918292,5.73027744016,970.9817402373201,924.6397383899201,30.98635399538,117.98693498144,55.4432451692,139.40327424842002,30.55312617644,15.91543320024,62.83978216474,15.248796693480001,36.669744938680005,131.72405851919999,58.6124380485,3.96381355328,66.06645189213998
2010-07-07,29.42930488988,0.68052405134,5.71321875992,2.167791605,2.69763133976,39.3161310703,41.245649151420004,25.84949554838,5.9586027904200005,967.1451463127999,928.4444352715001,31.743345767279997,87.23970615234,54.4253065832,142.52129341463998,32.05879539016,15.399531716099998,65.26499455154,14.13359385914,35.47433767724,131.92970024177998,95.70729537516,4.5610605558,73.65192812740001
2010-07-08,28.46390494962,0.69425014442,5.799129077000001,2.13552551702,2.6578532044400003,39.661547004380004,40.702622172240005,26.0600719134,6.08293840476,2343.99251187136,0.0,16.394991232900004,179.88041556057996,55.2250253821,144.88126230326,49.67384824738001,15.45971223216,70.8768757844,6.4156846292,38.192605781960005,132.09547017576,30.068295788159997,4.5098670806,64.24843294715997
2010-07-09,40.729686532500004,1.3478044244,5.19878341514,3.99080457006,2.6553456515600002,39.22297350916,43.72622349718,25.447387888300003,6.028732392899999,791.61423580526,960.4756685287398,24.47672878238,322.84867324752,51.209324397420005,143.91571264098,21.10778393122,13.26626008484,64.28473988664,6.25178746416,35.2243465854,131.9192031787,29.7343724853,3.6789521322400005,72.77744838420004
2010-07-10,38.15027157844,1.5175828283000001,6.418054919779999,3.21030103268,4.12106831836,75.58369139986,78.28601909562,39.20625646714,5.56481165114,536.2932921001598,4471.551322968379,43.078610997519995,707.19047824278,122.49618076472,158.19651120027999,73.00535909506,44.21723865314,108.62608257676001,12.341736287020002,42.16269002022,144.85018554804,122.75063054226,10.9854560354,164.50497033166005
2010-07-11,43.80775483882,1.0310269057199999,8.174079158700001,3.1965290942199998,3.8407741605800005,38.53126165616,40.26210315792,40.362686392700006,5.60655666508,544.1127404490398,1733.1072029401203,45.20431734238001,545.1440979709199,96.41069063457999,123.88324177333999,80.03237096344,24.41412355004,113.17759736682001,19.1829185058,42.100956877,155.24865965588,103.83711596538,6.061537055700001,257.04698634342003
2010-07-12,23.63458860756,1.24401881338,4.96081239318,3.55330432226,4.22873269042,40.74198836092,45.98828611958,41.49595312828,5.95201956272,507.42501010992027,1779.0613187568197,26.871354268080005,409.34281524500005,75.176358439,132.36418341174,32.191015291679996,12.755990782080001,128.70053250025998,11.697143421040002,27.50475239512,131.66870997840002,60.12814835888,5.07967474462,410.31267366558
2010-07-13,47.767744467520004,0.8860537049,6.5003075788,3.65820854686,3.68016894028,40.82670275026,44.2154978979,41.61142330954,5.28707842222,4616.81951035214,0.0,51.2040964267,380.44597381938,75.68197508605999,158.49406065542,82.99162760154,48.74700523014,114.26671125898001,12.836302919580001,42.102439241380004,144.40784506414,108.78746055072001,7.36266547492,160.07245549764002
2010-07-14,102.30065978761999,1.8558083173000002,8.65262948298,6.265968793420001,4.10167442188,72.82271456978,79.90029190696,55.78234484676,10.92082778724,12642.15169265594,0.0,47.82748871082,908.66266779918,92.31353238198,192.99610800749997,96.18029925280001,95.29697091768001,176.75896451738,13.7264761137,55.14833795058001,141.52257358162,259.2042962432,10.97325431832,356.6437016611
2010-07-15,92.3053709459,0.91442882314,6.29729574712,6.6212815332999995,3.8072719131999997,38.87709670236,71.13280886194,54.68808559228,6.61124454424,2283.265626432419,0.0,32.75203207556,645.44136887286,57.358400205399995,193.37685489248,100.08618733959999,36.90777965126,103.67203816199999,13.330449230560001,42.1206027291,131.58456458294,110.1873292387,11.18783150856,375.74467356972013
