datetime,cannonsville,pepacton,neversink,aggregate
1984-03-08,,,,1048.1524966626441
1984-03-09,,,,795.2240823350529
1984-03-10,,,,792.0088906274989
1984-03-11,,,,789.8654294891293
1984-03-12,,,,781.2915849356517
1984-03-13,,,,773.7894709513588
1984-03-14,,,,766.2873569670659
1984-03-15,,,,766.2873569670659
1984-03-16,,,,736.278901029894
1984-03-17,,,,639.8231498032704
1984-03-18,,,,633.3927663881623
1984-03-19,,,,816.6586937187473
1984-03-20,,,,855.2409942093966
1984-03-21,,,,662.3294917561492
1984-03-22,,,,635.5362275265315
1984-03-23,,,,532.6500928847997
1984-03-24,,,,529.4349011772455
1984-03-25,,,,529.4349011772455
1984-03-26,,,,236.85245578982034
1984-03-27,,,,212.20265269857208
1984-03-28,,,,3.215191707554123
1984-03-29,,,,0.0
1984-03-30,,,,0.0
