datetime,delMontague_lag2_regression_disagg,delMontague_lag2_perfect_foresight,delMontague_lag2_same_day,delMontague_lag1_regression_disagg,delMontague_lag1_perfect_foresight,delMontague_lag1_same_day,delTrenton_lag4_regression_disagg,delTrenton_lag4_perfect_foresight,delTrenton_lag4_same_day,delTrenton_lag3_regression_disagg,delTrenton_lag3_perfect_foresight,delTrenton_lag3_same_day,delTrenton_lag2_regression_disagg,delTrenton_lag2_perfect_foresight,delTrenton_lag2_same_day,delTrenton_lag1_regression_disagg,delTrenton_lag1_perfect_foresight,delTrenton_lag1_same_day,delMontague_lag1_regression_agg,delMontague_lag2_regression_agg,delTrenton_lag1_regression_agg,delTrenton_lag2_regression_agg,delTrenton_lag3_regression_agg,delTrenton_lag4_regression_agg,delMontague_lag0_moving_average,delMontague_lag1_moving_average,delMontague_lag2_moving_average,delTrenton_lag0_moving_average,delTrenton_lag1_moving_average,delTrenton_lag2_moving_average,delTrenton_lag3_moving_average,delTrenton_lag4_moving_average,demand_nj_lag1_regression_disagg,demand_nj_lag1_perfect_foresight,demand_nj_lag1_same_day,demand_nj_lag1_regression_agg,demand_nj_lag2_regression_disagg,demand_nj_lag2_perfect_foresight,demand_nj_lag2_same_day,demand_nj_lag2_regression_agg,demand_nj_lag3_regression_disagg,demand_nj_lag3_perfect_foresight,demand_nj_lag3_same_day,demand_nj_lag3_regression_agg,demand_nj_lag4_regression_disagg,demand_nj_lag4_perfect_foresight,demand_nj_lag4_same_day,demand_nj_lag4_regression_agg,demand_nj_lag0_moving_average,demand_nj_lag1_moving_average,demand_nj_lag2_moving_average,demand_nj_lag3_moving_average,demand_nj_lag4_moving_average
1964-01-01,1791.128023871054,2043.506919727794,2084.922457233479,2107.2177515551384,2103.6551115643942,2084.922457233479,3893.746218683711,4902.018354890394,4865.750908043968,4112.393692567477,4929.704918766791,4865.750908043968,4414.25365751704,4814.57651789967,4865.750908043968,4596.252215454922,4955.136837788083,4865.750908043968,932.2993672797451,929.8525129608489,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,2333.9317692347936,2333.9317692347936,2333.9317692347936,5521.491548810686,5521.491548810686,5521.491548810686,5521.491548810686,5521.491548810686,84.82837782083335,83.69434949811294,84.98195487500696,84.82837782083335,84.73792032308661,90.77617907103016,84.98195487500696,84.73792032308661,84.70246035827579,91.4199817594772,84.98195487500696,84.70246035827579,84.67604465326013,91.4199817594772,84.98195487500696,84.67604465326013,91.03504538277626,91.03504538277626,91.03504538277626,91.03504538277626,91.03504538277626
1964-01-02,1744.0534195677624,1993.7328111228442,2028.7485145342198,2048.390704826065,2043.506919727794,2028.7485145342198,3826.2922686185893,4751.760187905318,4778.551644814771,4036.8876000855453,4902.018354890394,4778.551644814771,4333.3681248070525,4929.704918766791,4778.551644814771,4510.551795375645,4814.57651789967,4778.551644814771,906.1788111679434,903.8103615501844,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,2262.645094735282,2262.645094735282,2262.645094735282,5335.9228918892995,5335.9228918892995,5335.9228918892995,5335.9228918892995,5335.9228918892995,83.54361870680506,90.77617907103016,83.69434949811294,83.54361870680506,83.4548372304715,91.4199817594772,83.69434949811294,83.4548372304715,83.42003418879989,91.4199817594772,83.69434949811294,83.42003418879989,83.39410782250643,91.4199817594772,83.69434949811294,83.39410782250643,90.67564875625102,90.67564875625102,90.67564875625102,90.67564875625102,90.67564875625102
1964-01-03,1703.0304977990631,1961.0543311209037,1980.5902661861192,1998.4379155707165,1993.7328111228442,1980.5902661861192,3725.83528217378,4750.90607542657,4648.887318700252,3929.7129164622866,4751.760187905318,4648.887318700252,4214.625091794587,4902.018354890394,4648.887318700252,4386.624711747465,4929.704918766791,4648.887318700252,886.0377707913798,883.7295809976397,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,2196.151967729841,2196.151967729841,2196.151967729841,5169.188832964216,5169.188832964216,5169.188832964216,5169.188832964216,5169.188832964216,90.60969742526365,91.4199817594772,90.77617907103016,90.60969742526365,90.51164116519826,91.4199817594772,90.77617907103016,90.51164116519826,90.47320285693071,91.4199817594772,90.77617907103016,90.47320285693071,90.44456860667864,87.55716562879508,90.77617907103016,90.44456860667864,90.58714614275227,90.58714614275227,90.58714614275227,90.58714614275227,90.58714614275227
1964-01-04,1676.2049622519812,1917.1747999899915,1948.4445116695736,1964.6879837841684,1961.0543311209037,1948.4445116695736,3839.728805808243,4738.100148879399,4794.214673429006,4040.373268480147,4750.90607542657,4794.214673429006,4307.3920983103635,4751.760187905318,4794.214673429006,4472.44127031989,4902.018354890394,4794.214673429006,871.1264582788413,868.8627687831467,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,2135.437186104911,2135.437186104911,2135.437186104911,5054.204520089285,5054.204520089285,5054.204520089285,5054.204520089285,5054.204520089285,91.25205681410189,91.4199817594772,91.4199817594772,91.25205681410189,91.1531506892249,91.4199817594772,91.4199817594772,91.1531506892249,91.11437927756337,87.55716562879508,91.4199817594772,91.11437927756337,91.08549690190424,90.13237638258316,91.4199817594772,91.08549690190424,90.12761788816279,90.12761788816279,90.12761788816279,90.12761788816279,90.12761788816279
1964-01-05,1639.5676308324169,1877.8496072035584,1905.7823343354426,1920.2777619047981,1917.1747999899915,1905.7823343354426,3824.8072888633205,4955.699589119088,4778.366173882656,4020.8789085970766,4738.100148879399,4778.366173882656,4290.360267931137,4750.90607542657,4778.366173882656,4454.098437743438,4751.760187905318,4778.366173882656,852.4945549598845,850.2863316558286,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,2080.5455714634486,2080.5455714634486,2080.5455714634486,4967.708622523716,4967.708622523716,4967.708622523716,4967.708622523716,4967.708622523716,91.25205681410189,91.4199817594772,91.4199817594772,91.25205681410189,91.1531506892249,87.55716562879508,91.4199817594772,91.1531506892249,91.11437927756337,90.13237638258316,91.4199817594772,91.11437927756337,91.08549690190424,92.06378444792422,91.4199817594772,91.08549690190424,89.6680896335733,89.6680896335733,89.6680896335733,89.6680896335733,89.6680896335733
1964-01-06,1604.5240951807057,1871.1572643188629,1864.9645785029718,1880.4462809751099,1877.8496072035584,1864.9645785029718,3703.7384012131633,5758.660078265642,4624.361264710798,3896.3809520454893,4955.699589119088,4624.361264710798,4160.098808818119,4738.100148879399,4624.361264710798,4325.804398263548,4750.90607542657,4624.361264710798,836.8332078973772,834.6714870900458,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,2029.6759894234795,2029.6759894234795,2029.6759894234795,4885.722376142229,4885.722376142229,4885.722376142229,4885.722376142229,4885.722376142229,91.25205681410189,87.55716562879508,91.4199817594772,91.25205681410189,91.1531506892249,90.13237638258316,91.4199817594772,91.1531506892249,91.11437927756337,92.06378444792422,91.4199817594772,91.11437927756337,91.08549690190424,95.92660057860634,91.4199817594772,91.08549690190424,89.301160869729,89.301160869729,89.301160869729,89.301160869729,89.301160869729
1964-01-07,1599.2219126019947,1818.2823947642216,1858.5384663678715,1874.4587300611815,1871.1572643188629,1858.5384663678715,3733.320716492377,6049.5884695142295,4659.457830474106,3925.7810550205777,5758.660078265642,4659.457830474106,4165.783282357455,4955.699589119088,4659.457830474106,4311.686818144892,4738.100148879399,4659.457830474106,833.9763805173927,831.8231303081113,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,1984.1106959751673,1984.1106959751673,1984.1106959751673,4827.269212995257,4827.269212995257,4827.269212995257,4827.269212995257,4827.269212995257,87.39787238870844,90.13237638258316,87.55716562879508,87.39787238870844,87.30404894132512,92.06378444792422,87.55716562879508,87.30404894132512,87.26726968456676,95.92660057860634,87.55716562879508,87.26726968456676,87.23987124754518,79.18773067898377,87.55716562879508,87.23987124754518,88.7527991930538,88.7527991930538,88.7527991930538,88.7527991930538,88.7527991930538
1964-01-08,1554.1880788857302,1854.7763041824996,1806.93774041654,1821.796247666066,1818.2823947642216,1806.93774041654,3712.0934482830153,6649.137417384655,4637.618798000405,3900.2145623650044,6049.5884695142295,4637.618798000405,4164.935838957916,5758.660078265642,4637.618798000405,4312.091950518459,4955.699589119088,4637.618798000405,815.1544453423982,813.0569085691194,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,1944.5207148960658,1944.5207148960658,1944.5207148960658,4790.146028791155,4790.146028791155,4790.146028791155,4790.146028791155,4790.146028791155,89.96733618146743,92.06378444792422,90.13237638258316,89.96733618146743,89.87012869596296,95.92660057860634,90.13237638258316,89.87012869596296,89.83202306417465,79.18773067898377,90.13237638258316,89.83202306417465,89.80363662147428,97.8580086439474,90.13237638258316,89.80363662147428,89.48857369413612,89.48857369413612,89.48857369413612,89.48857369413612,89.48857369413612
1964-01-09,1568.6359533172572,2002.1747086219616,1827.5433996934833,1856.0853637281912,1854.7763041824996,1827.5433996934833,3942.8874910506293,6394.703161149064,4929.658474935587,4149.113972351797,6649.137417384655,4929.658474935587,4366.129936508625,6049.5884695142295,4929.658474935587,4503.825574251794,5758.660078265642,4929.658474935587,835.8270681056084,833.6683309664285,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,1909.3602360316686,1909.3602360316686,1909.3602360316686,4796.778762817383,4796.778762817383,4796.778762817383,4796.778762817383,4796.778762817383,91.89441436105051,95.92660057860634,92.06378444792422,91.89441436105051,91.79465728879735,79.18773067898377,92.06378444792422,91.79465728879735,91.75555234983771,97.8580086439474,92.06378444792422,91.75555234983771,91.72642153315824,95.92660057860634,92.06378444792422,91.72642153315824,90.68420725839489,90.68420725839489,90.68420725839489,90.68420725839489,90.68420725839489
1964-01-10,1667.1562185590637,1797.3162373773316,1953.1777852064833,2002.5656543577038,2002.1747086219616,1953.1777852064833,4703.246586466732,6137.093259392959,5923.14629834913,4954.825488510591,6394.703161149064,5923.14629834913,5131.761773945696,6649.137417384655,5923.14629834913,5160.345342971332,6049.5884695142295,5923.14629834913,906.4443956654817,904.0751502938011,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,1888.7447923932757,1888.7447923932757,1888.7447923932757,4944.326300484793,4944.326300484793,4944.326300484793,4944.326300484793,4944.326300484793,95.74852167234144,79.18773067898377,95.92660057860634,95.74852167234144,95.6436365991167,97.8580086439474,95.92660057860634,95.6436365991167,95.60252175777862,95.92660057860634,95.92660057860634,95.60252175777862,95.57189378877081,95.28279789015932,95.92660057860634,95.57189378877081,91.4199817594772,91.4199817594772,91.4199817594772,91.4199817594772,91.4199817594772
1964-01-11,1529.0424416845876,1736.3027739648578,1782.159271165835,1800.0225286902005,1797.3162373773316,1782.159271165835,4843.770826327576,5915.2270776272135,6097.585824069066,5049.421832611193,6137.093259392959,6097.585824069066,5389.637872664988,6394.703161149064,6097.585824069066,5553.148409514944,6649.137417384655,6097.585824069066,813.7399455630634,811.6465890704931,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,1874.8109806605748,1874.8109806605748,1874.8109806605748,5134.967091151646,5134.967091151646,5134.967091151646,5134.967091151646,5134.967091151646,79.04689759274552,97.8580086439474,79.18773067898377,79.04689759274552,78.96394444673511,95.92660057860634,79.18773067898377,78.96394444673511,78.93142585573621,95.28279789015932,79.18773067898377,78.93142585573621,78.90720117025714,95.28279789015932,79.18773067898377,78.90720117025714,89.6725173194067,89.6725173194067,89.6725173194067,89.6725173194067,89.6725173194067
1964-01-12,1491.5889052925509,1686.4705850937771,1733.0686074936618,1739.4825297689113,1736.3027739648578,1733.0686074936618,5154.766928371818,5615.002131340361,6504.4955266078305,5347.2011193719445,5915.2270776272135,6504.4955266078305,5591.0868838427905,6137.093259392959,6504.4955266078305,5953.820250276013,6394.703161149064,6504.4955266078305,779.5032058132368,777.5107382185754,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,1851.3389641898018,1851.3389641898018,1851.3389641898018,5392.045297895159,5392.045297895159,5392.045297895159,5392.045297895159,5392.045297895159,97.67555146730882,95.92660057860634,97.8580086439474,97.67555146730882,97.56808836993584,95.28279789015932,97.8580086439474,97.56808836993584,97.5259630861835,95.28279789015932,97.8580086439474,97.5259630861835,97.49458245260507,96.57040326705338,97.8580086439474,97.49458245260507,90.59223544575958,90.59223544575958,90.59223544575958,90.59223544575958,90.59223544575958
1964-01-13,1462.9534111889616,1688.8489513515406,1696.0347988895824,1689.7941727322432,1686.4705850937771,1696.0347988895824,4897.898522571342,5326.445061349345,6165.761485497953,5070.062666354632,5615.002131340361,6165.761485497953,5306.319819460405,5915.2270776272135,6165.761485497953,5578.320745764313,6137.093259392959,6165.761485497953,755.3368984411865,753.4152988673457,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,1827.761015210833,1827.761015210833,1827.761015210833,5615.333490099226,5615.333490099226,5615.333490099226,5615.333490099226,5615.333490099226,95.74852167234144,95.28279789015932,95.92660057860634,95.74852167234144,95.6436365991167,95.28279789015932,95.92660057860634,95.6436365991167,95.60252175777862,96.57040326705338,95.92660057860634,95.60252175777862,95.57189378877081,97.2142059555004,95.92660057860634,95.57189378877081,91.23603813420661,91.23603813420661,91.23603813420661,91.23603813420661,91.23603813420661
1964-01-14,1486.3642100157726,1706.2410467005864,1721.727872898471,1691.6328013944471,1688.8489513515406,1721.727872898471,4818.68881345373,5115.798330709622,6062.9406144041495,4966.747519179817,5326.445061349345,6062.9406144041495,5188.684721316273,5615.002131340361,6062.9406144041495,5416.439376395023,5915.2270776272135,6062.9406144041495,764.7148488830403,762.7657829905249,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,1807.380573272705,1807.380573272705,1807.380573272705,5814.268268585205,5814.268268585205,5814.268268585205,5814.268268585205,5814.268268585205,95.10617491226594,95.28279789015932,95.28279789015932,95.10617491226594,95.00214712626817,96.57040326705338,95.28279789015932,95.00214712626817,94.96136829472849,97.2142059555004,95.28279789015932,94.96136829472849,94.93099061505332,97.2142059555004,95.28279789015932,94.93099061505332,92.33969988583009,92.33969988583009,92.33969988583009,92.33969988583009,92.33969988583009
1964-01-15,1498.9397201712395,1705.7096634040045,1734.3277764544823,1708.3693740190547,1706.2410467005864,1734.3277764544823,4698.837720091421,4968.71555199678,5901.575924549669,4848.685115033244,5115.798330709622,5901.575924549669,5045.691277768812,5326.445061349345,5901.575924549669,5260.1721465883775,5615.002131340361,5901.575924549669,766.4140797924404,764.4600324311342,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,1789.0403371538434,1789.0403371538434,1789.0403371538434,5982.960991450718,5982.960991450718,5982.960991450718,5982.960991450718,5982.960991450718,95.10617491226594,96.57040326705338,95.28279789015932,95.10617491226594,95.00214712626817,97.2142059555004,95.28279789015932,95.00214712626817,94.96136829472849,97.2142059555004,95.28279789015932,94.96136829472849,94.93099061505332,97.8580086439474,95.28279789015932,94.93099061505332,93.07547438691238,93.07547438691238,93.07547438691238,93.07547438691238,93.07547438691238
1964-01-16,1485.8268544174593,1698.2375854633638,1715.6261639861152,1707.6747289905702,1705.7096634040045,1715.6261639861152,4476.71179982158,4963.65777306737,5607.07521740433,4638.819357552915,4968.71555199678,5607.07521740433,4833.285875332756,5115.798330709622,5607.07521740433,5013.385739273415,5326.445061349345,5607.07521740433,750.7144370059672,748.8063594122976,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,1771.7528315952845,1771.7528315952845,1771.7528315952845,6082.590582711356,6082.590582711356,6082.590582711356,6082.590582711356,6082.590582711356,96.39086667709486,97.2142059555004,96.57040326705338,96.39086667709486,96.2851232849904,97.2142059555004,96.57040326705338,96.2851232849904,96.24367202989217,97.8580086439474,96.57040326705338,96.24367202989217,96.21279347078844,95.28279789015932,96.57040326705338,96.21279347078844,93.7192770753594,93.7192770753594,93.7192770753594,93.7192770753594,93.7192770753594
1964-01-17,1475.1611233193378,1689.4905920899705,1701.9543659088388,1700.3547561553623,1698.2375854633638,1701.9543659088388,4256.320509924436,6023.067849853889,5319.459162544523,4420.469222880929,4963.65777306737,5319.459162544523,4627.44630807857,4968.71555199678,5319.459162544523,4791.939224638019,5115.798330709622,5319.459162544523,742.333314752404,740.4497264169847,0.0010006233931012809,0.0010018491605876469,0.0010030140125393573,0.0010040973513138491,1746.550339290074,1746.550339290074,1746.550339290074,6021.4439288548065,6021.4439288548065,6021.4439288548065,6021.4439288548065,6021.4439288548065,97.03320993823338,97.2142059555004,97.2142059555004,97.03320993823338,96.92660720248155,97.8580086439474,97.2142059555004,96.92660720248155,96.8848191323582,95.28279789015932,97.2142059555004,96.8848191323582,96.85368968440373,61.80505809091416,97.2142059555004,96.85368968440373,93.90322070062999,93.90322070062999,93.90322070062999,93.90322070062999,93.90322070062999
