datetime,delMontague_lag1_regression_disagg,delMontague_lag2_regression_disagg,delTrenton_lag1_regression_disagg,delTrenton_lag2_regression_disagg,delTrenton_lag3_regression_disagg,delTrenton_lag4_regression_disagg
2009-10-05,1196.866945503827,1148.1140538910886,2976.8223501942216,2922.275084231962,2745.6760145800054,2684.83618366505
2009-10-06,1271.319034367069,1214.2005115862485,2998.667864080933,2918.0105481835526,2758.9928350924165,2690.076607758451
2009-10-07,1255.692359863306,1133.8160334622999,2848.6939907225283,2707.859124918655,2566.7740057048386,2435.64945548692
2009-10-08,1238.7342948275632,1147.4704162695155,2756.997997954669,2697.9371584484493,2490.817172368502,2390.5275684497838
2009-10-09,1289.9749124829168,1216.710916357216,2959.078158637545,2875.858766419843,2677.7030576578823,2594.6509957537055
2009-10-10,1392.6661806313577,1286.5612463302855,3063.5393484281285,3028.0640508454208,2864.5411006025242,2747.8924863623706
2009-10-11,1399.6010609000177,1323.2144891393036,3050.7938980613535,3024.7923112323006,2769.7755092119805,2683.7613469479497
2009-10-12,1454.4201964169133,1364.3210121373183,3293.175130589396,3156.772612578285,2950.46090037226,2849.6020726193537
2009-10-13,1425.7400027023436,1335.5303912997695,3331.630380280434,3148.9099903144606,2956.35684190316,2855.1421959032405
2009-10-14,1437.9122355591776,1345.5102999825444,3183.3434960245827,3072.6085103104588,2874.001828693974,2771.508107120145
2009-10-15,1454.7440998263992,1357.0122933434639,3300.690290816392,3189.4899895433464,2983.1779530052504,2874.6529345188683
2009-10-16,1510.7980809159176,1382.363600267947,3479.8555374555776,3393.8935850173193,3201.488194498703,3060.888049323596
2009-10-17,1518.9217981671873,1411.3225014427326,3799.6837781192044,3712.589105304404,3474.9376632276017,3353.1064737134934
2009-10-18,1565.71177251567,1469.7452807048276,4137.689436317326,3981.5130748641996,3770.49384264664,3658.2316973342004
2009-10-19,1597.6236662160459,1499.226259964647,4218.906036087545,4060.0509491113407,3834.165890972764,3719.2938303497376
2009-10-20,1590.1548275597838,1486.1365378109017,4521.759637312754,4281.726761258566,4041.713119717009,3919.3867398628195
2009-10-21,1585.4156378340813,1470.6787838455884,4588.502163008533,4310.356620538676,4070.5194372543097,3937.201324259954
2009-10-22,1570.900469373011,1456.6350151929564,4540.350463168403,4272.908978378287,4019.7039076147994,3887.124917939166
2009-10-23,1564.3232172375758,1446.094912652436,4434.379485723573,4182.954311049369,3931.242441625976,3793.7018188213824
2009-10-24,1472.1608504865403,1037.5769876044124,3817.688960154387,3488.369039485928,3626.4011822626017,3176.3588409296153
