datetime,delMontague_lag1_regression_disagg,delMontague_lag2_regression_disagg,delTrenton_lag1_regression_disagg,delTrenton_lag2_regression_disagg,delTrenton_lag3_regression_disagg,delTrenton_lag4_regression_disagg
1994-01-17,1283.0052465742792,1214.283492856879,3275.824051289186,3160.3027036362605,3001.0863744307817,2973.9895817934585
1994-01-18,1243.8729748050778,1177.4519363539644,3436.865861451756,3313.566059882226,3165.4210406105367,3148.129433111688
1994-01-19,1206.2548634673087,1142.0333795739664,3164.657023432928,3053.547803714668,2906.283440298381,2883.7189384725225
1994-01-20,1170.047945471625,1107.9345568630165,3057.512283625013,2950.932319805429,2808.0574314719815,2785.75204495583
1994-01-21,1135.1785591141122,1075.0885500369463,2977.8720221185317,2874.541595469285,2736.4182921327174,2715.159005404596
1994-01-22,1101.5803390244614,1043.4340013867957,2904.33005717275,2803.955140775425,2670.4746289095942,2650.3267275437256
1994-01-23,1069.1916026545728,1012.9136474898205,2834.5961956296796,2736.9911705044833,2608.006310407342,2588.9647196458395
1994-01-24,1037.9542286646638,983.4733396566434,2768.433753219689,2676.7627534933245,2551.9978584588202,2533.98117516625
1994-01-25,1008.6270917404643,963.4155712931895,2756.3901284561134,2688.6809819111904,2567.82303269762,2559.431321747741
1994-01-26,991.455939705311,940.4715671725369,2868.235629181793,2761.0718023206173,2654.3623663525345,2644.829894179149
1994-01-27,959.4690848326491,909.1772977813241,2717.9225002415033,2625.19578141005,2515.0714725847774,2502.8305559016517
1994-01-28,1075.4191563317559,1024.3147282856273,5065.699743356859,5381.743931337804,5281.245197768081,5345.338348236142
1994-01-29,2015.03641645602,1873.4904432332007,9155.011956502265,10224.231129968814,10172.180905296553,10270.534801742746
1994-01-30,1481.15924920205,1597.792899325517,8636.379024903767,7259.91937714233,7127.14706916149,7424.470669269986
1994-01-31,1917.1558999891868,1873.1000726175287,4716.64847516207,4968.3422178224255,4798.306023811188,4830.96790741029
1994-02-01,1716.5154952692244,1522.5421255654633,5017.264894516801,4669.85873357596,4506.267462539767,4387.499847651153
1994-02-02,1374.5110498957063,1272.9063960929084,4043.079002471418,3700.1001782524354,3422.9637362689864,3370.977643384729
1994-02-03,1312.2345886071503,1229.215957087827,3828.769562113197,3598.1075240801774,3395.37786011462,3364.310279504513
1994-02-04,1250.5080633224873,1174.0639510034812,3734.586979183069,3549.8942879825463,3376.596139671762,3354.541884992947
1994-02-05,1191.7822565778101,1120.4263202048458,3512.632738282886,3352.3518494813757,3190.71483600986,3169.961210742579
1994-02-06,1139.506508751752,1072.7695321919305,3364.442709721532,3221.8898024291284,3069.956143262532,3051.8315321701357
1994-02-07,1093.215534396602,1029.6905335948818,3266.696765930774,3129.146550856208,2986.58837234567,2971.0055470557318
1994-02-08,1050.3797853059161,989.9765972800137,3162.3878084961752,3033.9679762687256,2898.685634958306,2885.1475533729667
1994-02-09,1011.1208245007033,953.5434295840244,3034.428526082697,2914.2453707703817,2784.883147151304,2772.008382068178
1994-02-10,974.8197748917348,919.7545065199506,2934.929047613558,2821.1392396086426,2697.568905779195,2685.8363857214467
1994-02-11,940.9393068681096,888.1599404778076,2846.589769557593,2738.1589726779075,2619.9303628594644,2609.337460849133
1994-02-12,909.1531471973717,858.4736379618556,2764.811142441022,2661.057428252343,2547.755132437933,2538.207824140197
1994-02-13,879.1934736284556,830.4580469091866,2688.329410061555,2588.727296528723,2479.9987600820887,2471.409982768941
1994-02-14,850.8451494910385,803.9213279225678,2616.3541506854945,2520.4825435026155,2416.026760735294,2408.3211772732766
1994-02-15,823.9335855364113,778.707704419327,2548.283035064299,2455.7990993199196,2355.3552818096755,2348.4680225311236
1994-02-16,798.3161511150487,754.6890308084794,2483.8576909356834,2394.4674011053417,2297.8127170402054,2291.6943236399798
1994-02-17,773.8729294026441,731.7566952325021,2424.909798977812,2338.265222501406,2245.2522085139867,2239.9337771376186
1994-02-18,750.9674346503618,714.0683929185047,2387.405104100403,2310.892802380566,2221.2978637154447,2220.9730553981844
1994-02-19,730.2123656445609,810.766094634374,2389.645139586999,2381.958367872977,2298.053810653856,2414.222339507112
1994-02-20,715.3592111483823,1026.3202503134705,2320.5519911604874,2364.992492991404,2441.9086783819803,2775.8888433330194
1994-02-21,1437.3773706672223,2001.282612375087,2457.816692242689,3621.2719404196287,4048.5571942922093,4601.604863348998
1994-02-22,3083.9397311836283,3559.323360294505,6299.276441879287,7804.516529256547,8218.207575349577,8767.337077749817
1994-02-23,4215.120260878205,3801.408773085095,9578.848320531408,10291.287589537198,10267.397966342376,10019.806659666128
1994-02-24,3320.5870929447437,2854.027014983003,9684.280776318645,9016.206646191858,8401.280765546064,8074.343380244671
1994-02-25,2582.588423215207,2270.9734981756824,8176.060433497363,7136.799516969995,6551.34595132914,6342.895835155027
1994-02-26,2244.7692303579934,2033.758843962819,7042.170903792692,6338.929302121419,5904.240856916536,5789.258540544506
1994-02-27,2052.7824138787664,1882.1973179270155,6206.902629997376,5725.1965634338685,5394.855230382445,5311.792423406278
1994-02-28,1891.219796232451,1745.5631726762822,5556.018764060125,5183.478054839215,4903.358490689556,4835.5061519665705
1994-03-01,1755.9037523104357,1628.5381880754644,5071.09968380713,4762.469298390173,4515.05011340927,4458.181876951345
1994-03-02,1641.8905011407228,1528.5309553236966,4886.800078859889,4612.945212264272,4395.011962882874,4353.610325034586
1994-03-03,1544.0606971717084,1441.7512082939643,4945.033657519136,4686.210247545721,4496.797599005037,4475.396001684555
1994-03-04,1463.9987837858134,1370.0725161843575,4693.89269818291,4467.124451034064,4292.187039204152,4275.792308608357
1994-03-05,1390.2730694609204,1306.651639700115,4284.214406570964,4083.38052677526,3916.645894304994,3900.311163284328
1994-03-06,1325.6638696136913,1245.8444130838152,4080.9772567038817,3893.287398871918,3740.8072839992938,3725.048390804386
1994-03-07,1267.5649662506014,1192.470375442449,4110.9118158091505,3954.6184517420165,3811.86820811324,3804.8301368106895
1994-03-08,1483.4132253121102,1613.9135231220728,5185.336239418815,5352.767442723711,5292.225149378864,5526.862675391929
1994-03-09,1828.766412499021,1697.7409181348942,6677.717125893568,6670.6133186697225,6742.167893470414,6760.762878426886
1994-03-10,5975.012579080906,5782.056194657231,11048.32061309262,17971.473454246512,18116.457913748014,18109.50237811225
1994-03-11,4420.708033725137,4260.834277397551,22121.823630246254,17698.335716112528,17533.305038696966,17815.552576266135
1994-03-12,3268.1851461570227,3089.325077674307,10409.652300739777,9595.352230639346,8448.042479168484,8396.417191457222
1994-03-13,3050.972974000477,2848.7195136675055,10488.426580291685,9463.96722754389,8900.174799526301,8852.70142149935
1994-03-14,2714.2325506626353,2785.7240333286313,9194.5561689628,8809.89879980799,8416.034867876402,8604.315394482473
