datetime,demand_nj_lag1_regression_disagg,demand_nj_lag2_regression_disagg,demand_nj_lag3_regression_disagg,demand_nj_lag4_regression_disagg
1990-10-29,101.09947542684354,100.95227962671534,100.8685412591219,100.8206800017334
1990-10-30,100.44345008059817,100.29741551266848,100.21433762565316,100.16685382694057
1990-10-31,100.44345008059817,100.29741551266848,100.21433762565316,100.16685382694057
1990-11-01,81.28619120784815,81.17343111236893,81.1092794411782,81.0726119687847
1990-11-02,80.05545034061227,79.94478250426461,79.88182092684535,79.84583360436581
1990-11-03,81.28619120784815,81.17343111236893,81.1092794411782,81.0726119687847
1990-11-04,80.67082244243299,80.55910921325358,80.49555300742716,80.45922584896557
1990-11-05,80.05545034061227,79.94478250426461,79.88182092684535,79.84583360436581
1990-11-06,70.82444997013118,70.72927804248015,70.67513081456231,70.64418102636287
1990-11-07,76.36314619847973,76.25871912788025,76.19930737630526,76.16534882227873
1990-11-08,70.20902069778967,70.11486891276249,70.06130197017013,70.03068382708216
1990-11-09,78.8246960246216,78.71611450793979,78.65433965055212,78.61903055138637
1990-11-10,78.8246960246216,78.71611450793979,78.65433965055212,78.61903055138637
1990-11-11,65.28544555220998,65.19939264224574,65.15043261123414,65.12244742926684
1990-11-12,76.36314619847973,76.25871912788025,76.19930737630526,76.16534882227873
1990-11-13,76.97853887236234,76.87307549449547,76.81307427535306,76.77877883249829
1990-11-14,79.44007487670231,79.3304509483641,79.26808315594197,79.23243518780876
1990-11-15,81.28619120784815,81.17343111236893,81.1092794411782,81.0726119687847
1990-11-16,82.51691883025767,82.40206062633541,82.33671553886809,82.29936601922665
1990-11-17,78.2093137578805,78.10177314479117,78.04059036581965,78.00561964644082
1990-11-18,89.28569255916736,89.15919398515783,89.08722786812154,89.0460944017273
1990-11-19,83.13227773670731,83.01636831250502,82.95042528655033,82.91273404069015
1990-11-20,85.59368122421509,85.47355272609782,85.40520988457219,85.36614713024487
1990-11-21,83.13227773670731,83.01636831250502,82.95042528655033,82.91273404069015
1990-11-22,70.20902069778967,70.11486891276249,70.06130197017013,70.03068382708216
1990-11-23,78.2093137578805,78.10177314479117,78.04059036581965,78.00561964644082
1990-11-24,83.74763340567888,83.63067133146251,83.56412955491705,83.52609611908518
1990-11-25,84.36298586099446,84.24496971756113,84.17782838430631,84.13945229816846
1990-11-26,87.43970074257746,87.31639332302021,87.2462423178891,87.20614619141868
1990-11-27,88.05503439726021,87.93066460603502,87.85990932839518,87.81946785867903
1990-11-28,89.28569255916736,89.15919398515783,89.08722786812154,89.0460944017273
1990-11-29,89.90101710857698,89.77345214209895,89.70087946877193,89.65939935499857
1990-11-30,67.13181613278547,67.04273935236515,66.99205923239064,66.96309097478792
1990-12-01,66.4411223909838,66.35317868304912,66.30314309502297,66.27454320374319
1990-12-02,72.53211624326084,72.43410488796377,72.37834252187454,72.34646965088271
1990-12-03,71.92303374371318,71.8260366114936,71.77085115997872,71.73930800648695
1990-12-04,72.53211624326084,72.43410488796377,72.37834252187454,72.34646965088271
1990-12-05,74.35934205076687,74.2582784457128,74.2007798937112,74.16791476233264
1990-12-06,74.35934205076687,74.2582784457128,74.2007798937112,74.16791476233264
1990-12-07,71.92303374371318,71.8260366114936,71.77085115997872,71.73930800648695
1990-12-08,59.740568602110685,59.66349586963064,59.61964417019841,59.59457855741816
1990-12-09,73.75027036672185,73.65022576171457,73.59330683782706,73.5607729735763
1990-12-10,32.322782977879896,32.28734172603964,32.26717382003304,32.2556448529542
1990-12-11,19.52263741797189,19.50433499132983,19.49391866269495,19.48796375267249
1990-12-12,18.912981470462388,18.89543981149988,18.885456374649767,18.879748918909197
1990-12-13,57.91305450712162,57.838906680153315,57.79671882535291,57.77260415959603
1990-12-14,85.32205229323628,85.20239049895665,85.13431311839564,85.0954020762574
1990-12-15,86.54006689432217,86.41831023149213,86.34904129218279,86.30944926916766
1990-12-16,73.75027036672185,73.65022576171457,73.59330683782706,73.5607729735763
1990-12-17,81.66793361412583,81.55452335940068,81.4900018733603,81.45312304856884
1990-12-18,80.44986848046793,80.3385307782054,80.27518817517522,80.23898309276845
1990-12-19,81.05890267349052,80.94652941317453,80.88259777657663,80.8460560559324
1990-12-20,81.66793361412583,81.55452335940068,81.4900018733603,81.45312304856884
1990-12-21,82.2769613266628,82.16251265191084,82.0974005066555,82.06018411529257
1990-12-22,84.10402533322429,83.98645294969626,83.91956402783897,83.88133219630527
1990-12-23,59.131401713109575,59.05530592652207,59.01200996533624,58.98726197646164
1990-12-24,26.83755562474678,26.809702464499072,26.793851845010465,26.784790613161032
1990-12-25,65.22287710488703,65.13692637995291,65.08802447576913,65.06007251486821
1990-12-26,70.09576412221435,70.0017998878231,69.94833962935894,69.9177824585115
1990-12-27,79.84083101040072,79.73052741893531,79.66777302740329,79.6319041137854
1990-12-28,86.54006689432217,86.41831023149213,86.34904129218279,86.30944926916766
1990-12-29,79.84083101040072,79.73052741893531,79.66777302740329,79.6319041137854
1990-12-30,79.23179023825469,79.1225192992629,79.0603522908699,79.0248190729995
1990-12-31,81.05890267349052,80.94652941317453,80.88259777657663,80.8460560559324
1991-01-01,80.52225121671495,80.41079051589718,80.34737795026155,80.31113288354663
1991-01-02,86.9592778739558,86.83679895499174,86.76711919824743,86.72729239165157
1991-01-03,86.31559087782112,86.1942207005491,86.12517159344226,86.0857052053571
1991-01-04,86.9592778739558,86.83679895499174,86.76711919824743,86.72729239165157
1991-01-05,87.60296148357472,87.47937232743618,87.40906107162412,87.36887336145544
1991-01-06,87.60296148357472,87.47937232743618,87.40906107162412,87.36887336145544
1991-01-07,88.89031864257734,88.76450456954265,88.69292779225279,88.65201683400204
1991-01-08,90.8213295935237,90.69216719925382,90.61868592258529,90.57668654196128
1991-01-09,88.89031864257734,88.76450456954265,88.69292779225279,88.65201683400204
1991-01-10,83.74080851654654,83.62385812506867,83.55732299369487,83.5192933556211
1991-01-11,88.89031864257734,88.76450456954265,88.69292779225279,88.65201683400204
1991-01-12,25.143734220731552,25.118155842855277,25.10359951678839,25.095278109510126
1991-01-13,72.79733319407543,72.69887970420851,72.64286584169031,72.61084923589918
1991-01-14,81.16596987712613,81.05341441808734,80.98937914554,80.95277819601203
1991-01-15,81.80968490894487,81.6960330891877,81.63137419948332,81.5944168473415
1991-01-16,69.57844870478195,69.48534039979245,69.4323670188441,69.40208810900002
1991-01-17,72.15356453554206,72.05618372186385,72.00078002292457,71.96911213688846
1991-01-18,77.30360245237256,77.19759104834385,77.1372781039515,77.10280450598512
1991-01-19,79.23480289344637,79.12552685000087,79.06335693814033,79.0278220609063
1991-01-20,86.9592778739558,86.83679895499174,86.76711919824743,86.72729239165157
1991-01-21,76.01611649251132,75.91227312375882,75.85319339133888,75.81942459100419
1991-01-22,86.31559087782112,86.1942207005491,86.12517159344226,86.0857052053571
1991-01-23,86.9592778739558,86.83679895499174,86.76711919824743,86.72729239165157
1991-01-24,86.31559087782112,86.1942207005491,86.12517159344226,86.0857052053571
1991-01-25,90.8213295935237,90.69216719925382,90.61868592258529,90.57668654196128
1991-01-26,92.75231136175606,92.6197877597636,92.5443946643841,92.50130268177563
1991-01-27,94.03961662948717,93.90484519647126,93.82817356472944,93.78435090205474
1991-01-28,90.17766254986043,90.04961770811333,89.97677208556577,89.9351359812193
1991-01-29,88.24664173159701,88.12194085381668,88.05099725576675,88.01044816053859
1991-01-30,87.60296148357472,87.47937232743618,87.40906107162412,87.36887336145544
1991-01-31,81.80968490894487,81.6960330891877,81.63137419948332,81.5944168473415
1991-02-01,85.02820662446022,84.90904939923591,84.84125901760453,84.80251199678295
1991-02-02,85.67190046987982,85.55163752763703,85.48321821438418,85.44411175611837
1991-02-03,86.9592778739558,86.83679895499174,86.76711919824743,86.72729239165157
1991-02-04,87.60296148357472,87.47937232743618,87.40906107162412,87.36887336145544
1991-02-05,87.60296148357472,87.47937232743618,87.40906107162412,87.36887336145544
1991-02-06,90.17766254986043,90.04961770811333,89.97677208556577,89.9351359812193
1991-02-07,87.60296148357472,87.47937232743618,87.40906107162412,87.36887336145544
1991-02-08,86.9592778739558,86.83679895499174,86.76711919824743,86.72729239165157
1991-02-09,88.24664173159701,88.12194085381668,88.05099725576675,88.01044816053859
1991-02-10,88.89031864257734,88.76450456954265,88.69292779225279,88.65201683400204
1991-02-11,88.24664173159701,88.12194085381668,88.05099725576675,88.01044816053859
1991-02-12,88.24664173159701,88.12194085381668,88.05099725576675,88.01044816053859
1991-02-13,89.53399224071497,89.40706350951038,89.33485272205758,89.29357942629325
1991-02-14,86.9592778739558,86.83679895499174,86.76711919824743,86.72729239165157
1991-02-15,86.31559087782112,86.1942207005491,86.12517159344226,86.0857052053571
1991-02-16,86.31559087782112,86.1942207005491,86.12517159344226,86.0857052053571
1991-02-17,86.9592778739558,86.83679895499174,86.76711919824743,86.72729239165157
1991-02-18,89.53399224071497,89.40706350951038,89.33485272205758,89.29357942629325
1991-02-19,85.67190046987982,85.55163752763703,85.48321821438418,85.44411175611837
1991-02-20,83.74080851654654,83.62385812506867,83.55732299369487,83.5192933556211
1991-02-21,87.60296148357472,87.47937232743618,87.40906107162412,87.36887336145544
1991-02-22,88.89031864257734,88.76450456954265,88.69292779225279,88.65201683400204
1991-02-23,90.8213295935237,90.69216719925382,90.61868592258529,90.57668654196128
1991-02-24,90.8213295935237,90.69216719925382,90.61868592258529,90.57668654196128
1991-02-25,92.1086539767817,91.97725219235943,91.90249717357548,91.859769850565
1991-02-26,93.39596557202113,93.26231875060247,93.18628678240252,93.14282968552483
1991-02-27,90.8213295935237,90.69216719925382,90.61868592258529,90.57668654196128
1991-02-28,91.4649933948809,91.33471201635247,91.26059427235866,91.21823115108715
1991-03-01,91.4649933948809,91.33471201635247,91.26059427235866,91.21823115108715
1991-03-02,91.4649933948809,91.33471201635247,91.26059427235866,91.21823115108715
1991-03-03,84.38450931550203,84.26645627776479,84.19929395897539,84.16090587948345
1991-03-04,21.27799189368452,21.257466128541882,21.245784696380735,21.239106620674473
1991-03-05,100.47595841341725,100.32986633412068,100.24675573601547,100.19925324320235
1991-03-06,81.80968490894487,81.6960330891877,81.63137419948332,81.5944168473415
1991-03-07,81.80968490894487,81.6960330891877,81.63137419948332,81.5944168473415
1991-03-08,87.60296148357472,87.47937232743618,87.40906107162412,87.36887336145544
1991-03-09,90.8213295935237,90.69216719925382,90.61868592258529,90.57668654196128
1991-03-10,91.4649933948809,91.33471201635247,91.26059427235866,91.21823115108715
1991-03-11,91.4649933948809,91.33471201635247,91.26059427235866,91.21823115108715
1991-03-12,94.03961662948717,93.90484519647126,93.82817356472944,93.78435090205474
