datetime,site_no,62615_Mean,62615_Mean_cd
2020-03-17,01435900,1436.85,A
2020-03-18,01435900,1436.94,A
2020-03-19,01435900,1437.05,A
2020-03-20,01435900,1437.32,A
2020-03-21,01435900,1437.82,A
2020-03-22,01435900,1438.23,A
2020-03-23,01435900,1438.38,A
2020-03-24,01435900,1438.38,A
2020-03-25,01435900,1438.5,A
2020-03-26,01435900,1438.6,A
2020-03-27,01435900,1438.6,A
2020-03-28,01435900,1438.73,A
2020-03-29,01435900,1439.08,A
2020-03-30,01435900,1439.26,A
2020-03-31,01435900,1439.25,A
2020-04-01,01435900,1439.3,A
2020-04-02,01435900,1439.32,A
2020-04-03,01435900,1439.28,A
2020-04-04,01435900,1439.28,A
2020-04-05,01435900,1439.25,A
2020-04-06,01435900,1439.23,A
2020-04-07,01435900,1439.19,A
2020-04-08,01435900,1439.2,A
2020-04-09,01435900,1439.24,A
2020-04-10,01435900,1439.32,A
2020-04-11,01435900,1439.23,A
2020-04-12,01435900,1439.2,A
2020-04-13,01435900,1439.92,A
2020-04-14,01435900,1440.21,A
2020-04-15,01435900,1439.61,A
2020-04-16,01435900,1439.42,A
2020-04-17,01435900,1439.27,A
2020-04-18,01435900,1439.27,A
2020-04-19,01435900,1439.26,A
2020-04-20,01435900,1439.17,A
2020-04-21,01435900,1439.11,A
2020-04-22,01435900,1438.97,A
2020-04-23,01435900,1438.76,A
2020-04-24,01435900,1438.69,A
2020-04-25,01435900,1438.55,A
2020-04-26,01435900,1438.54,A
2020-04-27,01435900,1438.68,A
2020-04-28,01435900,1438.52,A
2020-04-29,01435900,1438.32,A
2020-04-30,01435900,1438.41,A
2020-05-01,01435900,1439.92,A
2020-05-02,01435900,1439.73,A
2020-05-03,01435900,1439.41,A
2020-05-04,01435900,1439.14,A
2020-05-05,01435900,1438.91,A
2020-05-06,01435900,1438.77,A
2020-05-07,01435900,1438.64,A
2020-05-08,01435900,1438.51,A
2020-05-09,01435900,1438.53,A
2020-05-10,01435900,1438.56,A
2020-05-11,01435900,1438.63,A
2020-05-12,01435900,1438.62,A
2020-05-13,01435900,1438.35,A
2020-05-14,01435900,1438.15,A
2020-05-15,01435900,1438.18,A
2020-05-16,01435900,1438.41,A
2020-05-17,01435900,1438.41,A
2020-05-18,01435900,1438.25,A
2020-05-19,01435900,1438.26,A
2020-05-20,01435900,1438.34,A
2020-05-21,01435900,1438.43,A
2020-05-22,01435900,1438.5,A
2020-05-23,01435900,1438.39,A
2020-05-24,01435900,1438.04,A
2020-05-25,01435900,1437.66,A
2020-05-26,01435900,1437.48,A
2020-05-27,01435900,1437.53,A
2020-05-28,01435900,1437.58,A
2020-05-29,01435900,1437.71,A
2020-05-30,01435900,1437.78,A
2020-05-31,01435900,1437.38,A
2020-06-01,01435900,1437.0,A
2020-06-02,01435900,1436.97,A
2020-06-03,01435900,1437.0,A
2020-06-04,01435900,1437.04,A
2020-06-05,01435900,1437.04,A
2020-06-06,01435900,1437.04,A
2020-06-07,01435900,1437.01,A
2020-06-08,01435900,1436.98,A
2020-06-09,01435900,1436.95,A
2020-06-10,01435900,1436.92,A
2020-06-11,01435900,1437.27,A
2020-06-12,01435900,1437.66,A
2020-06-13,01435900,1437.59,A
2020-06-14,01435900,1437.39,A
2020-06-15,01435900,1437.36,A
2020-06-16,01435900,1437.32,A
2020-06-17,01435900,1437.27,A
2020-06-18,01435900,1437.22,A
2020-06-19,01435900,1437.17,A
2020-06-20,01435900,1437.11,A
2020-06-21,01435900,1437.05,A
2020-06-22,01435900,1436.98,A
2020-06-23,01435900,1436.8,A
2020-06-24,01435900,1436.57,A
2020-06-25,01435900,1436.51,A
2020-06-26,01435900,1436.43,A
2020-06-27,01435900,1436.37,A
2020-06-28,01435900,1436.39,A
2020-06-29,01435900,1436.31,A
2020-06-30,01435900,1436.18,A
2020-07-01,01435900,1436.19,A
2020-07-02,01435900,1436.06,A
2020-07-03,01435900,1435.82,A
2020-07-04,01435900,1435.75,A
2020-07-05,01435900,1435.67,A
2020-07-06,01435900,1435.49,A
2020-07-07,01435900,1435.19,A
2020-07-08,01435900,1434.89,A
2020-07-09,01435900,1434.68,A
2020-07-10,01435900,1434.52,A
2020-07-11,01435900,1434.96,A
2020-07-12,01435900,1435.39,A
2020-07-13,01435900,1435.4,A
2020-07-14,01435900,1435.23,A
2020-07-15,01435900,1435.2,A
2020-07-16,01435900,1435.14,A
2020-07-17,01435900,1435.09,A
2020-07-18,01435900,1434.95,A
2020-07-19,01435900,1434.6,A
2020-07-20,01435900,1434.13,A
2020-07-21,01435900,1433.61,A
2020-07-22,01435900,1433.2,A
2020-07-23,01435900,1432.97,A
2020-07-24,01435900,1432.91,A
2020-07-25,01435900,1432.82,A
2020-07-26,01435900,1432.65,A
2020-07-27,01435900,1432.26,A
2020-07-28,01435900,1431.81,A
2020-07-29,01435900,1431.35,A
2020-07-30,01435900,1431.01,A
2020-07-31,01435900,1430.65,A
2020-08-01,01435900,1430.39,A
2020-08-02,01435900,1430.29,A
2020-08-03,01435900,1430.03,A
2020-08-04,01435900,1430.19,A
2020-08-05,01435900,1431.5,A
2020-08-06,01435900,1431.41,A
2020-08-07,01435900,1431.2,A
2020-08-08,01435900,1431.12,A
2020-08-09,01435900,1431.12,A
2020-08-10,01435900,1430.94,A
2020-08-11,01435900,1430.45,A
2020-08-12,01435900,1430.04,A
2020-08-13,01435900,1429.6,A
2020-08-14,01435900,1429.19,A
2020-08-15,01435900,1428.94,A
2020-08-16,01435900,1428.85,A
2020-08-17,01435900,1428.76,A
2020-08-18,01435900,1428.68,A
2020-08-19,01435900,1428.59,A
2020-08-20,01435900,1428.51,A
2020-08-21,01435900,1428.43,A
2020-08-22,01435900,1428.35,A
2020-08-23,01435900,1428.27,A
2020-08-24,01435900,1428.18,A
2020-08-25,01435900,1428.1,A
2020-08-26,01435900,1428.0,A
2020-08-27,01435900,1427.94,A
2020-08-28,01435900,1427.98,A
2020-08-29,01435900,1427.94,A
2020-08-30,01435900,1428.06,A
2020-08-31,01435900,1428.03,A
2020-09-01,01435900,1427.95,A
2020-09-02,01435900,1428.04,A
2020-09-03,01435900,1428.36,A
2020-09-04,01435900,1428.23,A
2020-09-05,01435900,1428.1,A
2020-09-06,01435900,1428.08,A
2020-09-07,01435900,1428.03,A
2020-09-08,01435900,1427.93,A
2020-09-09,01435900,1427.64,A
2020-09-10,01435900,1427.32,A
2020-09-11,01435900,1427.17,A
2020-09-12,01435900,1427.12,A
2020-09-13,01435900,1427.04,A
2020-09-14,01435900,1426.96,A
2020-09-15,01435900,1426.75,A
2020-09-16,01435900,1426.47,A
2020-09-17,01435900,1426.28,A
2020-09-18,01435900,1426.02,A
2020-09-19,01435900,1425.94,A
2020-09-20,01435900,1425.85,A
2020-09-21,01435900,1425.76,A
2020-09-22,01435900,1425.66,A
2020-09-23,01435900,1425.57,A
2020-09-24,01435900,1425.36,A
2020-09-25,01435900,1424.96,A
2020-09-26,01435900,1424.68,A
2020-09-27,01435900,1424.59,A
2020-09-28,01435900,1424.53,A
2020-09-29,01435900,1424.49,A
2020-09-30,01435900,1425.08,A
2020-10-01,01435900,1425.39,A
2020-10-02,01435900,1425.45,A
2020-10-03,01435900,1425.47,A
2020-10-04,01435900,1425.47,A
2020-10-05,01435900,1425.45,A
2020-10-06,01435900,1425.38,A
2020-10-07,01435900,1425.36,A
2020-10-08,01435900,1425.32,A
2020-10-09,01435900,1425.02,A
2020-10-10,01435900,1424.61,A
2020-10-11,01435900,1424.48,A
2020-10-12,01435900,1424.42,A
2020-10-13,01435900,1424.26,A
2020-10-14,01435900,1423.95,A
2020-10-15,01435900,1423.44,A
2020-10-16,01435900,1423.06,A
2020-10-17,01435900,1422.85,A
2020-10-18,01435900,1422.81,A
2020-10-19,01435900,1422.78,A
2020-10-20,01435900,1422.75,A
2020-10-21,01435900,1422.6,A
2020-10-22,01435900,1422.38,A
2020-10-23,01435900,1422.34,A
2020-10-24,01435900,1422.31,A
2020-10-25,01435900,1422.26,A
2020-10-26,01435900,1422.25,A
2020-10-27,01435900,1422.23,A
2020-10-28,01435900,1422.24,A
2020-10-29,01435900,1422.33,A
2020-10-30,01435900,1422.76,A
2020-10-31,01435900,1423.05,A
2020-11-01,01435900,1423.21,A
2020-11-02,01435900,1423.45,A
2020-11-03,01435900,1423.63,A
2020-11-04,01435900,1423.77,A
2020-11-05,01435900,1423.88,A
2020-11-06,01435900,1423.98,A
2020-11-07,01435900,1424.07,A
2020-11-08,01435900,1424.15,A
2020-11-09,01435900,1424.21,A
2020-11-10,01435900,1424.27,A
2020-11-11,01435900,1424.35,A
2020-11-12,01435900,1424.58,A
2020-11-13,01435900,1424.76,A
2020-11-14,01435900,1424.88,A
2020-11-15,01435900,1424.99,A
2020-11-16,01435900,1425.43,A
2020-11-17,01435900,1425.81,A
2020-11-18,01435900,1425.98,A
2020-11-19,01435900,1425.86,A
2020-11-20,01435900,1425.8,A
2020-11-21,01435900,1425.96,A
2020-11-22,01435900,1426.1,A
2020-11-23,01435900,1426.36,A
2020-11-24,01435900,1426.67,A
2020-11-25,01435900,1426.65,A
2020-11-26,01435900,1426.89,A
2020-11-27,01435900,1427.49,A
2020-11-28,01435900,1427.88,A
2020-11-29,01435900,1428.18,A
2020-11-30,01435900,1428.75,A
2020-12-01,01435900,1431.51,A
2020-12-02,01435900,1432.49,A
2020-12-03,01435900,1432.88,A
2020-12-04,01435900,1433.26,A
2020-12-05,01435900,1433.48,A
2020-12-06,01435900,1433.77,A
2020-12-07,01435900,1433.8,A
2020-12-08,01435900,1433.74,A
2020-12-09,01435900,1433.64,A
2020-12-10,01435900,1433.54,A
2020-12-11,01435900,1433.36,A
2020-12-12,01435900,1433.14,A
2020-12-13,01435900,1432.97,A
2020-12-14,01435900,1432.86,A
2020-12-15,01435900,1432.59,A
2020-12-16,01435900,1432.17,A
2020-12-17,01435900,1432.01,A
2020-12-18,01435900,1431.75,A
2020-12-19,01435900,1431.25,A
2020-12-20,01435900,1430.81,A
2020-12-21,01435900,1430.37,A
2020-12-22,01435900,1429.92,A
2020-12-23,01435900,1429.64,A
2020-12-24,01435900,1429.59,A
2020-12-25,01435900,1435.63,A
2020-12-26,01435900,1439.21,A
2020-12-27,01435900,1439.15,A
2020-12-28,01435900,1438.93,A
2020-12-29,01435900,1438.89,A
2020-12-30,01435900,1438.99,A
2020-12-31,01435900,1439.05,A
2021-01-01,01435900,1439.04,A
2021-01-02,01435900,1439.08,A
2021-01-03,01435900,1439.11,A
2021-01-04,01435900,1439.08,A
2021-01-05,01435900,1439.03,A
2021-01-06,01435900,1438.98,A
2021-01-07,01435900,1438.91,A
2021-01-08,01435900,1438.87,A
2021-01-09,01435900,1438.83,A
2021-01-10,01435900,1438.77,A
2021-01-11,01435900,1438.72,A
2021-01-12,01435900,1438.56,A
2021-01-13,01435900,1438.34,A
2021-01-14,01435900,1438.07,A
2021-01-15,01435900,1437.75,A
2021-01-16,01435900,1437.45,A
2021-01-17,01435900,1437.12,A
2021-01-18,01435900,1436.76,A
2021-01-19,01435900,1436.42,A
2021-01-20,01435900,1436.04,A
2021-01-21,01435900,1435.65,A
2021-01-22,01435900,1435.29,A
2021-01-23,01435900,1434.9,A
2021-01-24,01435900,1434.48,A
2021-01-25,01435900,1434.04,A
2021-01-26,01435900,1433.68,A
2021-01-27,01435900,1433.27,A
2021-01-28,01435900,1432.87,A
2021-01-29,01435900,1432.44,A
2021-01-30,01435900,1431.99,A
2021-01-31,01435900,1431.56,A
2021-02-01,01435900,1431.18,A
2021-02-02,01435900,1430.89,A
2021-02-03,01435900,1430.61,A
2021-02-04,01435900,1430.34,A
2021-02-05,01435900,1430.12,A
2021-02-06,01435900,1430.06,A
2021-02-07,01435900,1430.0,A
2021-02-08,01435900,1429.88,A
2021-02-09,01435900,1429.6,A
2021-02-10,01435900,1429.32,A
2021-02-11,01435900,1429.02,A
2021-02-12,01435900,1428.59,A
2021-02-13,01435900,1428.24,A
2021-02-14,01435900,1428.04,A
2021-02-15,01435900,1427.96,A
2021-02-16,01435900,1427.86,A
2021-02-17,01435900,1428.03,A
2021-02-18,01435900,1428.12,A
2021-02-19,01435900,1428.2,A
2021-02-20,01435900,1428.15,A
2021-02-21,01435900,1427.91,A
2021-02-22,01435900,1427.55,A
2021-02-23,01435900,1427.21,A
2021-02-24,01435900,1426.98,A
2021-02-25,01435900,1426.75,A
2021-02-26,01435900,1426.52,A
2021-02-27,01435900,1426.38,A
2021-02-28,01435900,1426.43,A
2021-03-01,01435900,1426.54,A
2021-03-02,01435900,1426.62,A
2021-03-03,01435900,1426.53,A
2021-03-04,01435900,1426.6,A
2021-03-05,01435900,1426.63,A
2021-03-06,01435900,1426.68,A
2021-03-07,01435900,1426.65,A
2021-03-08,01435900,1426.27,A
2021-03-09,01435900,1425.74,A
2021-03-10,01435900,1425.21,A
2021-03-11,01435900,1424.87,A
2021-03-12,01435900,1425.0,A
2021-03-13,01435900,1425.69,A
2021-03-14,01435900,1426.16,A
2021-03-15,01435900,1426.43,A
2021-03-16,01435900,1426.35,A
2021-03-17,01435900,1426.2,A
2021-03-18,01435900,1426.14,A
2021-03-19,01435900,1426.8,A
2021-03-20,01435900,1427.24,A
2021-03-21,01435900,1427.61,A
2021-03-22,01435900,1428.06,A
2021-03-23,01435900,1428.64,A
2021-03-24,01435900,1429.46,A
2021-03-25,01435900,1431.88,A
2021-03-26,01435900,1434.65,A
2021-03-27,01435900,1436.79,A
2021-03-28,01435900,1437.97,A
2021-03-29,01435900,1439.32,A
2021-03-30,01435900,1439.28,A
2021-03-31,01435900,1439.16,A
2021-04-01,01435900,1439.26,A
2021-04-02,01435900,1439.07,A
2021-04-03,01435900,1438.73,A
2021-04-04,01435900,1438.43,A
2021-04-05,01435900,1438.21,A
2021-04-06,01435900,1438.26,A
2021-04-07,01435900,1438.21,A
2021-04-08,01435900,1438.21,A
2021-04-09,01435900,1438.05,A
2021-04-10,01435900,1437.95,A
2021-04-11,01435900,1438.02,A
2021-04-12,01435900,1438.19,A
2021-04-13,01435900,1438.41,A
2021-04-14,01435900,1438.47,A
2021-04-15,01435900,1438.58,A
2021-04-16,01435900,1438.65,A
2021-04-17,01435900,1438.62,A
2021-04-18,01435900,1438.58,A
2021-04-19,01435900,1438.61,A
2021-04-20,01435900,1438.68,A
2021-04-21,01435900,1438.71,A
2021-04-22,01435900,1438.78,A
2021-04-23,01435900,1438.83,A
2021-04-24,01435900,1438.85,A
2021-04-25,01435900,1438.78,A
2021-04-26,01435900,1438.69,A
2021-04-27,01435900,1438.64,A
2021-04-28,01435900,1438.66,A
2021-04-29,01435900,1438.57,A
2021-04-30,01435900,1438.74,A
2021-05-01,01435900,1438.84,A
2021-05-02,01435900,1438.9,A
2021-05-03,01435900,1438.95,A
2021-05-04,01435900,1439.06,A
2021-05-05,01435900,1439.42,A
2021-05-06,01435900,1439.32,A
2021-05-07,01435900,1439.18,A
2021-05-08,01435900,1439.13,A
2021-05-09,01435900,1439.12,A
2021-05-10,01435900,1439.26,A
2021-05-11,01435900,1439.21,A
2021-05-12,01435900,1439.12,A
2021-05-13,01435900,1439.08,A
2021-05-14,01435900,1439.01,A
2021-05-15,01435900,1438.89,A
2021-05-16,01435900,1438.86,A
2021-05-17,01435900,1438.9,A
2021-05-18,01435900,1438.78,A
2021-05-19,01435900,1438.69,A
2021-05-20,01435900,1438.53,A
2021-05-21,01435900,1438.46,A
2021-05-22,01435900,1438.5,A
2021-05-23,01435900,1438.54,A
2021-05-24,01435900,1438.48,A
2021-05-25,01435900,1438.39,A
2021-05-26,01435900,1438.34,A
2021-05-27,01435900,1438.25,A
2021-05-28,01435900,1438.26,A
2021-05-29,01435900,1438.59,A
2021-05-30,01435900,1438.77,A
2021-05-31,01435900,1438.85,A
2021-06-01,01435900,1438.75,A
2021-06-02,01435900,1438.61,A
2021-06-03,01435900,1438.53,A
2021-06-04,01435900,1438.58,A
2021-06-05,01435900,1438.62,A
2021-06-06,01435900,1438.57,A
2021-06-07,01435900,1438.32,A
2021-06-08,01435900,1438.03,A
2021-06-09,01435900,1437.77,A
2021-06-10,01435900,1437.54,A
2021-06-11,01435900,1437.38,A
2021-06-12,01435900,1437.32,A
2021-06-13,01435900,1437.28,A
2021-06-14,01435900,1437.19,A
2021-06-15,01435900,1437.0,A
2021-06-16,01435900,1436.82,A
2021-06-17,01435900,1436.75,A
2021-06-18,01435900,1436.62,A
2021-06-19,01435900,1436.44,A
2021-06-20,01435900,1436.31,A
2021-06-21,01435900,1436.01,A
2021-06-22,01435900,1435.74,A
2021-06-23,01435900,1435.59,A
2021-06-24,01435900,1435.5,A
2021-06-25,01435900,1435.4,A
2021-06-26,01435900,1435.31,A
2021-06-27,01435900,1435.22,A
2021-06-28,01435900,1435.04,A
2021-06-29,01435900,1434.71,A
2021-06-30,01435900,1434.34,A
2021-07-01,01435900,1434.09,A
2021-07-02,01435900,1434.09,A
2021-07-03,01435900,1434.33,A
2021-07-04,01435900,1434.44,A
2021-07-05,01435900,1434.42,A
2021-07-06,01435900,1434.28,A
2021-07-07,01435900,1434.02,A
2021-07-08,01435900,1434.38,A
2021-07-09,01435900,1437.36,A
2021-07-10,01435900,1439.19,A
2021-07-11,01435900,1439.17,A
2021-07-12,01435900,1439.51,A
2021-07-13,01435900,1439.41,A
2021-07-14,01435900,1439.3,A
2021-07-15,01435900,1439.18,A
2021-07-16,01435900,1439.08,A
2021-07-17,01435900,1439.15,A
2021-07-18,01435900,1439.9,A
2021-07-19,01435900,1439.49,A
2021-07-20,01435900,1439.27,A
2021-07-21,01435900,1439.17,A
2021-07-22,01435900,1439.1,A
2021-07-23,01435900,1439.04,A
2021-07-24,01435900,1438.92,A
2021-07-25,01435900,1438.51,A
2021-07-26,01435900,1438.21,A
2021-07-27,01435900,1438.24,A
2021-07-28,01435900,1438.29,A
2021-07-29,01435900,1438.21,A
2021-07-30,01435900,1438.13,A
2021-07-31,01435900,1438.12,A
2021-08-01,01435900,1438.09,A
2021-08-02,01435900,1437.97,A
2021-08-03,01435900,1437.67,A
2021-08-04,01435900,1437.47,A
2021-08-05,01435900,1437.41,A
2021-08-06,01435900,1437.35,A
2021-08-07,01435900,1437.28,A
2021-08-08,01435900,1437.21,A
2021-08-09,01435900,1437.13,A
2021-08-10,01435900,1437.04,A
2021-08-11,01435900,1436.96,A
2021-08-12,01435900,1436.79,A
2021-08-13,01435900,1436.45,A
2021-08-14,01435900,1436.08,A
2021-08-15,01435900,1435.8,A
2021-08-16,01435900,1435.65,A
2021-08-17,01435900,1435.48,A
2021-08-18,01435900,1435.27,A
2021-08-19,01435900,1435.47,A
2021-08-20,01435900,1435.46,A
2021-08-21,01435900,1435.38,A
2021-08-22,01435900,1435.43,A
2021-08-23,01435900,1436.34,A
2021-08-24,01435900,1437.23,A
2021-08-25,01435900,1437.1,A
2021-08-26,01435900,1436.8,A
2021-08-27,01435900,1436.44,A
2021-08-28,01435900,1435.97,A
2021-08-29,01435900,1435.42,A
2021-08-30,01435900,1434.98,A
2021-08-31,01435900,1434.89,A
2021-09-01,01435900,1434.96,A
2021-09-02,01435900,1436.73,A
2021-09-03,01435900,1437.41,A
2021-09-04,01435900,1437.63,A
2021-09-05,01435900,1437.74,A
2021-09-06,01435900,1437.77,A
2021-09-07,01435900,1437.4,A
2021-09-08,01435900,1436.6,A
2021-09-09,01435900,1436.58,A
2021-09-10,01435900,1436.32,A
2021-09-11,01435900,1435.79,A
2021-09-12,01435900,1435.21,A
2021-09-13,01435900,1434.78,A
2021-09-14,01435900,1434.77,A
2021-09-15,01435900,1434.8,A
2021-09-16,01435900,1435.42,A
2021-09-17,01435900,1435.5,A
2021-09-18,01435900,1435.63,A
2021-09-19,01435900,1435.73,A
2021-09-20,01435900,1435.69,A
2021-09-21,01435900,1435.27,A
2021-09-22,01435900,1434.77,A
2021-09-23,01435900,1434.56,A
2021-09-24,01435900,1437.1,A
2021-09-25,01435900,1437.57,A
2021-09-26,01435900,1437.19,A
2021-09-27,01435900,1436.6,A
2021-09-28,01435900,1435.95,A
2021-09-29,01435900,1435.23,A
2021-09-30,01435900,1434.43,A
2021-10-01,01435900,1433.58,A
2021-10-02,01435900,1432.71,A
2021-10-03,01435900,1431.81,A
2021-10-04,01435900,1431.37,A
2021-10-05,01435900,1431.96,A
2021-10-06,01435900,1432.24,A
2021-10-07,01435900,1432.4,A
2021-10-08,01435900,1432.5,A
2021-10-09,01435900,1432.55,A
2021-10-10,01435900,1432.58,A
2021-10-11,01435900,1432.59,A
2021-10-12,01435900,1432.59,A
2021-10-13,01435900,1432.56,A
2021-10-14,01435900,1432.53,A
2021-10-15,01435900,1432.48,A
2021-10-16,01435900,1432.46,A
2021-10-17,01435900,1432.56,A
2021-10-18,01435900,1432.46,A
2021-10-19,01435900,1431.93,A
2021-10-20,01435900,1431.34,A
2021-10-21,01435900,1430.74,A
2021-10-22,01435900,1430.21,A
2021-10-23,01435900,1430.07,A
2021-10-24,01435900,1429.98,A
2021-10-25,01435900,1429.99,A
2021-10-26,01435900,1432.32,A
2021-10-27,01435900,1438.08,A
2021-10-28,01435900,1439.25,A
2021-10-29,01435900,1439.26,A
2021-10-30,01435900,1439.23,A
2021-10-31,01435900,1439.2,A
2021-11-01,01435900,1439.12,A
2021-11-02,01435900,1439.08,A
2021-11-03,01435900,1439.05,A
2021-11-04,01435900,1439.02,A
2021-11-05,01435900,1439.0,A
2021-11-06,01435900,1438.98,A
2021-11-07,01435900,1438.96,A
2021-11-08,01435900,1438.94,A
2021-11-09,01435900,1438.91,A
2021-11-10,01435900,1438.78,A
2021-11-11,01435900,1438.44,A
2021-11-12,01435900,1438.47,A
2021-11-13,01435900,1439.0,A
2021-11-14,01435900,1439.09,A
2021-11-15,01435900,1438.97,A
2021-11-16,01435900,1438.77,A
2021-11-17,01435900,1438.54,A
2021-11-18,01435900,1438.37,A
2021-11-19,01435900,1438.19,A
2021-11-21,01435900,1437.74,A
2021-11-22,01435900,1437.57,A
2021-11-23,01435900,1437.29,A
2021-11-24,01435900,1436.83,A
2021-11-25,01435900,1436.47,A
2021-11-26,01435900,1436.19,A
2021-11-27,01435900,1435.91,A
2021-11-28,01435900,1435.68,A
2021-11-29,01435900,1435.59,A
2021-11-30,01435900,1435.34,A
2021-12-01,01435900,1435.14,A
2021-12-02,01435900,1435.13,A
2021-12-03,01435900,1435.2,A
2021-12-04,01435900,1435.2,A
2021-12-05,01435900,1435.15,A
2021-12-06,01435900,1435.12,A
2021-12-07,01435900,1435.2,A
2021-12-08,01435900,1435.23,A
2021-12-09,01435900,1435.22,A
2021-12-10,01435900,1435.19,A
2021-12-11,01435900,1435.22,A
2021-12-12,01435900,1435.43,A
2021-12-13,01435900,1435.52,A
2021-12-14,01435900,1435.56,A
2021-12-15,01435900,1435.58,A
