Streamflow Gauge Comparison
"Scenario: GridMet, Streamflow Gauge: DelawareBlwPepactonRes_01417000"
Cubic Meter
Statistic,Modeled,Observed
9/12/1999,828450,157248
9/13/1999,828264,157248
9/14/1999,827110,157248
9/15/1999,752825,157248
9/16/1999,751934,164506
9/17/1999,771882,159667
9/18/1999,24320671,162086
9/19/1999,7532053,162086
9/20/1999,5517197,162086
9/21/1999,6396835,162086
9/22/1999,7838486,162086
9/23/1999,5738356,157248
9/24/1999,3332589,162086
9/25/1999,1410681,162086
9/26/1999,820844,162086
9/27/1999,820201,162086
9/28/1999,819095,162086
9/29/1999,817812,159667
9/30/1999,817367,157248
10/1/1999,794237,125798
10/2/1999,794114,108864
10/3/1999,793092,108864
10/4/1999,792835,111283
10/5/1999,795879,108864
10/6/1999,796312,108864
10/7/1999,795988,108864
10/8/1999,795213,108864
10/9/1999,794338,108864
10/10/1999,793929,108864
10/11/1999,793799,108864
10/12/1999,793473,108864
10/13/1999,792452,108864
10/14/1999,791536,108864
10/15/1999,791287,108864
10/16/1999,790613,111283
10/17/1999,789393,108864
10/18/1999,787936,108864
10/19/1999,786268,108864
10/20/1999,784649,108864
10/21/1999,783411,111283
10/22/1999,782060,104026
10/23/1999,780864,104026
10/24/1999,780233,104026
10/25/1999,780034,104026
10/26/1999,779742,104026
10/27/1999,780509,104026
10/28/1999,781118,104026
10/29/1999,781575,104026
10/30/1999,781910,104026
10/31/1999,782110,104026
11/1/1999,782173,104026
11/2/1999,782143,104026
11/3/1999,781070,104026
11/4/1999,781725,104026
11/5/1999,782316,104026
11/6/1999,781712,104026
11/7/1999,780918,104026
11/8/1999,779987,104026
11/9/1999,778908,104026
11/10/1999,777702,106445
11/11/1999,776991,104026
11/12/1999,775910,104026
11/13/1999,774479,104026
11/14/1999,772813,106445
11/15/1999,771058,106445
11/16/1999,769500,106445
11/17/1999,767674,104026
11/18/1999,765754,101606
11/19/1999,763791,101606
11/20/1999,761782,104026
11/21/1999,759751,101606
11/22/1999,757745,101606
11/23/1999,755718,101606
11/24/1999,753662,101606
11/25/1999,751773,101606
11/26/1999,750836,104026
11/27/1999,756221,104026
11/28/1999,765045,104026
11/29/1999,768752,104026
11/30/1999,769956,104026
12/1/1999,770742,106445
12/2/1999,773091,104026
12/3/1999,775015,104026
12/4/1999,776523,104026
12/5/1999,777655,104026
12/6/1999,778591,104026
12/7/1999,779548,104026
12/8/1999,780486,104026
12/9/1999,781041,104026
12/10/1999,781397,104026
12/11/1999,782028,101606
12/12/1999,1339116,101606
12/13/1999,1338818,101606
12/14/1999,1338475,104026
12/15/1999,1338827,101606
12/16/1999,1339563,101606
12/17/1999,1339651,101606
12/18/1999,1339357,101606
12/19/1999,1338962,101606
12/20/1999,1338509,101606
12/21/1999,1338006,101606
12/22/1999,1337722,101606
12/23/1999,1337419,101606
12/24/1999,1336846,101606
12/25/1999,1336223,101606
12/26/1999,1335560,101606
12/27/1999,1334863,101606
12/28/1999,1334135,101606
12/29/1999,1333376,101606
12/30/1999,1332597,101606
12/31/1999,1331795,101606
1/1/2000,1330962,101606
1/2/2000,1330106,101606
1/3/2000,1329254,101606
1/4/2000,1328711,101606
1/5/2000,1329200,101606
1/6/2000,1330224,101606
1/7/2000,1330445,101606
1/8/2000,1329994,101606
1/9/2000,773155,101606
1/10/2000,773390,101606
1/11/2000,775026,101606
1/12/2000,778064,101606
1/13/2000,1336649,101606
1/14/2000,1337571,101606
1/15/2000,1337828,101606
1/16/2000,1337890,101606
1/17/2000,1337829,101606
1/18/2000,1337652,99187.2
1/19/2000,1337357,99187.2
1/20/2000,1336942,99187.2
1/21/2000,1336417,99187.2
1/22/2000,1335802,99187.2
1/23/2000,1335126,96768
1/24/2000,1334404,99187.2
1/25/2000,1333644,99187.2
1/26/2000,1332845,99187.2
1/27/2000,1332021,99187.2
1/28/2000,1331176,96768
1/29/2000,1330318,96768
1/30/2000,1329446,96768
1/31/2000,1328562,99187.2
2/1/2000,1327663,99187.2
2/2/2000,1326748,99187.2
2/3/2000,1325822,99187.2
2/4/2000,768474,99187.2
2/5/2000,768185,99187.2
2/6/2000,767883,99187.2
2/7/2000,767573,99187.2
2/8/2000,767254,99187.2
2/9/2000,766928,99187.2
2/10/2000,766604,99187.2
2/11/2000,766633,99187.2
2/12/2000,767746,99187.2
2/13/2000,768614,99187.2
2/14/2000,768476,101606
2/15/2000,768373,99187.2
2/16/2000,769215,99187.2
2/17/2000,770320,99187.2
2/18/2000,770523,99187.2
2/19/2000,770736,99187.2
2/20/2000,770906,99187.2
2/21/2000,771007,99187.2
2/22/2000,771048,101606
2/23/2000,771037,101606
2/24/2000,772172,111283
2/25/2000,775729,113702
2/26/2000,4700114,106445
2/27/2000,19959967,106445
2/28/2000,21464944,111283
3/1/2000,12491355,108864
3/2/2000,7718494,106445
3/3/2000,5732612,106445
3/4/2000,3559407,106445
3/5/2000,2545765,106445
3/6/2000,1810816,106445
3/7/2000,1301148,106445
3/8/2000,1078527,106445
3/9/2000,1101699,104026
3/10/2000,1216046,104026
3/11/2000,1909575,106445
3/12/2000,4221052,108864
3/13/2000,4258622,106445
3/14/2000,2517686,106445
3/15/2000,3465635,106445
3/16/2000,7295652,106445
3/17/2000,9271906,106445
3/18/2000,7479806,104026
3/19/2000,4545732,104026
3/20/2000,3292973,104026
3/21/2000,2500520,104026
3/22/2000,1865544,104026
3/23/2000,1463517,104026
3/24/2000,1160150,104026
3/25/2000,1311490,104026
3/26/2000,1411062,104026
3/27/2000,3991540,106445
3/28/2000,7224848,108864
3/29/2000,5603513,106445
3/30/2000,3097403,104026
3/31/2000,2783847,104026
4/1/2000,2483430,106445
4/2/2000,2392506,106445
4/3/2000,4767352,106445
4/4/2000,8375874,108864
4/5/2000,7093606,106445
4/6/2000,4260590,106445
4/7/2000,3014627,106445
4/8/2000,4652229,106445
4/9/2000,8080405,108864
4/10/2000,7447685,111283
4/11/2000,4250564,106445
4/12/2000,3162889,106445
4/13/2000,2489795,106445
4/14/2000,2056162,108864
4/15/2000,1795300,116122
4/16/2000,1451804,391910
4/17/2000,1800217,815270
4/18/2000,2775987,1647475
4/19/2000,2540415,1853107
4/20/2000,2374492,1686182
4/21/2000,3601884,1763597
4/22/2000,5390898,2709504
4/23/2000,5338784,3290112
4/24/2000,4328748,3435264
4/25/2000,3229450,3048192
4/26/2000,2494237,2636928
4/27/2000,2259996,2119219
4/28/2000,2047819,1850688
4/29/2000,1681473,1504742
4/30/2000,1289251,1287014
5/1/2000,1054356,1088640
5/2/2000,923507,895104
5/3/2000,869228,735437
5/4/2000,869144,546739
5/5/2000,869022,428198
5/6/2000,868840,348365
5/7/2000,868602,261274
5/8/2000,868343,195955
5/9/2000,868063,157248
5/10/2000,1214051,166925
5/11/2000,3140194,561254
5/12/2000,3827188,832205
5/13/2000,6246408,1120090
5/14/2000,6850507,2491776
5/15/2000,4753614,2733696
5/16/2000,3429374,2588544
5/17/2000,2793809,1969229
5/18/2000,3326455,1388621
5/19/2000,5164316,2467584
5/20/2000,5567543,2395008
5/21/2000,4147385,1983744
5/22/2000,3482952,1669248
5/23/2000,4663933,2075674
5/24/2000,6416831,3386880
5/25/2000,6300808,5249664
5/26/2000,4717499,5298048
5/27/2000,3124806,4548096
5/28/2000,2169238,3846528
5/29/2000,1637415,3241728
5/30/2000,1287445,2709504
5/31/2000,1031852,1666829
6/1/2000,917612,1134605
6/2/2000,916267,711245
6/3/2000,914625,488678
6/4/2000,913874,404006
6/5/2000,912431,304819
6/6/2000,3039710,609638
6/7/2000,17404100,5152896
6/8/2000,6482014,5830272
6/9/2000,4995160,4523904
6/10/2000,3703412,3580416
6/11/2000,5063848,2975616
6/12/2000,6737147,4499712
6/13/2000,4857342,4717440
6/14/2000,3735335,4185216
6/15/2000,1727800,3459456
6/16/2000,917612,2854656
6/17/2000,1150936,2588544
6/18/2000,1963235,2733696
6/19/2000,1445435,2661120
6/20/2000,917612,1874880
6/21/2000,940077,1504742
6/22/2000,2157074,1957133
6/23/2000,917612,1661990
6/24/2000,917319,1078963
6/25/2000,915892,626573
6/26/2000,915299,694310
6/27/2000,915793,774144
6/28/2000,917433,970099
6/29/2000,916487,522547
6/30/2000,915353,275789
7/1/2000,914160,224986
7/2/2000,912400,217728
7/3/2000,910420,217728
7/4/2000,908941,215309
7/5/2000,907753,212890
7/6/2000,905743,210470
7/7/2000,903601,210470
7/8/2000,901390,210470
7/9/2000,899115,210470
7/10/2000,896814,210470
7/11/2000,896436,210470
7/12/2000,894274,210470
7/13/2000,892635,210470
7/14/2000,890945,210470
7/15/2000,890046,215309
7/16/2000,892665,212890
7/17/2000,900744,210470
7/18/2000,907078,212890
7/19/2000,909747,212890
7/20/2000,911999,220147
7/21/2000,913785,222566
7/22/2000,915228,222566
7/23/2000,916483,222566
7/24/2000,916993,222566
7/25/2000,916936,222566
7/26/2000,916682,222566
7/27/2000,916513,224986
7/28/2000,916383,224986
7/29/2000,917378,222566
7/30/2000,1067795,222566
7/31/2000,1667520,222566
8/1/2000,917612,222566
8/2/2000,917464,222566
8/3/2000,938502,222566
8/4/2000,1496554,222566
8/5/2000,995868,222566
8/6/2000,1258319,224986
8/7/2000,1080512,222566
8/8/2000,917612,222566
8/9/2000,917223,268531
8/10/2000,1209112,307238
8/11/2000,1128490,263693
8/12/2000,4965575,229824
8/13/2000,4952941,227405
8/14/2000,3590558,229824
8/15/2000,3191309,229824
8/16/2000,2023796,229824
8/17/2000,2197288,229824
8/18/2000,1155396,229824
8/19/2000,1450346,229824
8/20/2000,993622,229824
8/21/2000,917612,229824
8/22/2000,916295,229824
8/23/2000,914826,229824
8/24/2000,914249,229824
8/25/2000,914508,229824
8/26/2000,913781,229824
8/27/2000,912585,229824
8/28/2000,911254,229824
8/29/2000,909720,229824
8/30/2000,908219,229824
8/31/2000,906649,229824
9/1/2000,880949,229824
9/2/2000,878825,229824
9/3/2000,876917,229824
9/4/2000,875113,229824
9/5/2000,873435,229824
9/6/2000,871695,229824
9/7/2000,869963,229824
9/8/2000,867788,229824
9/9/2000,865576,229824
9/10/2000,863573,229824
9/11/2000,861639,256435
9/12/2000,859438,200794
9/13/2000,861952,166925
9/14/2000,867441,166925
9/15/2000,796710,166925
9/16/2000,799018,166925
9/17/2000,801458,166925
9/18/2000,802142,166925
9/19/2000,802887,166925
9/20/2000,802786,166925
9/21/2000,801956,166925
9/22/2000,800397,166925
9/23/2000,798558,166925
9/24/2000,796568,166925
9/25/2000,794498,166925
9/26/2000,792365,169344
9/27/2000,790390,166925
9/28/2000,788520,169344
9/29/2000,786426,176602
9/30/2000,784252,183859
10/1/2000,757881,142733
10/2/2000,755702,120960
10/3/2000,753489,120960
10/4/2000,751254,118541
10/5/2000,749174,118541
10/6/2000,748413,116122
10/7/2000,749527,113702
10/8/2000,750701,113702
10/9/2000,750028,113702
10/10/2000,749448,113702
10/11/2000,749434,113702
10/12/2000,748870,113702
10/13/2000,748198,113702
10/14/2000,747677,113702
10/15/2000,746149,113702
10/16/2000,744362,113702
10/17/2000,742702,113702
10/18/2000,741441,116122
10/19/2000,742632,113702
10/20/2000,744795,113702
10/21/2000,744589,113702
10/22/2000,744222,113702
10/23/2000,743637,113702
10/24/2000,742841,113702
10/25/2000,741824,111283
10/26/2000,740538,113702
10/27/2000,738953,113702
10/28/2000,737157,113702
10/29/2000,735164,113702
10/30/2000,733126,113702
10/31/2000,731069,113702
11/1/2000,729136,113702
11/2/2000,727005,113702
11/3/2000,724854,113702
11/4/2000,722690,113702
11/5/2000,720512,113702
11/6/2000,718326,113702
11/7/2000,716136,113702
11/8/2000,713949,113702
11/9/2000,711759,113702
11/10/2000,709676,113702
11/11/2000,708505,113702
11/12/2000,707760,113702
11/13/2000,706093,113702
11/14/2000,704416,113702
11/15/2000,703631,113702
11/16/2000,703637,113702
11/17/2000,702875,113702
11/18/2000,702099,113702
11/19/2000,701133,113702
11/20/2000,699940,113702
11/21/2000,698576,113702
11/22/2000,697079,113702
11/23/2000,695439,113702
11/24/2000,693681,113702
11/25/2000,691844,113702
11/26/2000,689948,113702
11/27/2000,688568,113702
11/28/2000,687458,113702
11/29/2000,686083,113702
11/30/2000,684788,113702
12/1/2000,683731,113702
12/2/2000,682511,113702
12/3/2000,680931,113702
12/4/2000,679337,113702
12/5/2000,677691,113702
12/6/2000,675975,113702
12/7/2000,674194,113702
12/8/2000,672365,113702
12/9/2000,670486,113702
12/10/2000,668566,111283
12/11/2000,666616,113702
12/12/2000,664681,113702
12/13/2000,662762,111283
12/14/2000,660786,111283
12/15/2000,658767,111283
12/16/2000,656734,111283
12/17/2000,654803,116122
12/18/2000,666271,113702
12/19/2000,682865,116122
12/20/2000,684534,116122
12/21/2000,686308,116122
12/22/2000,687888,116122
12/23/2000,689037,113702
12/24/2000,689683,113702
12/25/2000,689847,113702
12/26/2000,689351,113702
12/27/2000,688253,113702
12/28/2000,686809,113702
12/29/2000,685158,113702
12/30/2000,683377,113702
12/31/2000,681511,113702
1/1/2001,679590,113702
1/2/2001,677632,113702
1/3/2001,675649,113702
1/4/2001,673651,113702
1/5/2001,671631,116122
1/6/2001,669596,116122
1/7/2001,667551,113702
1/8/2001,665495,116122
1/9/2001,663437,116122
1/10/2001,661361,116122
1/11/2001,659278,116122
1/12/2001,657192,116122
1/13/2001,655105,116122
1/14/2001,653006,113702
1/15/2001,650907,113702
1/16/2001,648842,113702
1/17/2001,646796,113702
1/18/2001,644703,113702
1/19/2001,642588,113702
1/20/2001,640536,113702
1/21/2001,638482,116122
1/22/2001,636373,113702
1/23/2001,634269,113702
1/24/2001,169344,113702
1/25/2001,169344,113702
1/26/2001,169344,113702
1/27/2001,169344,113702
1/28/2001,169344,113702
1/29/2001,169344,113702
1/30/2001,169344,116122
1/31/2001,169344,116122
2/1/2001,169344,118541
2/2/2001,169344,116122
2/3/2001,169344,116122
2/4/2001,169344,116122
2/5/2001,169344,116122
2/6/2001,169344,111283
2/7/2001,169344,111283
2/8/2001,169344,111283
2/9/2001,169344,111283
2/10/2001,169344,113702
2/11/2001,169344,111283
2/12/2001,169344,111283
2/13/2001,169344,111283
2/14/2001,169344,111283
2/15/2001,169344,111283
2/16/2001,169344,111283
2/17/2001,169344,111283
2/18/2001,169344,111283
2/19/2001,169344,111283
2/20/2001,169344,111283
2/21/2001,169344,111283
2/22/2001,169344,111283
2/23/2001,169344,111283
2/24/2001,169344,111283
2/25/2001,169344,111283
2/26/2001,169344,111283
2/27/2001,169344,111283
2/28/2001,169344,111283
3/1/2001,169344,111283
3/2/2001,169344,111283
3/3/2001,169344,111283
3/4/2001,169344,111283
3/5/2001,169344,111283
3/6/2001,169344,111283
3/7/2001,169344,111283
3/8/2001,169344,111283
3/9/2001,169344,111283
3/10/2001,169344,111283
3/11/2001,169344,111283
3/12/2001,169344,111283
3/13/2001,169344,113702
3/14/2001,169344,113702
3/15/2001,169344,111283
3/16/2001,637317,111283
3/17/2001,654017,111283
3/18/2001,670265,111283
3/19/2001,680170,111283
3/20/2001,684486,111283
3/21/2001,689785,113702
3/22/2001,700517,113702
3/23/2001,712533,113702
3/24/2001,719034,113702
3/25/2001,722172,111283
3/26/2001,723432,111283
3/27/2001,723885,111283
3/28/2001,723946,111283
3/29/2001,724662,111283
3/30/2001,725324,116122
3/31/2001,728520,113702
4/1/2001,733632,113702
4/2/2001,738619,113702
4/3/2001,744001,113702
4/4/2001,748215,111283
4/5/2001,752034,111283
4/6/2001,755226,111283
4/7/2001,758347,111283
4/8/2001,761689,111283
4/9/2001,764913,113702
4/10/2001,768542,113702
4/11/2001,771152,113702
4/12/2001,772159,113702
4/13/2001,772818,116122
4/14/2001,773239,116122
4/15/2001,773449,2073254
4/16/2001,773545,5225472
4/17/2001,773545,5419008
4/18/2001,773457,4523904
4/19/2001,771948,2975616
4/20/2001,769577,1720051
4/21/2001,767196,1134605
4/22/2001,764865,953165
4/23/2001,762562,943488
4/24/2001,760085,713664
4/25/2001,757576,459648
4/26/2001,755043,212890
4/27/2001,752530,118541
4/28/2001,750044,111283
4/29/2001,747541,108864
4/30/2001,745023,111283
5/1/2001,815098,135475
5/2/2001,812491,147571
5/3/2001,809853,147571
5/4/2001,807379,147571
5/5/2001,804975,147571
5/6/2001,802592,147571
5/7/2001,800204,147571
5/8/2001,797853,147571
5/9/2001,795495,149990
5/10/2001,793135,149990
5/11/2001,790752,149990
5/12/2001,788366,152410
5/13/2001,786004,152410
5/14/2001,783629,152410
5/15/2001,781044,164506
5/16/2001,778461,176602
5/17/2001,775882,176602
5/18/2001,773298,176602
5/19/2001,770720,176602
5/20/2001,768130,181440
5/21/2001,765550,181440
5/22/2001,762994,181440
5/23/2001,761284,181440
5/24/2001,761152,183859
5/25/2001,760370,181440
5/26/2001,758804,183859
5/27/2001,758828,183859
5/28/2001,760921,183859
5/29/2001,763338,183859
5/30/2001,764953,183859
5/31/2001,765474,171763
6/1/2001,813536,191117
6/2/2001,814120,208051
6/3/2001,818189,210470
6/4/2001,823434,210470
6/5/2001,826021,210470
6/6/2001,826668,208051
6/7/2001,826946,208051
6/8/2001,827571,205632
6/9/2001,827894,208051
6/10/2001,827959,210470
6/11/2001,827756,210470
6/12/2001,826559,208051
6/13/2001,825532,205632
6/14/2001,824010,205632
6/15/2001,822356,208051
6/16/2001,820735,224986
6/17/2001,823936,229824
6/18/2001,829757,210470
6/19/2001,832509,234662
6/20/2001,834055,205632
6/21/2001,835779,205632
6/22/2001,837619,205632
6/23/2001,838575,205632
6/24/2001,840790,205632
6/25/2001,843215,208051
6/26/2001,843979,208051
6/27/2001,844225,208051
6/28/2001,844172,229824
6/29/2001,842225,244339
6/30/2001,839944,246758
7/1/2001,837881,249178
7/2/2001,836619,224986
7/3/2001,835318,210470
7/4/2001,833291,210470
7/5/2001,831836,210470
7/6/2001,830563,210470
7/7/2001,828779,210470
7/8/2001,827024,210470
7/9/2001,825695,210470
7/10/2001,824336,210470
7/11/2001,823122,210470
7/12/2001,821971,210470
7/13/2001,820496,210470
7/14/2001,818658,208051
7/15/2001,816656,205632
7/16/2001,814549,205632
7/17/2001,812412,205632
7/18/2001,810360,205632
7/19/2001,808298,205632
7/20/2001,806007,205632
7/21/2001,803649,205632
7/22/2001,801255,205632
7/23/2001,798843,229824
7/24/2001,796422,275789
7/25/2001,794001,275789
7/26/2001,791734,241920
7/27/2001,790816,205632
7/28/2001,790211,205632
7/29/2001,788312,205632
7/30/2001,786425,205632
7/31/2001,784504,205632
8/1/2001,782512,239501
8/2/2001,780456,280627
8/3/2001,778306,254016
8/4/2001,776336,205632
8/5/2001,774887,205632
8/6/2001,773303,241920
8/7/2001,771190,278208
8/8/2001,769002,278208
8/9/2001,766756,278208
8/10/2001,764426,278208
8/11/2001,762238,241920
8/12/2001,760181,205632
8/13/2001,758123,205632
8/14/2001,756181,205632
8/15/2001,290304,205632
8/16/2001,290304,205632
8/17/2001,290304,205632
8/18/2001,290304,205632
8/19/2001,290304,205632
8/20/2001,290304,205632
8/21/2001,290304,205632
8/22/2001,290304,205632
8/23/2001,290304,205632
8/24/2001,290304,203213
8/25/2001,290304,200794
8/26/2001,290304,198374
8/27/2001,290304,203213
8/28/2001,290304,205632
8/29/2001,290304,205632
8/30/2001,290304,203213
8/31/2001,290304,203213
9/1/2001,266112,166925
9/2/2001,266112,147571
9/3/2001,266112,147571
9/4/2001,266112,149990
9/5/2001,266112,152410
9/6/2001,266112,154829
9/7/2001,266112,152410
9/8/2001,266112,152410
9/9/2001,266112,152410
9/10/2001,266112,152410
9/11/2001,266112,152410
9/12/2001,266112,152410
9/13/2001,266112,152410
9/14/2001,266112,152410
9/15/2001,193536,152410
9/16/2001,193536,152410
9/17/2001,193536,152410
9/18/2001,193536,152410
9/19/2001,193536,152410
9/20/2001,193536,152410
9/21/2001,193536,152410
9/22/2001,193536,152410
9/23/2001,193536,152410
9/24/2001,193536,154829
9/25/2001,193536,154829
9/26/2001,193536,154829
9/27/2001,193536,154829
9/28/2001,193536,154829
9/29/2001,193536,152410
9/30/2001,193536,152410
10/1/2001,169344,125556
10/2/2001,169344,113702
10/3/2001,169344,113702
10/4/2001,169344,113702
10/5/2001,169344,113702
10/6/2001,169344,113702
10/7/2001,169344,113460
10/8/2001,169344,113702
10/9/2001,169344,113702
10/10/2001,169344,113702
10/11/2001,169344,113702
10/12/2001,169344,113702
10/13/2001,169344,113702
10/14/2001,169344,112977
10/15/2001,169344,113944
10/16/2001,169344,113219
10/17/2001,169344,113702
10/18/2001,169344,113702
10/19/2001,169344,113702
10/20/2001,169344,113702
10/21/2001,169344,113702
10/22/2001,169344,113702
10/23/2001,169344,114186
10/24/2001,169344,114186
10/25/2001,169344,112977
10/26/2001,169344,112009
10/27/2001,169344,111767
10/28/2001,169344,112009
10/29/2001,169344,469325
10/30/2001,169344,851558
10/31/2001,169344,849139
11/1/2001,169344,846720
11/2/2001,169344,844301
11/3/2001,169344,841882
11/4/2001,169344,839462
11/5/2001,169344,1042675
11/6/2001,169344,1313626
11/7/2001,169344,1313626
11/8/2001,169344,1308787
11/9/2001,169344,1420070
11/10/2001,169344,1562803
11/11/2001,169344,1555546
11/12/2001,169344,1555546
11/13/2001,169344,1555546
11/14/2001,169344,1553126
11/15/2001,169344,1548288
11/16/2001,169344,1531354
11/17/2001,169344,1528934
11/18/2001,169344,1526515
11/19/2001,169344,1526515
11/20/2001,169344,1526515
11/21/2001,169344,1526515
11/22/2001,169344,1521677
11/23/2001,169344,1507162
11/24/2001,169344,1499904
11/25/2001,169344,1499904
11/26/2001,169344,1180570
11/27/2001,169344,1141862
11/28/2001,169344,1107994
11/29/2001,169344,1083802
11/30/2001,169344,958003
12/1/2001,169344,471744
12/2/2001,169344,94348.8
12/3/2001,169344,94348.8
12/4/2001,169344,94348.8
12/5/2001,169344,92655.4
12/6/2001,169344,273370
12/7/2001,169344,350784
12/8/2001,169344,88784.6
12/9/2001,169344,389491
12/10/2001,169344,464486
12/11/2001,169344,101123
12/12/2001,169344,101848
12/13/2001,169344,86849.3
12/14/2001,169344,73059.8
12/15/2001,169344,72576
12/16/2001,169344,72576
12/17/2001,169344,73785.6
12/18/2001,169344,75479
12/19/2001,169344,53706.2
12/20/2001,169344,19474.6
12/21/2001,169344,19232.6
12/22/2001,169344,18869.8
12/23/2001,169344,18869.8
12/24/2001,169344,18990.7
12/25/2001,169344,18869.8
12/26/2001,169344,18603.6
12/27/2001,169344,18385.9
12/28/2001,169344,18144
12/29/2001,169344,17805.3
12/30/2001,169344,17781.1
12/31/2001,169344,17684.4
1/1/2002,169344,17660.2
1/2/2002,169344,17660.2
1/3/2002,169344,17660.2
1/4/2002,169344,17660.2
1/5/2002,169344,17660.2
1/6/2002,169344,18119.8
1/7/2002,169344,18119.8
1/8/2002,169344,17660.2
1/9/2002,169344,17732.7
1/10/2002,169344,16910.2
1/11/2002,169344,15749
1/12/2002,169344,15724.8
1/13/2002,169344,15531.3
1/14/2002,169344,15144.2
1/15/2002,169344,15241
1/16/2002,169344,15265.2
1/17/2002,169344,15241
1/18/2002,169344,15216.8
1/19/2002,169344,15313.5
1/20/2002,169344,15241
1/21/2002,169344,14684.5
1/22/2002,169344,14007.2
1/23/2002,169344,13958.8
1/24/2002,169344,14442.6
1/25/2002,169344,14345.9
1/26/2002,169344,14007.2
1/27/2002,169344,14031.4
1/28/2002,169344,14031.4
1/29/2002,169344,14055.6
1/30/2002,169344,14902.3
1/31/2002,169344,14708.7
2/1/2002,169344,14902.3
2/2/2002,169344,14515.2
2/3/2002,169344,14732.9
2/4/2002,169344,14805.5
2/5/2002,169344,14684.5
2/6/2002,169344,14757.1
2/7/2002,169344,14757.1
2/8/2002,169344,14829.7
2/9/2002,169344,14757.1
2/10/2002,169344,15749
2/11/2002,169344,17394
2/12/2002,169344,16111.9
2/13/2002,169344,16111.9
2/14/2002,169344,15773.2
2/15/2002,169344,15821.6
2/16/2002,169344,15773.2
2/17/2002,169344,15797.4
2/18/2002,169344,15724.8
2/19/2002,169344,15724.8
2/20/2002,169344,15870
2/21/2002,169344,16402.2
2/22/2002,169344,16208.6
2/23/2002,169344,15870
2/24/2002,169344,15724.8
2/25/2002,169344,15773.2
2/26/2002,169344,15821.6
2/27/2002,169344,16208.6
2/28/2002,169344,15894.1
3/1/2002,169344,15749
3/2/2002,169344,15918.3
3/3/2002,169344,16837.6
3/4/2002,169344,16305.4
3/5/2002,169344,16281.2
3/6/2002,169344,16402.2
3/7/2002,169344,16450.6
3/8/2002,169344,16353.8
3/9/2002,169344,16402.2
3/10/2002,169344,16716.7
3/11/2002,169344,16474.8
3/12/2002,169344,16498.9
3/13/2002,169344,16450.6
3/14/2002,169344,16450.6
3/15/2002,169344,16474.8
3/16/2002,169344,16837.6
3/17/2002,169344,16450.6
3/18/2002,169344,16619.9
3/19/2002,169344,16837.6
3/20/2002,169344,17273.1
3/21/2002,169344,17152.1
3/22/2002,169344,17007
3/23/2002,169344,17007
