Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Beltzville Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Beltzville Reservoir","Increase in Storage for Beltzville Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
9/6/2003,336384, ,597343,-29259.5,-904468
9/7/2003,337881, ,441419,-26761.2,-752538
9/8/2003,289636, ,332540,-27220.2,-594955
9/9/2003,249711, ,236166,-28776.1,-457101
9/10/2003,195526, ,169742,-28559.6,-336708
9/11/2003,142759, ,129713,-26323.3,-246149
9/12/2003,98110.6, ,107756,-27326,-178540
9/13/2003, ,-191669,356088,-28681.8,-135737
9/14/2003, ,-516527,670305,44074,-197852
9/15/2003, ,-5648930,5969720,57262.7,-378050
9/16/2003,138088, ,1886777,307173,-2332040
9/17/2003,1260953, ,1607853,-26538.7,-2842270
9/18/2003,1377422, ,1802339,-24977.6,-3154780
9/19/2003, ,-816952,2579460,21374.6,-1783880
9/20/2003,390459, ,1538323,67768.8,-1996550
9/21/2003,1164250, ,837030,-27906.2,-1973370
9/22/2003,353828, ,1322452,-24675.2,-1651600
9/23/2003, ,-4436540,5641600,47132.2,-1252200
9/24/2003,12530.7, ,2321860,265970,-2600360
9/25/2003,1771265, ,1346472,-22433.1,-3095300
9/26/2003,2254641, ,862905,-14235.6,-3103310
9/27/2003,19332.6, ,1508535,-17455.3,-1510410
9/28/2003, ,-170108,1351404,58007.9,-1239300
9/29/2003,277971, ,947058,15918.7,-1240950
9/30/2003,642331, ,645044,-18376.3,-1269000
10/1/2003,510096, ,488994,-17921.8,-981169
10/2/2003,340279, ,360997,-7577.09,-693699
10/3/2003,216450, ,297557,-15661.9,-498345
10/4/2003, ,-203498,599951,-13937,-382516
10/5/2003, ,-12230.5,384817,46915.1,-419502
10/6/2003,125114, ,316688,-14360.9,-427442
10/7/2003,172648, ,275272,-14101.8,-433819
10/8/2003,93848.7, ,246101,-14357,-325592
10/9/2003,76143.1, ,219435,-16224.4,-279354
10/10/2003,68830.6, ,197739,-19633.3,-246936
10/11/2003,61316.3, ,180350,-20575.3,-221091
10/12/2003,58918.3, ,159681,-19424.6,-199175
10/13/2003,54954.8, ,144891,-20589.6,-179257
10/14/2003, ,-2052110,2233970,-20215.5,-161641
10/15/2003, ,-504826,1125320,225687,-846181
10/16/2003,207059, ,954348,6653.31,-1168060
10/17/2003,301013, ,1151838,-14971.3,-1437880
10/18/2003,177723, ,893879,5566.74,-1077170
10/19/2003,252128, ,761312,-13418,-1000020
10/20/2003,343041, ,602821,-10185.2,-935676
10/21/2003,284411, ,481235,-12975.4,-752671
10/22/2003,307253, ,321765,-13895.7,-615123
10/23/2003,248404, ,236630,-16427.6,-468607
10/24/2003,166724, ,191348,-11528.3,-346543
10/25/2003,97480.7, ,162186,-9752.09,-249914
10/26/2003, ,-68972.4,276865,-11171.3,-196721
10/27/2003, ,-4591570,4780910,20792.9,-210133
10/28/2003, ,-794577,2218360,316204,-1739990
10/29/2003, ,-3343110,5763050,12981.8,-2432920
10/30/2003,650621, ,2816920,161259,-3628800
10/31/2003,1868227, ,1742161,-10944.6,-3599440
11/1/2003,2357533, ,1096457,-13279.6,-3440710
11/2/2003,1083796, ,817487,-16104.1,-1885180
11/3/2003,646977, ,580648,-8923.01,-1218700
11/4/2003,484151, ,363920,-16540.6,-831531
11/5/2003,47046.9, ,557333,-17028.3,-587352
11/6/2003, ,-1143.2,462503,39273.8,-500634
11/7/2003,136506, ,319092,5653.19,-461252
11/8/2003,185955, ,272943,-12588.3,-446309
11/9/2003,113628, ,248716,-10831.8,-351513
11/10/2003,55833.6, ,231796,-7378.49,-280251
11/11/2003,9071.68, ,250386,-8306.35,-251152
11/12/2003, ,-77228.8,322996,-2135.03,-243633
11/13/2003, ,-36298.6,290135,14556.5,-268393
11/14/2003,32239.7, ,253829,1770.97,-287839
11/15/2003,68096.1, ,230033,-9142.07,-288987
11/16/2003,54825.6, ,211963,-8789.75,-257999
11/17/2003,44675.2, ,196112,-8845.57,-231941
11/18/2003,24195.9, ,198045,-9538.42,-212702
11/19/2003, ,-2715170,2923370,-6162.2,-202040
11/20/2003, ,-537148,1393851,249139,-1105840
11/21/2003,311715, ,1197780,-4406.51,-1505090
11/22/2003,866586, ,981032,-9284.59,-1838330
11/23/2003,430648, ,771164,-10924.1,-1190890
11/24/2003, ,-198978,1193232,-10929,-983325
11/25/2003,85566.9, ,856662,39580.4,-981809
11/26/2003,298253, ,651785,-9685.09,-940353
11/27/2003,467947, ,440041,-7428.8,-900560
11/28/2003, ,-2960970,3614850,-4384.92,-649496
11/29/2003, ,-439857,1764456,244293,-1568890
11/30/2003,695383, ,1254548,-10148.5,-1939780
12/1/2003,1295657, ,923751,-8123.09,-2211280
12/2/2003,651758, ,672021,-9527.11,-1314250
12/3/2003,427225, ,530900,-8018.59,-950107
12/4/2003,273003, ,441428,-5540.04,-708891
12/5/2003,177542, ,376323,-5748.95,-548116
12/6/2003,180810, ,273939,-5198.52,-449550
12/7/2003,145578, ,223070,-4750.78,-363897
12/8/2003,101635, ,193573,-4097.68,-291111
12/9/2003,60268.9, ,174425,-4499.99,-230194
12/10/2003, ,-132775,334702,-4905.02,-197022
12/11/2003, ,-5150510,5380010,4736.16,-234233
12/12/2003,237885, ,1391523,333638,-1963050
12/13/2003,605243, ,1770907,-7405.34,-2368740
12/14/2003,1291100, ,1542999,13381.2,-2847480
12/15/2003,467426, ,1106553,-5502.82,-1568480
12/16/2003,616110, ,862769,-5392.59,-1473490
12/17/2003, ,-175256,1351108,-5078.39,-1170770
12/18/2003,278287, ,781731,46791.9,-1106810
12/19/2003,527841, ,476672,-5976.98,-998536
12/20/2003,534428, ,340908,-5498.6,-869837
12/21/2003,268656, ,269605,-5157.06,-533104
12/22/2003,138312, ,228882,-4799.23,-362395
12/23/2003,81589.2, ,203333,-5124.24,-279798
12/24/2003, ,-2156470,2397274,-6864.62,-233940
12/25/2003,278880, ,500399,163884,-943163
12/26/2003,427198, ,613644,-7172.92,-1033670
12/27/2003,515129, ,661758,-6447.85,-1170440
12/28/2003, ,-50820.2,649013,-6259.17,-591934
12/29/2003,20781.5, ,627067,-6376.85,-641472
12/30/2003, ,-244959,897751,-6845.54,-645946
12/31/2003,19863.5, ,689990,14756.8,-724610
1/1/2004,20197.6, ,723304,-5232.23,-738269
1/2/2004, ,-62211.1,820581,11978.4,-770348
1/3/2004, ,-945866,1667688,22803.4,-744625
1/4/2004, ,-3099690,4102540,67678.9,-1070520
1/5/2004, ,-577869,2618600,156205,-2196940
1/6/2004,899828, ,1842858,53589.6,-2796280
1/7/2004,1625392, ,1203394,25880.2,-2854670
1/8/2004,1004919, ,888707,-5342.24,-1888280
1/9/2004,644156, ,671128,-3631.3,-1311650
1/10/2004,404858, ,520047,-3828.75,-921076
1/11/2004,292598, ,403068,-2371.53,-693294
1/12/2004,230444, ,303417,-2446.46,-531414
1/13/2004,169693, ,242543,-3392.51,-408844
1/14/2004,115726, ,205734,-5117.03,-316343
1/15/2004,70705.3, ,183687,-3827.77,-250565
1/16/2004,44346.6, ,168842,-2533.35,-210655
1/17/2004,30885.3, ,157783,-2580.65,-186087
1/18/2004,24897.8, ,148893,-3687.39,-170104
1/19/2004,21043.1, ,141434,-3970.9,-158506
1/20/2004,18816.4, ,134964,-4409.9,-149370
1/21/2004,16487.5, ,129208,-3931.8,-141764
1/22/2004,15067.3, ,123929,-3794.36,-135202
1/23/2004,14356.9, ,119023,-4013.18,-129367
1/24/2004,13618.1, ,114486,-4051.38,-124053
1/25/2004,11901.6, ,110294,-3049.55,-119146
1/26/2004,10990.7, ,106373,-2762.19,-114601
1/27/2004,10588.3, ,102669,-2872.87,-110384
1/28/2004,10557.3, ,99146.5,-3258.65,-106445
1/29/2004,10980.5, ,95806.1,-4057.24,-102729
1/30/2004,10606.4, ,92665.3,-4064.56,-99207.2
1/31/2004,9632.18, ,89700.1,-3459.65,-95872.6
2/1/2004,9291.49, ,86866.9,-3434.6,-92723.8
2/2/2004,9575.18, ,84147.8,-3978.82,-89744.1
2/3/2004, ,-98235.9,189509,-4368.59,-86904.9
2/4/2004, ,-67153,192383,-5055.3,-120175
2/5/2004,56838.2, ,86356.7,12151.8,-155347
2/6/2004, ,-303659,466034,-6292.08,-156083
2/7/2004, ,-101562,355350,-5529.66,-248258
2/8/2004,142701, ,140408,19471.7,-302580
2/9/2004,168067, ,158437,-5906.37,-320597
2/10/2004, ,-118815,341927,-5047.26,-218065
2/11/2004, ,-342448,561730,-5691.54,-213591
2/12/2004, ,-20850.7,353465,21416.9,-354031
2/13/2004, ,-369936,795230,-6253.25,-419041
2/14/2004, ,-620130,1162732,27539.4,-570142
2/15/2004,273478, ,444190,52808,-770476
2/16/2004,402058, ,405387,-6727.93,-800717
2/17/2004,304284, ,370644,-4158.08,-670770
2/18/2004,70293, ,341516,-5068.65,-406740
2/19/2004, ,-182582,560706,-5608.7,-372516
2/20/2004, ,-678312,1067406,35194.5,-424289
2/21/2004, ,-1269910,1861619,64837.4,-656543
2/22/2004, ,-1195440,2284510,95844.7,-1184910
2/23/2004, ,-1011200,2661010,107005,-1756820
2/24/2004, ,-791878,2978660,82264.2,-2269050
2/25/2004,1248562, ,1334564,58267.2,-2641390
2/26/2004,1424102, ,908309,-7666.75,-2324740
2/27/2004,595258, ,1151941,-6687.65,-1740510
2/28/2004, ,-301266,1416065,16806.1,-1131600
3/1/2004,170700, ,970107,17964.5,-1158770
3/2/2004,660365, ,521280,-2273.93,-1179370
3/3/2004,655979, ,328081,-14908.9,-969151
3/4/2004, ,-14013.8,636299,-15795.9,-606489
3/5/2004,86185.6, ,381787,27247.4,-495220
3/6/2004, ,-350791,804454,-4940.78,-448722
3/7/2004, ,-30845.3,612142,26216.6,-607513
3/8/2004,151379, ,443736,4345.69,-599461
3/9/2004,169978, ,455960,-5827.64,-620111
3/10/2004,150388, ,352330,1227.77,-503946
3/11/2004,98404, ,321536,-2598.03,-417342
3/12/2004,107931, ,274543,-5865.4,-376609
3/13/2004,91849, ,234412,-10124.9,-316136
3/14/2004,89424.2, ,198038,-10632.1,-276830
3/15/2004,74410.3, ,171203,-9949.25,-235664
3/16/2004, ,-288492,500885,-11175.7,-201218
3/17/2004, ,-110775,323659,77158.2,-290042
3/18/2004,16257.1, ,325567,-9908.35,-331916
3/19/2004, ,-42128.2,433162,-7663.47,-383370
3/20/2004, ,-178112,520716,18192.2,-360796
3/21/2004, ,-201848,627294,1035.86,-426482
3/22/2004, ,-4279.67,514292,17045,-527057
3/23/2004,129279, ,427869,-3047.77,-554101
3/24/2004, ,-43726.8,575215,-8336.55,-523152
3/25/2004, ,-250943,758589,-1853.74,-505792
3/26/2004,192971, ,372085,22168.5,-587224
3/27/2004,156012, ,430171,-17553.6,-568630
3/28/2004,276581, ,253742,-10041,-520282
3/29/2004,174395, ,198313,-20709,-351999
3/30/2004,113322, ,200103,-19349.3,-294075
3/31/2004, ,-17880.1,247408,-12142.2,-217386
4/1/2004, ,-267719,483925,-931.261,-215275
4/2/2004,115666, ,190024,4788.69,-310479
4/3/2004,146009, ,176018,-14907.7,-307119
4/4/2004,129329, ,167184,-13191.1,-283322
4/5/2004,48339.4, ,139984,-10581.2,-177742
4/6/2004,45447.7, ,129513,-13899.2,-161062
4/7/2004,39666.6, ,119312,-13419,-145560
4/8/2004, ,-73269.3,220080,-17207.7,-129603
4/9/2004,9246.01, ,139273,7783.16,-156302
4/10/2004,53603.6, ,123778,-17826.3,-159555
4/11/2004,68734.4, ,110635,-18325.7,-161044
4/12/2004, ,-913203,1057246,-19481.4,-124562
4/13/2004, ,-1255110,1552787,132877,-430553
4/14/2004, ,-416408,1257135,66161.9,-906889
4/15/2004,317596, ,958310,13149.7,-1289060
4/16/2004,533265, ,741531,-18718.3,-1256080
4/17/2004,451323, ,553268,-18931.9,-985659
4/18/2004,370473, ,405988,-25424.6,-751036
4/19/2004,291687, ,303584,-28341.7,-566929
4/20/2004,245723, ,203044,-27820.1,-420947
4/21/2004,163450, ,172116,-31360.7,-304205
4/22/2004,8124.77, ,236171,-18048.1,-226248
4/23/2004, ,-12087.6,212648,3216.1,-203777
4/24/2004,77319.1, ,141026,-11366.4,-206978
4/25/2004, ,-388572,609479,-24292.1,-196615
4/26/2004, ,-1479260,1735144,65165.8,-321051
4/27/2004, ,-248318,968441,108427,-828550
4/28/2004,277483, ,840327,-13455.2,-1104350
4/29/2004,510481, ,692440,-21617,-1181300
4/30/2004,341456, ,513780,-21500,-833736
5/1/2004,340575, ,370722,-29114.8,-682182
5/2/2004, ,-857321,1414412,-31444,-525647
5/3/2004, ,-613940,1300107,80137.4,-766305
5/4/2004,314369, ,697842,16202.7,-1028410
5/5/2004,618105, ,539912,-20563.8,-1137450
5/6/2004,490100, ,366649,-10795,-845954
5/7/2004, ,-7393,566141,-23947,-534801
5/8/2004, ,-28595.3,500071,19425,-490901
5/9/2004, ,-128705,619595,-13269.8,-477620
5/10/2004, ,-219063,775267,5731.63,-561936
5/11/2004,154082, ,450645,26917.5,-631644
5/12/2004,269918, ,382031,-36780,-615169
5/13/2004,289827, ,270535,-24380.7,-535981
5/14/2004, ,-62996.4,468997,-38263.6,-367737
5/15/2004, ,-285782,677824,-18187.4,-373854
5/16/2004,53569.2, ,401759,17123.8,-472452
5/17/2004,256677, ,296222,-36705.4,-516193
5/18/2004,275378, ,217689,-34465.5,-458602
5/19/2004,23551.6, ,315593,-33921.3,-305223
5/20/2004,76290.6, ,208945,-8734.62,-276501
5/21/2004,96236.3, ,182063,-30890.4,-247409
5/22/2004,108410, ,160291,-33167,-235534
5/23/2004,97770.1, ,120187,-34190.6,-183767
5/24/2004,89062.4, ,105856,-40738.3,-154181
5/25/2004,57434, ,108269,-36925,-128778
5/26/2004, ,-1045150,1186982,-30392.9,-111438
5/27/2004, ,-248702,569843,145895,-467036
5/28/2004,109572, ,532698,-20571.7,-621698
5/29/2004,362904, ,425670,-25399.2,-763174
5/30/2004,172541, ,367693,-30830.1,-509404
5/31/2004, ,-264589,732996,-26386.8,-442020
6/1/2004, ,-125152,608841,25097.8,-508786
6/2/2004, ,-34725.2,620797,-16228.5,-569843
6/3/2004,306726, ,359475,-11989.3,-654211
6/4/2004,329537, ,234559,-34391.7,-529704
6/5/2004, ,-814468,1251025,-31613.5,-404944
6/6/2004, ,-150057,676934,88142.9,-615020
6/7/2004,257448, ,489732,-26340.4,-720839
6/8/2004,503348, ,333588,-31038.8,-805897
6/9/2004,293732, ,243121,-36768.8,-500085
6/10/2004, ,-397333,791774,-38960.9,-355480
6/11/2004, ,-53684.1,448937,60908.1,-456161
6/12/2004,177286, ,350508,-33183.4,-494611
6/13/2004,328630, ,231131,-29354.3,-530406
6/14/2004,91139.7, ,284717,-32331.5,-343525
6/15/2004,60149.2, ,241669,-13033,-288785
6/16/2004,107374, ,174569,-29437.5,-252506
6/17/2004, ,-407690,679362,-38020.5,-233652
6/18/2004, ,-129374,462770,31804,-365200
6/19/2004,180365, ,281633,-23097.3,-438900
6/20/2004,297468, ,217915,-40794.5,-474588
6/21/2004,178059, ,175883,-33168.6,-320773
6/22/2004, ,-478106,735799,-32549.5,-225144
6/23/2004, ,-78278.3,380496,74314.7,-376532
6/24/2004,170138, ,296608,-36020.1,-430726
6/25/2004,99169.3, ,408429,-36630.6,-470968
6/26/2004,123524, ,235938,2382.69,-361844
6/27/2004,173364, ,178333,-38038.2,-313658
6/28/2004, ,-122519,429048,-32296.2,-274233
6/29/2004, ,-401.433,256316,25191.8,-281106
6/30/2004,142956, ,178351,-33407.7,-287899
7/1/2004,188099, ,134565,-34759.3,-287905
7/2/2004,88321.9, ,138834,-37412.3,-189744
7/3/2004,85064.6, ,98306.5,-32787.9,-150583
7/4/2004,66491.1, ,95193.3,-37782.6,-123902
7/5/2004,52087.6, ,92269.1,-33578.7,-110778
7/6/2004,60732.2, ,70775.4,-36251.3,-95256.3
7/7/2004, ,-2348.6,128905,-40156.8,-86400
7/8/2004,22284, ,74803.2,229.44,-97316.6
7/9/2004,64834.4, ,66008.4,-39348.2,-91494.7
7/10/2004,67829.9, ,60823.5,-38747.7,-89905.7
7/11/2004,61745.8, ,59583.9,-34929.7,-86400
7/12/2004, ,-5714640,5839300,-38254.9,-86400
7/13/2004,344989, ,1265755,375825,-1986570
7/14/2004,436087, ,1985738,-33612.1,-2388210
7/15/2004,1743591, ,1282567,4105.95,-3030260
7/16/2004,365895, ,1175000,-29541.7,-1511350
7/17/2004,710524, ,781712,-11134.7,-1481100
7/18/2004, ,-1586570,2714260,-32386.3,-1095300
7/19/2004, ,-339700,1775131,129229,-1564660
7/20/2004,1124262, ,657013,-24241,-1757030
7/21/2004,1419646, ,331894,-36072.1,-1715470
7/22/2004,748407, ,210338,-37398.6,-921346
7/23/2004, ,-294276,732708,-38683.6,-399748
7/24/2004, ,-21609.6,390300,56289.6,-424980
7/25/2004,193744, ,287920,-37215.3,-444449
7/26/2004,316178, ,190499,-36367.1,-470309
7/27/2004, ,-2405780,2730910,-35560.3,-289573
7/28/2004, ,-634607,1465779,238604,-1069780
7/29/2004,477346, ,996039,-10988.9,-1462400
7/30/2004,1015931, ,750819,-35840.3,-1730910
7/31/2004,141050, ,963342,-33512.6,-1070880
8/1/2004, ,-389389,1279829,12960,-903400
8/2/2004,188876, ,778247,30873.7,-997997
8/3/2004,535450, ,508193,-36504.1,-1007140
8/4/2004,243541, ,650109,-38226.7,-855423
8/5/2004,258964, ,367592,18960.1,-645516
8/6/2004,287942, ,257379,-36690.1,-508631
8/7/2004,253648, ,201936,-30557,-425027
8/8/2004,143705, ,161518,-29586.9,-275636
8/9/2004,104090, ,132653,-29798.5,-206944
8/10/2004,65017, ,132542,-32189.6,-165369
8/11/2004,50219.9, ,116365,-24347.6,-142238
8/12/2004, ,-2076370,2236033,-32477.1,-127187
8/13/2004, ,-1762030,2389150,201196,-828313
8/14/2004,381114, ,1133338,66063.8,-1580520
8/15/2004,1018257, ,935179,-33928.9,-1919510
8/16/2004,829364, ,690937,-34412,-1485890
8/17/2004,450764, ,502673,-33619.5,-919818
8/18/2004,348820, ,392337,-31560.6,-709596
8/19/2004,263020, ,294584,-28954.9,-528649
8/20/2004, ,-861626,1293036,-34878.9,-396531
8/21/2004, ,-1828280,2387230,101033,-659986
8/22/2004,176685, ,1043501,104764,-1324950
8/23/2004,885231, ,717174,-27816.1,-1574590
8/24/2004,910233, ,502671,-30268.9,-1382640
8/25/2004,414005, ,372010,-31566.3,-754449
8/26/2004,276688, ,287174,-33243.3,-530618
8/27/2004,187610, ,231393,-31718.3,-387285
8/28/2004,99166, ,230406,-32713.4,-296859
8/29/2004,108815, ,157317,-16473.8,-249658
8/30/2004, ,-169238,411975,-36364.9,-206372
8/31/2004,12712.8, ,207410,46443.4,-266566
9/1/2004,119233, ,172004,-32336.8,-258901
9/2/2004,142394, ,150983,-29580.7,-263796
9/3/2004,70718.6, ,135464,-29383.4,-176799
9/4/2004,59067.9, ,123229,-29480.1,-152817
9/5/2004,55374.2, ,111919,-30734.3,-136559
9/6/2004,50518.7, ,103533,-30514.8,-123537
9/7/2004,46209.1, ,93387.6,-26702.9,-112894
9/8/2004, ,-1255610,1388421,-29859.9,-102947
9/9/2004, ,-1302540,1630496,200489,-528447
9/10/2004,184553, ,790994,61887.6,-1037430
9/11/2004,573915, ,726410,-30354.4,-1269970
9/12/2004,475491, ,601905,-28095.6,-1049300
9/13/2004,256661, ,476132,-26356.7,-706436
9/14/2004,257835, ,371259,-27611.2,-601482
9/15/2004,61576.5, ,450582,-29059.8,-483099
9/16/2004,143465, ,291895,-2702.18,-432658
9/17/2004, ,-2437380,2835310,-26689.1,-371245
9/18/2004, ,-11148200,15729340,203170,-4784330
9/19/2004, ,0,4000200,530024,-4530220
9/20/2004,1493509, ,2155640,-20348.7,-3628800
9/21/2004,2414205, ,1236194,-21599.1,-3628800
9/22/2004,1703773, ,783534,-23295.7,-2464010
9/23/2004,882381, ,532808,-23399.9,-1391790
9/24/2004,482281, ,393914,-25350,-850845
9/25/2004,320168, ,276633,-26715.7,-570085
9/26/2004,227826, ,198449,-25157,-401118
9/27/2004,146140, ,169130,-25604.3,-289666
9/28/2004, ,-3309770,3548980,-24471.5,-214737
9/29/2004, ,-32559.4,1042202,295877,-1305520
9/30/2004,145492, ,1464462,-23183.3,-1586770
10/1/2004,883563, ,1129756,5229.19,-2018550
10/2/2004,311848, ,919932,-19639.9,-1212140
10/3/2004,476686, ,714957,-20259.6,-1171380
10/4/2004,380453, ,559411,-18315.2,-921548
10/5/2004,304357, ,445827,-18751,-731433
10/6/2004,298068, ,293728,-18397.8,-573398
10/7/2004,225352, ,222600,-14963,-432989
10/8/2004,155469, ,182039,-16789.6,-320718
10/9/2004,93864.6, ,158910,-19985.9,-232789
10/10/2004,63587.2, ,144649,-20386.3,-187850
10/11/2004,45681.2, ,134874,-18689.4,-161866
10/12/2004,35629.9, ,127464,-16949,-146144
10/13/2004,27038.7, ,124868,-16244.2,-135662
10/14/2004, ,-24975.3,167735,-13690.9,-129069
10/15/2004, ,-1005310,1135430,9904.68,-140022
10/16/2004, ,-165092,491778,149325,-476011
10/17/2004,115413, ,485805,-2904.2,-598314
10/18/2004, ,-390252,1108111,-13521.1,-704338
10/19/2004, ,-906915,1567605,34541.8,-695231
10/20/2004, ,-195814,1208028,41626.1,-1053840
10/21/2004, ,-194140,1496521,-7799.29,-1294580
10/22/2004,355061, ,1042954,26036.3,-1424050
10/23/2004,632111, ,630287,-13229.9,-1249170
10/24/2004,643846, ,425550,-12808.4,-1056590
10/25/2004,397298, ,315409,-13109.9,-699597
10/26/2004,229835, ,240462,-13214.9,-457082
10/27/2004,150990, ,190117,-13966.9,-327140
10/28/2004,100622, ,161506,-13465.6,-248663
10/29/2004,15487, ,195798,-13922.9,-197362
10/30/2004, ,-77657.2,254400,5731.33,-182474
10/31/2004,25776.5, ,169174,8951.13,-203901
11/1/2004,64730.1, ,157566,-15839.5,-206457
11/2/2004,53819.3, ,155868,-15973.7,-193713
11/3/2004,28162.6, ,145320,-12613.8,-160869
11/4/2004, ,-345574,512244,-13752,-152918
11/5/2004, ,-87456.3,297998,60602.3,-271144
11/6/2004,37540.4, ,290802,-9821.61,-318521
11/7/2004,114248, ,264593,-11826.6,-367015
11/8/2004,56536.8, ,240182,-12254.8,-284464
11/9/2004,57928.5, ,219690,-12425.9,-265192
11/10/2004,48139, ,202483,-9133.89,-241488
11/11/2004,41443.5, ,186791,-7449.76,-220785
11/12/2004, ,-498818,711041,-9235.25,-202988
11/13/2004, ,-111907,400314,78365.1,-366772
11/14/2004,81356.9, ,359286,-7927.46,-432715
11/15/2004,175096, ,323393,-8275.3,-490214
11/16/2004,81687.1, ,287954,-8643.46,-360998
11/17/2004,77866.7, ,256545,-10867.8,-323544
11/18/2004,70106, ,229152,-9960.76,-289297
11/19/2004,63753.2, ,204878,-10746.8,-257884
11/20/2004, ,-102558,344806,-12056.7,-230192
11/21/2004,9404.1, ,225938,24269.8,-259612
11/22/2004,77261.9, ,191628,-10349.8,-258540
11/23/2004,98641.8, ,166632,-11149.7,-254124
11/24/2004, ,-850375,1055603,-10495.6,-194733
11/25/2004, ,-589371,968812,91846.8,-471288
11/26/2004,23928.2, ,672605,33815.8,-730349
11/27/2004, ,-63603.8,972192,-9581.55,-899007
11/28/2004, ,-6093310,9463930,24005.3,-3394630
11/29/2004, ,0,3642140,426272,-4068410
11/30/2004,1550254, ,2088060,-9514.4,-3628800
12/1/2004, ,-121919,3757340,-6620.62,-3628800
12/2/2004,970410, ,2045645,146458,-3162510
12/3/2004,1567291, ,1072242,-9184.75,-2630350
12/4/2004,1609299, ,690165,-7722.02,-2291740
12/5/2004,784757, ,491572,-6977.96,-1269350
12/6/2004,412787, ,345999,-7459.2,-751326
12/7/2004,10213.7, ,499252,-220.447,-509245
12/8/2004,80266.2, ,341805,23536.6,-445608
12/9/2004, ,-499035,902749,-8028.84,-395685
12/10/2004, ,-1260670,1758383,83559.9,-581269
12/11/2004, ,-247907,1166497,82388.5,-1000980
12/12/2004,211963, ,1071746,-7832.67,-1275880
12/13/2004,357901, ,977550,-3242.69,-1332210
12/14/2004,225490, ,834281,12159.5,-1071930
12/15/2004,305089, ,651750,4352.85,-961192
12/16/2004,297387, ,528931,-5124.17,-821194
12/17/2004,271443, ,404779,-4567.52,-671654
12/18/2004,230567, ,303346,-5426.22,-528487
12/19/2004,173193, ,244471,-5311.89,-412352
12/20/2004,113761, ,208820,-5048.87,-317532
12/21/2004,70749, ,185334,-3871.43,-252212
12/22/2004,46611.8, ,168814,-2550.41,-212875
12/23/2004, ,-4453300,4645100,-4142.47,-187656
12/24/2004,442594, ,930009,293813,-1666420
12/25/2004,907728, ,1013823,-6909.74,-1914640
12/26/2004,1238615, ,961977,-4281.57,-2196310
12/27/2004,131280, ,841439,-4115.76,-968603
12/28/2004,237256, ,707110,-5286.08,-939080
12/29/2004,249993, ,590200,-3351.3,-836842
12/30/2004,226177, ,491130,-4390.78,-712916
12/31/2004,265673, ,337260,-6785.97,-596147
1/1/2005,220288, ,260177,-7601.63,-472863
1/2/2005,67353.5, ,303757,-8254.97,-362856
1/3/2005, ,-952338,1256045,-3309.57,-300398
1/4/2005, ,-175550,710251,71958.4,-606660
1/5/2005, ,-987976,1724653,20007,-756684
1/6/2005, ,-696261,1847789,78788.3,-1230320
1/7/2005,445665, ,932534,49365.2,-1427560
1/8/2005,154754, ,1351875,-4970.19,-1501660
1/9/2005,495010, ,850230,32159.2,-1377400
1/10/2005,377272, ,673549,-5941.56,-1044880
1/11/2005,63564.3, ,901010,-6022.99,-958551
1/12/2005,193123, ,580270,34870.3,-808263
1/13/2005,83947.3, ,637650,-3320.99,-718276
1/14/2005, ,-3429510,4114110,21711.7,-706310
1/15/2005, ,-487755,2037359,241409,-1791010
1/16/2005,861134, ,1395943,5962.34,-2263040
1/17/2005,1510825, ,1010211,-5231.63,-2515800
1/18/2005,717279, ,768358,-4465.94,-1481170
1/19/2005,468185, ,593737,-3751.59,-1058170
1/20/2005,312286, ,481032,-2549.34,-790769
1/21/2005,224102, ,393588,-3314.28,-614376
1/22/2005,210008, ,282848,-3403.35,-489452
1/23/2005,159949, ,228380,-2506.16,-385823
1/24/2005,106976, ,197358,-2728.39,-301605
1/25/2005,61344.9, ,177402,-2551.88,-236195
1/26/2005,41242, ,163182,-3376.98,-201046
1/27/2005,31720.2, ,152455,-4861.52,-179314
1/28/2005,24043.7, ,144139,-3836.62,-164346
1/29/2005,18844.4, ,137266,-2852.28,-153259
1/30/2005,16870.5, ,131125,-3375.53,-144620
1/31/2005,16379.9, ,125508,-4377.83,-137510
2/1/2005,15619, ,120351,-4669.67,-131300
2/2/2005,14493.1, ,115575,-4406.75,-125661
2/3/2005,14009.3, ,111118,-4649.81,-120478
2/4/2005, ,-108560,229442,-5199.98,-115681
2/5/2005, ,-349410,489825,11630.1,-152045
2/6/2005, ,-748626,991148,34273.3,-276795
2/7/2005, ,-809809,1321746,58200.8,-570138
2/8/2005, ,-24778.5,908490,50528.2,-934240
2/9/2005,110012, ,969744,-5961.23,-1073790
2/10/2005,352476, ,712804,1379.94,-1066660
2/11/2005,267762, ,599875,-3957.21,-863679
2/12/2005,255533, ,513300,-8025.34,-760808
2/13/2005,206477, ,410933,-8750.14,-608660
2/14/2005, ,-714238,1231413,-9138.76,-508036
2/15/2005, ,-367193,1019782,65960,-718549
2/16/2005, ,-1185820,2046900,26298.5,-887376
2/17/2005,577299, ,780213,75186.1,-1432700
2/18/2005,687278, ,604585,-9564.54,-1282300
2/19/2005,652864, ,497210,-6175,-1143900
2/20/2005,211244, ,421028,-4936.2,-627336
