datetime,delMontague_lag1_regression_disagg,delMontague_lag1_perfect_foresight,delMontague_lag2_regression_disagg,delMontague_lag2_perfect_foresight,delTrenton_lag1_regression_disagg,delTrenton_lag1_perfect_foresight,delTrenton_lag2_regression_disagg,delTrenton_lag2_perfect_foresight,delTrenton_lag3_regression_disagg,delTrenton_lag3_perfect_foresight,delTrenton_lag4_regression_disagg,delTrenton_lag4_perfect_foresight
1985-07-04,765.2217847379129,802.8084086956148,705.1375698178651,793.4736703495447,2323.6682632676675,2606.2300933231054,2165.302193320981,2550.6914314621044,2026.0869540450467,2488.4865107146998,1955.430901300408,2445.0442693131517
1985-07-05,750.207696608546,793.4736703495447,691.9962928609829,780.0407142401536,2303.718328311341,2550.6914314621044,2145.2588459152357,2488.4865107146998,2007.7548594836107,2445.0442693131517,1938.9680899209288,2423.3202945948387
1985-07-06,743.5540967471579,780.0407142401536,685.7779976489015,793.5798276997157,2257.7406320472187,2488.4865107146998,2110.1740015391683,2445.0442693131517,1977.2085358646855,2423.3202945948387,1909.2654411975564,2440.4366802284267
1985-07-07,734.249615736173,793.5798276997157,678.4689852272809,784.0777851412538,2213.516311077882,2445.0442693131517,2071.997728813831,2423.3202945948387,1943.2374635328451,2440.4366802284267,1877.4252391967607,2437.2151600491047
1985-07-08,719.7842590580126,784.0777851412538,666.0013418083392,782.7920386193057,2179.1222385864326,2423.3202945948387,2037.630639951532,2440.4366802284267,1909.5881135873196,2437.2151600491047,1845.9700629300949,2362.6381724654107
1985-07-09,711.7592431975161,782.7920386193057,659.2304671155923,774.0634521571465,2156.530555253752,2440.4366802284267,2015.754417340072,2437.2151600491047,1890.996360145882,2362.6381724654107,1828.6780132826004,2286.3158421279913
1985-07-10,702.3016272112268,774.0634521571465,650.8237694552362,757.3125251725578,2144.2059536539928,2437.2151600491047,2001.0142370990231,2362.6381724654107,1878.3314682336984,2286.3158421279913,1817.1025548069906,2245.3421957075548
1985-07-11,694.148862891789,757.3125251725578,643.15753668987,783.3472701208354,2134.6381780227503,2362.6381724654107,1990.9918278535624,2286.3158421279913,1871.169054053582,2245.3421957075548,1810.4857702206082,2220.530356761674
1985-07-12,678.8854928561732,783.3472701208354,628.9203119906945,757.665912059231,2066.974377859453,2286.3158421279913,1957.790753020637,2245.3421957075548,1846.0883442605468,2220.530356761674,1787.1682823450897,2194.553603293868
1985-07-13,725.6088876582435,757.665912059231,663.9908532422019,755.7485407221476,2031.387588189236,2245.3421957075548,2019.376847905918,2220.530356761674,1911.154193040233,2194.553603293868,1838.6062997640902,2383.4372752924255
1985-07-14,654.6787002391239,755.7485407221476,609.3644726501846,717.827402431865,2091.434230456528,2220.530356761674,1950.2162574293473,2194.553603293868,1801.0267589952007,2383.4372752924255,1745.6728104435856,2530.577442928906
1985-07-15,690.9917166276806,717.827402431865,634.8461567184867,719.6861206606229,1962.3933646583266,2194.553603293868,1918.0061095947624,2383.4372752924255,1822.1592258886267,2530.577442928906,1757.1120277415253,2537.678178389704
1985-07-16,639.1007312481261,719.6861206606229,583.7411093554642,703.8090096776648,2019.4725192068604,2383.4372752924255,1975.248648128908,2530.577442928906,1832.371205663843,2537.678178389704,1764.8625601475187,2520.0210870363717
1985-07-17,633.241623000436,703.8090096776648,584.6499352173241,713.6851182896687,2171.1584674304636,2530.577442928906,2002.612985181804,2537.678178389704,1853.905020239481,2520.0210870363717,1792.9381550681787,2393.5598439600126
1985-07-18,630.3360228825827,713.6851182896687,602.5294803061993,712.5281632431288,2187.2379714841118,2537.678178389704,1980.3423536827781,2520.0210870363717,1862.4934330655246,2393.5598439600126,1823.383655364787,2218.0634534789187
1985-07-19,652.8938366216283,712.5281632431288,630.8720616136027,699.9240110689339,2149.367611694747,2520.0210870363717,1993.5248480665982,2393.5598439600126,1894.2790491087117,2218.0634534789187,1861.2379542571957,2205.7012395518086
1985-07-20,662.2825063399916,699.9240110689339,632.8832431186416,664.8006944539945,2169.5607004336707,2393.5598439600126,2010.7870926196615,2218.0634534789187,1927.9920865789659,2205.7012395518086,1887.8209235411787,2219.415421113381
1985-07-21,642.5272066523843,664.8006944539945,614.8401943800679,730.5211512889637,2070.036297137252,2218.0634534789187,1930.0297786144897,2205.7012395518086,1846.1186523004446,2219.415421113381,1808.6526248793991,2128.526673847132
1985-07-22,637.2078419937543,730.5211512889637,594.7393904514304,801.6223631355463,1937.0548497462878,2205.7012395518086,1822.6463770118344,2219.415421113381,1766.4289545603401,2128.526673847132,1714.3950232849008,2063.8516828242196
1985-07-23,644.8510068237686,801.6223631355463,621.1091637272939,776.4662804304535,1930.9516296413835,2219.415421113381,1865.310149718758,2128.526673847132,1749.171378025495,2063.8516828242196,1715.9159342865448,2036.8339704741945
1985-07-24,725.8985447421444,776.4662804304535,690.3188612556494,796.8267731761889,1987.6985565737027,2128.526673847132,1929.3473808656481,2063.8516828242196,1829.1798469154874,2036.8339704741945,1784.4216311557782,2205.3085299829245
1985-07-25,704.4185932206149,796.8267731761889,675.3601461985359,839.8457677321101,1987.3137259289656,2063.8516828242196,1850.412050390482,2036.8339704741945,1757.4971712546885,2205.3085299829245,1719.8288681336999,2578.204655379892
1985-07-26,748.5111218365431,839.8457677321101,706.9105040497948,861.2015773328321,1812.7401298467892,2036.8339704741945,1838.4688480089267,2205.3085299829245,1778.3897250715263,2578.204655379892,1729.3815759803479,2779.7341340767653
1985-07-27,779.7452761829038,861.2015773328321,731.9577033840853,893.4212381789291,1924.215069693184,2205.3085299829245,1946.657232853904,2578.204655379892,1844.8287547109906,2779.7341340767653,1786.7339114575266,3011.0939685948274
1985-07-28,797.076717798959,893.4212381789291,761.8975418470274,908.8008643299447,2073.909148050102,2578.204655379892,2008.6514926028099,2779.7341340767653,1896.707720062614,3011.0939685948274,1850.3624041660032,3007.087966921221
1985-07-29,821.0167912723172,908.8008643299447,774.8589472015988,900.8217310627134,2304.4894077117615,2779.7341340767653,2181.8494493847256,3011.0939685948274,2065.43496337729,3007.087966921221,2007.3529071439732,3345.5584786862305
1985-07-30,808.5903120902191,900.8217310627134,755.7824267356776,965.2186709962826,2446.6788955308875,3011.0939685948274,2276.8458669665583,3007.087966921221,2143.520616518936,3345.5584786862305,2079.045522279768,3274.3597739665665
1985-07-31,841.6953502441805,965.2186709962826,782.1437290333033,993.7553159193166,2587.999702818863,3007.087966921221,2443.472578890515,3345.5584786862305,2362.374080261058,3274.3597739665665,2290.8654615591513,3146.898972138086
