GRanD_ID,GRanD_NAME,GRanD_CAP_MCM,GRanD_MEANFLOW_CUMECS,Obs_MEANFLOW_CUMECS,fit,match,NORhi_alpha,NORhi_beta,NORhi_max,NORhi_min,NORhi_mu,NORlo_alpha,NORlo_beta,NORlo_max,NORlo_min,NORlo_mu,Release_alpha1,Release_alpha2,Release_beta1,Release_beta2,Release_c,Release_max,Release_min,Release_p1,Release_p2
117,Copco 1,58,58.745,NA,extrapolated,135,26.89,-2.56,98.48,-Inf,94.38,16.97,-11.12,91.92,-Inf,80.08,-0.1194,0.1619,-0.2629,0.3411,0,-1,-1,0,0
118,Iron Gate,71.5,67.249,NA,extrapolated,135,26.89,-2.56,98.48,-Inf,94.38,16.97,-11.12,91.92,-Inf,80.08,-0.1194,0.1619,-0.2629,0.3411,0,-1,-1,0,0
119,Clear Lake Dike,737,1.145,NA,storage_only,113,24.88,-3.93,59.25,22.66,43.23,8.53,-7.47,Inf,2.87,11.58,0.4351,-0.1408,-1.0466,0.0086,0,2.452,-0.996,0,0
120,Big Sage,95,0.558,NA,extrapolated,174,21.98,-11.79,96.47,73.14,95.19,9.04,-23.79,53.52,24.94,28.07,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
121,Shasta River,61.7,4.79,NA,extrapolated,119,24.88,-3.93,59.25,22.66,43.23,8.53,-7.47,Inf,2.87,11.58,0.4351,-0.1408,-1.0466,0.0086,0,2.452,-0.996,0,0
122,Box Canyon,32.1,5.79,NA,extrapolated,168,2,0.44,100,-Inf,98.77,0.2,-1.69,91.56,88.25,89.94,0.2878,0.0143,-0.1644,0.0337,-0.173,-0.074,-0.775,0.33,0.834
123,West Valley,28.4,0.448,NA,extrapolated,174,21.98,-11.79,96.47,73.14,95.19,9.04,-23.79,53.52,24.94,28.07,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
124,McCloud,43.5,14.994,NA,extrapolated,161,5.65,-1.01,98.56,-Inf,95.31,42.72,-1.94,Inf,16.51,31.04,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
125,Tule Lake,48.7,0.169,NA,extrapolated,174,21.98,-11.79,96.47,73.14,95.19,9.04,-23.79,53.52,24.94,28.07,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
126,Iron Canyon,30,0.492,NA,extrapolated,161,5.65,-1.01,98.56,-Inf,95.31,42.72,-1.94,Inf,16.51,31.04,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
127,Pit 3,42.7,39.946,NA,extrapolated,161,5.65,-1.01,98.56,-Inf,95.31,42.72,-1.94,Inf,16.51,31.04,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
128,Red Rock 1,12.3,0.254,NA,extrapolated,654,1.73,-4.24,Inf,-Inf,62.92,1.4,-1.69,Inf,-Inf,20.39,-0.573,0.6725,-0.7755,0.1083,-0.059,0.592,-0.978,0.09,0.404
129,Pit 7,42.1,56.879,NA,extrapolated,161,5.65,-1.01,98.56,-Inf,95.31,42.72,-1.94,Inf,16.51,31.04,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
130,Heath Dam,10.7,0.196,NA,extrapolated,654,1.73,-4.24,Inf,-Inf,62.92,1.4,-1.69,Inf,-Inf,20.39,-0.573,0.6725,-0.7755,0.1083,-0.059,0.592,-0.978,0.09,0.404
131,Trinity,2633.5,41.008,52.764,full,NA,1.17,-4.36,100,-Inf,98.34,10.93,-8.61,Inf,-Inf,43.43,-0.139,0.0311,-0.7441,0.1336,0,1.029,-0.887,0,0
132,Shasta,4890.7,127.25,231.972,full,NA,9.01,-8.36,99.85,-Inf,96.5,15.71,-10.94,Inf,32.78,46.58,0.1307,0.1386,-0.3237,0.0945,0,0.785,-0.74,0,0
133,Whiskeytown,263.4,11.922,39.414,full,NA,0,0,Inf,-Inf,99.91,-0.51,-7.21,100,93.61,97.29,-0.1166,0.2485,-0.3917,0.0041,0.024,0.748,-0.858,0.354,0.811
134,Mccoy Flat,21.3,1.524,NA,extrapolated,654,1.73,-4.24,Inf,-Inf,62.92,1.4,-1.69,Inf,-Inf,20.39,-0.573,0.6725,-0.7755,0.1083,-0.059,0.592,-0.978,0.09,0.404
135,Robert W. Matthews,63.9,9.825,NA,storage_only,111,26.89,-2.56,98.48,-Inf,94.38,16.97,-11.12,91.92,-Inf,80.08,-0.1194,0.1619,-0.2629,0.3411,0,-1,-1,0,0
136,Indian Ole,30.6,2.953,NA,storage_only,185,7.58,-49.86,90.06,25.58,60.58,12.62,-9.11,Inf,-Inf,18.14,-0.0308,0.1475,-0.661,0.1967,-0.247,0.229,-0.919,0.231,0.188
137,Antelope,27.8,1.461,NA,storage_only,133,9.15,-5.14,99.99,-Inf,98.38,2.99,-20.93,Inf,61.17,69.37,-0.1166,0.2485,-0.3917,0.0041,0.024,0.748,-0.858,0.354,0.811
138,Lake Almanor,1613.4,15.561,NA,storage_only,158,1.57,-7.05,Inf,72.67,78.19,2.7,-7.11,Inf,51.27,56.38,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
139,Butt Valley,61.4,3.479,NA,storage_only,158,-1.51,-1.68,Inf,-Inf,93.07,2.79,8.89,Inf,-Inf,39.3,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
140,Bucks Storage,127,1.537,NA,storage_only,158,8.83,-11.94,99.5,-Inf,93.45,-5.95,-13.15,69.48,46.63,59.2,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
141,Frenchman,68.4,1.083,NA,storage_only,158,7.31,-7.61,100,80.56,91.08,4.48,-4.68,Inf,-Inf,34.86,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
142,Grizzly Valley,102.4,1.338,NA,storage_only,133,5.22,-5.63,Inf,-Inf,90.16,3.89,-6.3,Inf,46.95,51.74,-0.1166,0.2485,-0.3917,0.0041,0.024,0.748,-0.858,0.354,0.811
143,Paradise,14.2,0.322,NA,extrapolated,174,21.98,-11.79,96.47,73.14,95.19,9.04,-23.79,53.52,24.94,28.07,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
144,Black Butte Dam,177.3,24.677,8462.407,full,NA,19.05,-24.97,Inf,29.06,59,6.27,-13.66,38.12,13.3,24.36,-0.5668,0.3921,-0.4916,-0.0123,0,-0.991,-1,0,0
145,Little Grass Valley,114.7,1.405,NA,storage_only,158,7.47,-15.2,99.97,-Inf,83.76,-1.65,-19.19,69.46,42.45,54.88,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
146,Stony Gorge,62.1,11.662,NA,extrapolated,132,9.01,-8.36,99.85,-Inf,96.5,15.71,-10.94,Inf,32.78,46.58,0.1307,0.1386,-0.3237,0.0945,0,0.785,-0.74,0,0
147,Sly Creek,80.2,1.335,NA,storage_only,158,15.03,-11.51,96.53,-Inf,81.08,19.18,-39.93,70.78,20.64,28.66,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
148,Oroville,4366.5,134.108,160.152,full,NA,1.83,-12.93,Inf,79.56,85.6,11.45,-9.34,Inf,28.77,34.91,0.1363,0.1076,-0.316,0.0266,-0.332,1.399,-0.912,0.565,0.289
149,Thermalito Forebay,14.6,0.292,NA,extrapolated,133,0,0,Inf,-Inf,99.91,-0.51,-7.21,100,93.61,97.29,-0.1166,0.2485,-0.3917,0.0041,0.024,0.748,-0.858,0.354,0.811
150,Jackson Meadows,64.8,1.942,NA,extrapolated,138,1.57,-7.05,Inf,72.67,78.19,2.7,-7.11,Inf,51.27,56.38,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
151,Stampede,273.3,5.427,6.777,full,NA,0.52,-5.1,Inf,92.24,93.59,0.36,-6,Inf,52.62,53.7,0.386,-0.1226,-0.5344,0.064,0,0.979,-0.87,0,0
152,Thermalito Afterbay,70.3,0.888,NA,storage_only,132,-1.5,-0.09,Inf,86.36,87.54,2.39,-6.34,Inf,-Inf,47.26,0.1307,0.1386,-0.3237,0.0945,0,0.785,-0.74,0,0
153,Independence,22.8,0.416,0.908,full,NA,-0.53,-6.15,Inf,-Inf,90.48,-6.18,-9.74,Inf,-Inf,65.98,0.0923,-0.2066,-0.5049,0.1744,-0.275,1.557,-0.935,0.114,0.375
154,Bowman,78.9,1.654,NA,extrapolated,138,1.57,-7.05,Inf,72.67,78.19,2.7,-7.11,Inf,51.27,56.38,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
155,French Lake,17,0.261,NA,extrapolated,132,9.01,-8.36,99.85,-Inf,96.5,15.71,-10.94,Inf,32.78,46.58,0.1307,0.1386,-0.3237,0.0945,0,0.785,-0.74,0,0
156,Scott,90,13.635,NA,storage_only,180,12.62,-15.76,99.52,-Inf,81.73,22.56,-22.05,Inf,23.74,37.36,0.2577,0.4142,-0.0764,-0.3669,-1.706,2.536,-0.724,2.699,0.251
157,Boca,50.7,6.643,5.719,full,NA,0.93,-13.72,Inf,-Inf,82.39,0.19,-30.44,Inf,12.85,31.3,0.2507,-0.3483,-0.5588,-0.0302,-0.442,0.79,-0.998,0.565,0.444
158,New Bullards Bar,1196,27.45,59.822,full,NA,6.26,-10.24,Inf,-Inf,84.3,10.04,-10.37,Inf,41.87,52.26,0.4308,0.0289,-0.3245,-0.1715,-1.019,1.393,-0.891,1.248,0.358
159,Lake Fordyce,60.3,1.48,NA,extrapolated,136,7.58,-49.86,90.06,25.58,60.58,12.62,-9.11,Inf,-Inf,18.14,-0.0308,0.1475,-0.661,0.1967,-0.247,0.229,-0.919,0.231,0.188
160,Prosser Creek,35.3,2.355,3.567,full,NA,-12.61,-64.47,98.62,37.53,44.48,-0.78,-26.02,Inf,25.74,30.39,0.1266,-0.0122,-0.3976,-0.1635,-0.544,1.327,-0.905,0.524,0.302
